Cluster Index	Z	x	y	z	
7	7.47	19	40	18
7	7.26	49	34	20
7	6.52	44	33	22
7	6.29	23	35	22
7	6.1	23	44	13
7	6.03	36	37	23
6	7.49	16	25	20
6	6.19	15	20	22
6	5.99	13	23	22
6	5.86	13	23	18
6	5.58	20	16	20
6	5.35	17	19	24
5	4.71	39	8	12
5	4.54	45	12	12
5	4.48	47	16	10
5	4.37	48	22	8
5	4.35	42	19	8
5	4.15	43	10	10
4	6.76	21	10	11
4	6.7	23	10	10
4	5.86	25	9	14
4	5.7	23	10	13
4	5.18	21	14	9
4	4.51	19	15	9
3	4.03	36	7	6
3	4.01	39	9	2
3	3.91	39	8	4
3	3.78	31	8	4
3	3.64	38	8	6
3	3.62	35	9	3
2	4.41	27	18	17
2	4.24	31	12	18
2	4.09	27	15	17
2	3.85	28	13	18
1	4.77	47	21	15
1	3.5	51	22	14
1	2.55	50	19	12
