Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)
208	2533	6.85e-14	13.2	7.4	16	25	20	31.9	15.9	12.3
207	435	7.97e-14	13.1	7.38	19	40	18	20.9	41.7	16.9
206	177	1.61e-09	8.79	5.92	36	37	23	32.6	39	22.3
205	98	3.94e-13	12.4	7.16	49	34	20	48.8	35.4	18.8
204	84	5.07e-06	5.29	4.41	42	43	14	40	46.7	16.6
203	55	5.94e-06	5.23	4.38	32	36	11	37.9	41.1	11.3
202	44	1.61e-06	5.79	4.66	23	53	15	24.5	53.4	14.2
201	36	7.3e-07	6.14	4.82	49	46	17	48.2	45.9	17.8
200	32	3.14e-05	4.5	4	35	53	14	36.3	54.6	13.4
199	32	5.28e-07	6.28	4.88	36	50	17	35.4	51.5	17.2
198	31	7.01e-11	10.2	6.42	44	33	22	44.1	33.5	22.3
197	30	1.11e-05	4.95	4.24	36	37	16	39.2	40.2	17.8
196	28	1.04e-06	5.99	4.75	46	27	6	44.9	28	7.37
195	24	2.24e-06	5.65	4.59	24	16	10	25.8	18.8	9.9
194	24	1.92e-07	6.72	5.08	41	44	4	41.3	42.6	4.7
193	24	1.47e-05	4.83	4.18	25	42	6	23.9	41.4	4.22
192	21	4.62e-06	5.34	4.43	51	20	8	48	16.9	9.12
191	21	1.73e-05	4.76	4.14	46	46	9	45.2	46	8.5
190	17	4.34e-06	5.36	4.45	20	46	9	20.7	45.4	8.56
189	15	5.37e-06	5.27	4.4	38	5	9	38.7	9.32	7.22
188	15	1.3e-05	4.88	4.21	48	44	13	47.5	43.2	14.2
187	14	3.58e-08	7.45	5.39	37	24	27	37.7	25	26.9
186	13	1.8e-06	5.75	4.63	52	18	20	52.2	21.3	19.8
185	12	2.4e-08	7.62	5.46	31	27	27	29.3	28	25.8
184	12	1.64e-06	5.78	4.65	41	29	25	41.1	28.6	24.8
183	12	1.08e-05	4.97	4.25	35	37	6	33.2	38.3	6.56
182	9	5.2e-05	4.28	3.88	53	28	15	53.5	27.2	15.1
181	9	4.8e-05	4.32	3.9	55	27	12	53.9	25.8	12.3
180	9	0.000228	3.64	3.5	44	55	18	41.7	54.9	18.9
179	8	6.75e-05	4.17	3.82	55	22	17	54.2	22.7	16.8
178	8	3.73e-05	4.43	3.96	25	22	15	26.4	23.9	15.3
177	7	8.95e-05	4.05	3.75	19	40	4	19.1	40.7	4
176	7	1.54e-05	4.81	4.17	16	29	12	15.9	28.6	12.4
175	7	0.000146	3.84	3.62	41	17	15	40.6	17.8	15
174	6	5.62e-05	4.25	3.86	32	36	19	32.2	35.8	19
173	6	8.67e-06	5.06	4.3	51	27	8	50.7	27.6	8
172	6	1.11e-06	5.96	4.73	52	29	17	51.9	29.5	17
171	6	6.6e-06	5.18	4.36	28	55	17	28.5	54.6	17
170	5	8.72e-05	4.06	3.75	50	49	14	49.2	49	14.2
169	5	3.22e-07	6.49	4.98	31	56	20	30.7	55.8	20
168	5	3.49e-06	5.46	4.49	50	19	22	50.6	19.7	22
167	5	1.35e-06	5.87	4.69	47	43	7	47	42.8	6.61
166	5	0.000157	3.8	3.6	38	57	17	37.8	57	17.4
165	5	1.46e-05	4.83	4.18	29	37	17	28.2	36	16.4
164	4	3.59e-05	4.44	3.97	34	42	13	33.5	42	13
163	4	4.81e-06	5.32	4.43	39	50	11	38.8	50	11
162	4	2.22e-05	4.65	4.08	42	50	13	42.2	50	13
161	4	2.68e-06	5.57	4.55	27	57	20	25.5	57	18.8
160	4	2.54e-05	4.59	4.05	35	37	8	35.5	36.3	7.77
159	4	5.29e-05	4.28	3.88	16	40	7	15.5	39.5	7
158	4	0.00018	3.74	3.57	13	32	17	12.5	32.5	17
157	4	2.44e-05	4.61	4.06	49	22	18	48.5	22	17.5
156	4	0.000282	3.55	3.45	49	26	17	50	25.5	16.5
155	4	2e-05	4.7	4.11	26	30	3	25.5	29.5	3
154	4	0.000185	3.73	3.56	20	25	26	20.5	25.5	26
153	4	5.44e-05	4.26	3.87	34	30	26	34.7	30.2	26
152	4	1.52e-05	4.82	4.17	49	17	3	48.5	17.2	3
151	4	4.32e-05	4.36	3.93	22	53	22	22.9	53	21.5
150	4	0.000105	3.98	3.71	41	28	6	41.7	27	6.26
149	4	9.19e-06	5.04	4.28	53	25	22	52.1	24.8	21.8
148	3	0.000319	3.5	3.42	45	26	26	45	26.3	25.3
147	3	0.000125	3.9	3.66	38	23	4	37.4	23	4.31
146	3	4.3e-05	4.37	3.93	42	38	3	42.3	37.7	3
145	3	1.94e-06	5.71	4.62	34	18	25	34	17.1	25.3
144	3	4.32e-05	4.36	3.93	39	24	15	38.3	23.7	15.3
143	3	5.2e-05	4.28	3.88	31	17	26	31	18	26
142	3	5.35e-05	4.27	3.87	36	22	26	36.3	21.1	26
141	3	0.000147	3.83	3.62	28	17	9	28.3	16.4	9
140	3	0.000385	3.41	3.36	35	52	22	34.7	52.3	22
139	3	5.67e-05	4.25	3.86	36	7	6	35.7	7	5.34
138	3	8.44e-06	5.07	4.3	29	28	22	29.3	27.7	22
137	3	0.000123	3.91	3.67	37	5	11	36.7	4.37	11
136	3	0.000312	3.51	3.42	47	14	22	47	14.3	22
135	3	2.24e-05	4.65	4.08	42	23	27	41.7	23.7	27
134	3	3.75e-06	5.43	4.48	33	47	10	33	46.7	10.3
