Cluster Index	Voxels	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)
208	2533	7.4	56.6	-31.1	43	1.89	-65.9	7.38
207	435	7.38	47	16.6	23.7	40.5	21.5	16.7
206	177	5.92	-10.2	12.6	54.3	1.37	18.4	49
205	98	7.16	-54.5	1.53	40.5	-53.9	5.13	32.9
204	84	4.41	-30.9	25.3	1.77	-23.7	39.3	13.6
203	55	4.38	2.33	-1.14	-11.5	-17.2	16.3	-12.1
202	44	4.66	33.8	57	0.0605	28.9	57.6	-4.6
201	36	4.82	-54.2	38.3	17.1	-51.5	38.6	21.7
200	32	4.88	-10.1	50.1	13.8	-8.1	55.1	14
199	32	4	-6.82	57.3	-4.49	-11.1	62.2	-8.72
198	31	6.42	-37.5	-0.535	51.7	-37.9	1.39	52.8
197	30	4.24	-10.8	6.74	15.7	-21.3	19.1	24
196	28	4.75	-45.8	-33.5	-32.8	-42	-29.1	-25.9
195	24	4.59	28.4	-68.2	-6.26	22.3	-58.9	-8.3
194	24	4.18	25.9	13.6	-43	29.4	10	-52.6
193	24	5.08	-28.3	20	-53.9	-29.2	16.2	-49.3
192	21	4.14	-44.7	31.3	-27.1	-42.2	30.9	-30
191	21	4.43	-62.9	-54.2	-17.4	-52.7	-63.6	-9.75
190	17	4.45	43.2	28.8	-29.2	40.6	26.6	-31.2
189	15	4.4	-19.5	-104	-4.37	-21.7	-91	-16.6
188	15	4.21	-51.2	28.3	-3.83	-49.6	26.7	3.06
187	14	5.39	-13.8	-26.5	83.8	-16.2	-23.1	82.7
186	13	4.63	-65.4	-50.6	49.9	-66.1	-40	46.8
185	12	4.25	-8.17	-1.79	-39.4	-1.86	2.68	-37.2
184	12	5.46	6.58	-17.2	81.6	12.3	-15.2	74.6
183	12	4.65	-27.3	-11.4	70.2	-27.6	-12.9	69.1
182	9	3.5	-36.8	68.1	17.1	-28.9	68.3	21.9
181	9	3.9	-75.7	-27.6	0.929	-72.2	-31.3	3.3
180	9	3.88	-68.7	-21.9	16.7	-70.5	-24.3	17.8
179	8	3.82	-75.6	-39.7	31.3	-72.7	-37.6	29.5
178	8	3.96	25.7	-44.3	17.9	21.1	-37.9	18.4
177	7	3.75	45.9	4.81	-53.4	45.5	7.14	-53.8
176	7	3.62	-28.6	-59.1	22	-27.1	-56.5	21.5
175	7	4.17	56.2	-24.7	-3.31	56.7	-25.8	-0.851
174	6	4.73	-65.1	-17.1	27.1	-64.9	-15.5	26.8
173	6	3.86	2.96	5.61	32.5	2.35	5.1	32.6
172	6	4.36	17.2	65.8	10.3	15.6	64.3	10.6
171	6	4.3	-62.5	-31.3	-21.4	-61.3	-29.3	-21.8
170	5	3.75	-57.7	45.7	-1.02	-54.9	45.8	-0.034
169	5	4.69	-48.4	19.8	-36.4	-48.5	18.9	-38.4
168	5	4.98	7.31	71.8	26.5	8.42	71.3	26.6
167	5	3.6	-16.5	73.3	9.97	-15.8	73.6	12.1
166	5	4.49	-58.4	-45.8	60.1	-60.3	-43.3	59.8
165	5	4.18	13	6.91	20.7	15.5	3.21	18
164	4	3.87	-3.51	-7.94	74.6	-5.89	-7.1	74.5
163	4	4.06	-55.2	-39.4	36.3	-53.7	-39.9	33.6
162	4	4.17	-56.6	-68.5	-43.4	-55	-67.8	-43.5
161	4	4.08	-30.7	47.3	-7.73	-31.5	47.4	-7.72
160	4	4.11	21.7	-28.1	-52.6	23.3	-29.8	-52.4
159	4	4.55	20.9	74.7	25.6	25.8	73.6	18.7
158	4	4.05	-8.01	-0.105	-28.4	-9.64	-2.58	-29.2
157	4	3.56	43.6	-25.7	76.4	42	-24	76.1
156	4	3.97	-4.01	20.4	-3.8	-2.47	20.3	-3.83
155	4	4.28	-68.3	-25.9	57	-65.1	-26.9	55.7
154	4	4.43	-20.7	45.4	-19	-19.9	45.3	-19
153	4	3.88	56.3	7.06	-37.1	57.9	5.45	-36.9
152	4	3.93	37.8	62.8	38.5	34.5	62.5	36
151	4	3.71	-28.9	-30.7	-33.8	-31.4	-33.6	-31.7
150	4	3.57	66.9	-11	22.3	68.5	-9.42	21.9
149	4	3.45	-55.1	-27.2	28.5	-58.5	-29.1	26.2
148	3	3.33	-36	-76.2	-3.04	-32.6	-75.3	-3.3
147	3	4.08	-30.8	-29.3	84.7	-29.6	-27.2	84.3
146	3	3.82	-50	-78.5	-41.8	-47.8	-81.5	-39.4
145	3	3.6	-7.04	-29.1	89.7	-6.97	-29	89.7
144	3	3.93	-21.6	-36.4	17.9	-19.3	-37.3	19.9
143	3	4.48	-0.644	34.1	-23.2	-0.635	33.3	-21.4
142	3	3.55	-72.4	-19.5	-11.9	-73.5	-17	-10.4
141	3	3.62	14.8	-65.4	-12	13.8	-67.5	-11.6
140	3	3.4	-10.4	19.1	30.5	-11.5	18	30.7
139	3	3.8	34.1	57.1	22.6	35.2	58.2	22.4
138	3	3.87	-10.6	-33.9	79.3	-11.7	-37	79.9
137	3	3.93	-32	-0.376	-55.9	-33.1	-1.36	-55.7
136	3	3.67	-16	-102	6.56	-14.9	-104	6.89
135	3	3.42	-40.9	-20	77.8	-40.9	-19.4	74
134	3	3.66	-19.1	-49	-42.2	-16.9	-48.8	-40.5
133	3	4.62	-4.12	-48.1	76	-4.14	-50.8	78.1
132	3	3.36	-6.23	60.8	40.1	-5.08	61.8	39.9
131	3	3.86	-12.9	-99.9	-22.2	-11.8	-101	-25.8
130	3	4.3	13	-18.3	53.3	11.9	-19.2	53.5
129	3	3.42	-48.5	-62.5	62.8	-48.6	-61.3	62.6
128	3	3.88	6.06	-50.8	81.8	6.1	-47.7	81.3
127	2	4.09	-32.9	-96.8	-5.2	-31.5	-96.9	-5.23
126	2	3.43	-12.3	-74.5	-9.67	-10.7	-74.5	-9.71
125	2	3.36	35.3	-56.2	-14.2	35.3	-54.6	-14.5
124	2	3.52	-61.9	-13.2	9.34	-63.5	-13.1	9.38
123	2	3.43	-7.8	4.86	-17.9	-9.43	6.06	-20.8
122	2	3.29	-11.2	-12.2	2.07	-12.9	-12.1	2.11
121	2	3.17	5.97	12.7	-8.4	4.29	12.8	-8.36
120	2	3.78	79.8	-28.7	-3.29	79.8	-27.1	-3.57
119	2	3.74	-0.945	16.9	-25.9	-2.52	17	-25.9
118	2	3.65	-37.9	26.2	-15.2	-37.9	27.7	-15.4
117	2	3.28	-32	-39.5	-3.89	-33.7	-39.4	-3.85
116	2	3.46	1.71	-47	-3.54	3.36	-47	-3.58
115	2	3.37	6.21	40.5	-24.5	6.18	38.9	-24.3
114	2	3.39	-66	-49.2	-6.89	-66.1	-50.8	-6.61
113	2	3.36	-38.7	-30.3	-11	-37	-30.3	-11
112	2	3.86	76.3	-44.1	5.15	76.3	-45.6	5.41
111	2	3.54	-16.6	19.5	75.9	-16.6	17.8	76.2
110	2	3.83	48.4	-52.6	-54.8	48.3	-54.2	-54.5
109	2	3.33	-6.76	1.98	73	-8.35	2.43	75.7
108	2	4.06	-19.5	-81.8	-36.5	-19.5	-80.3	-36.7
107	2	3.93	47.5	25	56.1	47.5	23.5	56.4
106	2	3.28	-20.4	3.95	61.7	-18.8	3.9	61.7
105	2	3.64	53.5	-34.2	66.3	51.9	-34.1	66.3
104	2	3.26	34.3	50.7	46.4	35.9	49	46.6
103	2	3.24	-47.4	16.1	49.1	-47.4	14.5	49.3
102	2	4.17	-35.1	-72.7	64.2	-33.6	-72.7	64.1
101	2	4.53	-26.6	57.3	35.7	-26.7	55.9	35.9
100	2	3.17	-17.3	1.32	45.1	-17.3	-0.314	45.4
99	2	3.69	57.1	-4.06	44	58.7	-4.11	43.9
98	2	3.34	46.3	22.9	-45.2	44.6	24.5	-45.5
97	2	3.28	-6.39	59.1	29.1	-4.73	59.1	29.1
96	2	3.55	-12.4	-66.3	-22.4	-13.9	-66.3	-22.4
95	2	3.27	-19.2	-36	-67	-20.8	-36	-67
94	2	3.27	-26.9	68.6	-0.225	-25.2	67.3	2.76
93	2	4.11	-32.4	-90.9	33.3	-32.4	-92.4	33.6
92	2	3.41	26.1	27.6	-39.8	24.5	26	-39.5
91	2	3.9	-72.5	-17.9	-23.5	-72.5	-19.5	-23.2
90	2	3.92	-38.4	6.46	-34.3	-40	6.51	-34.3
89	2	3.76	7.24	76.7	14.4	8.82	76.7	14.3
88	2	3.63	9.55	-7.68	34.6	11.1	-7.72	34.6
87	2	3.27	20.4	41.1	25.8	22	41.1	25.8
86	2	4.11	37.5	68.5	9.28	37.5	67	9.54
85	1	3.11	-72.6	-32.6	-9.59	-72.6	-32.6	-9.59
84	1	3.62	-2.24	-33.2	-68	-2.24	-33.2	-68
83	1	3.1	-12.2	-56.5	-24.1	-12.2	-56.5	-24.1
82	1	3.38	2.13	-0.392	-28.6	2.13	-0.392	-28.6
81	1	3.39	69.4	-30.9	-19.6	69.4	-30.9	-19.6
80	1	3.14	-2.09	-37.3	-50.4	-2.09	-37.3	-50.4
79	1	3.18	25.4	-24.8	-30.7	25.4	-24.8	-30.7
78	1	3.21	55.4	-41.3	-45.6	55.4	-41.3	-45.6
77	1	3.35	-25.9	-83.1	-2.13	-25.9	-83.1	-2.13
76	1	3.41	38.5	-40.8	-45.2	38.5	-40.8	-45.2
