Cluster Index	Z	P	-log10(P)	x	y	z	
208	7.4	6.85e-14	13.2	16	25	20
208	6.86	3.33e-12	11.5	36	7	16
208	6.66	1.36e-11	10.9	21	10	11
208	6.59	2.15e-11	10.7	23	10	10
208	6.42	6.59e-11	10.2	23	12	5
208	6.24	2.15e-10	9.67	35	17	17
207	7.38	7.97e-14	13.1	19	40	18
207	6.19	3.07e-10	9.51	23	35	22
207	5.99	1.06e-09	8.97	23	44	13
207	5.31	5.53e-08	7.26	16	42	16
207	5.13	1.42e-07	6.85	21	41	23
207	4.89	5e-07	6.3	18	37	23
206	5.92	1.61e-09	8.79	36	37	23
206	5.19	1.06e-07	6.98	31	39	22
206	4.57	2.49e-06	5.6	31	35	24
206	4.42	5.01e-06	5.3	31	44	21
206	4.36	6.45e-06	5.19	34	34	24
206	4.06	2.45e-05	4.61	37	40	21
205	7.16	3.94e-13	12.4	49	34	20
205	5.82	2.98e-09	8.53	52	37	17
205	5.51	1.77e-08	7.75	47	36	18
205	4.74	1.07e-06	5.97	49	34	22
204	4.41	5.07e-06	5.29	42	43	14
204	4.4	5.42e-06	5.27	41	49	17
204	4.25	1.05e-05	4.98	37	46	17
204	3.86	5.75e-05	4.24	43	51	19
204	3.52	0.000219	3.66	46	49	16
204	3.4	0.000332	3.48	39	43	15
203	4.38	5.94e-06	5.23	32	36	11
203	4.22	1.23e-05	4.91	39	44	12
203	4.2	1.34e-05	4.87	36	37	12
203	4.16	1.6e-05	4.8	40	39	10
203	3.98	3.39e-05	4.47	39	44	9
203	3.86	5.76e-05	4.24	39	40	12
202	4.66	1.61e-06	5.79	23	53	15
202	4.22	1.24e-05	4.91	29	57	13
202	3.68	0.000116	3.94	23	51	14
202	3.62	0.000148	3.83	22	54	13
202	3.57	0.000178	3.75	24	53	17
202	3.53	0.00021	3.68	20	51	14
201	4.82	7.3e-07	6.14	49	46	17
201	3.64	0.000134	3.87	51	44	16
201	3.25	0.000584	3.23	51	41	19
200	4.88	5.28e-07	6.28	36	50	17
200	4.09	2.17e-05	4.66	33	55	17
200	3.94	4.08e-05	4.39	33	53	18
200	3.92	4.43e-05	4.35	38	51	15
199	4	3.14e-05	4.5	35	53	14
199	3.96	3.69e-05	4.43	39	51	13
199	3.93	4.31e-05	4.37	34	56	15
199	3.78	7.71e-05	4.11	38	53	13
199	3.68	0.000117	3.93	35	55	12
199	3.43	0.000307	3.51	37	57	14
198	6.42	7.01e-11	10.2	44	33	22
198	5.66	7.53e-09	8.12	44	35	22
197	4.24	1.11e-05	4.95	36	37	16
197	4.15	1.63e-05	4.79	42	43	20
197	3.73	9.73e-05	4.01	38	36	16
197	3.58	0.000173	3.76	37	40	17
197	3.56	0.000188	3.73	41	41	18
197	3.38	0.000366	3.44	40	39	15
196	4.75	1.04e-06	5.99	46	27	6
196	4.04	2.71e-05	4.57	44	31	9
196	3.96	3.69e-05	4.43	42	30	9
196	3.88	5.16e-05	4.29	45	27	8
196	3.54	0.000201	3.7	47	26	8
195	4.59	2.24e-06	5.65	24	16	10
195	4.53	2.89e-06	5.54	28	20	10
195	4.32	7.69e-06	5.11	25	19	9
194	4.18	1.47e-05	4.83	25	42	6
194	4.17	1.55e-05	4.81	24	41	3
194	3.79	7.63e-05	4.12	22	38	3
194	3.38	0.000364	3.44	23	44	5
193	5.08	1.92e-07	6.72	41	44	4
193	3.81	6.98e-05	4.16	40	41	6
192	4.14	1.73e-05	4.76	46	46	9
192	4.08	2.3e-05	4.64	47	44	9
192	3.49	0.000238	3.62	43	48	9
192	3.35	0.0004	3.4	42	46	7
192	3.34	0.000416	3.38	50	44	10
192	3.33	0.000428	3.37	45	46	6
191	4.43	4.62e-06	5.34	51	20	8
191	4.33	7.31e-06	5.14	47	16	10
191	3.74	9.28e-05	4.03	50	16	8
191	3.53	0.000207	3.68	45	17	11
190	4.45	4.34e-06	5.36	20	46	9
190	3.58	0.000173	3.76	21	43	7
189	4.4	5.37e-06	5.27	38	5	9
189	4.09	2.13e-05	4.67	37	8	8
189	4.02	2.92e-05	4.53	40	12	5
188	4.21	1.3e-05	4.88	48	44	13
187	5.39	3.58e-08	7.45	37	24	27
187	5.18	1.09e-07	6.96	38	26	27
187	3.71	0.000103	3.99	38	25	25
186	4.63	1.8e-06	5.75	52	18	20
186	4.56	2.54e-06	5.59	53	24	20
186	4.33	7.45e-06	5.13	52	22	20
186	3.97	3.53e-05	4.45	54	21	19
185	4.25	1.08e-05	4.97	35	37	6
185	3.66	0.000128	3.89	31	40	7
185	3.49	0.000244	3.61	33	36	6
185	3.44	0.000288	3.54	34	40	7
184	5.46	2.4e-08	7.62	31	27	27
184	3.81	6.94e-05	4.16	28	29	27
184	3.76	8.5e-05	4.07	29	28	25
183	4.65	1.64e-06	5.78	41	29	25
182	3.5	0.000228	3.64	44	55	18
182	3.48	0.000253	3.6	42	55	20
182	3.27	0.000541	3.27	39	55	19
181	3.9	4.8e-05	4.32	55	27	12
181	3.53	0.000209	3.68	54	23	12
181	3.43	0.000302	3.52	55	25	13
180	3.88	5.2e-05	4.28	53	28	15
179	3.82	6.75e-05	4.17	55	22	17
179	3.19	0.000701	3.15	53	25	17
178	3.96	3.73e-05	4.43	25	22	15
178	3.87	5.37e-05	4.27	29	26	16
177	3.75	8.95e-05	4.05	19	40	4
176	3.62	0.000146	3.84	41	17	15
176	3.23	0.000616	3.21	41	19	15
175	4.17	1.54e-05	4.81	16	29	12
174	4.73	1.11e-06	5.96	52	29	17
173	3.86	5.62e-05	4.25	32	36	19
172	4.36	6.6e-06	5.18	28	55	17
171	4.3	8.67e-06	5.06	51	27	8
170	3.75	8.72e-05	4.06	50	49	14
170	3.65	0.00013	3.89	48	49	14
169	4.69	1.35e-06	5.87	47	43	7
168	4.98	3.22e-07	6.49	31	56	20
167	3.6	0.000157	3.8	38	57	17
166	4.49	3.49e-06	5.46	50	19	22
165	4.18	1.46e-05	4.83	29	37	17
164	3.87	5.44e-05	4.26	34	30	26
163	4.06	2.44e-05	4.61	49	22	18
162	4.17	1.52e-05	4.82	49	17	3
161	4.08	2.22e-05	4.65	42	50	13
160	4.11	2e-05	4.7	26	30	3
159	4.55	2.68e-06	5.57	27	57	20
159	4.15	1.65e-05	4.78	25	57	18
158	4.05	2.54e-05	4.59	35	37	8
157	3.56	0.000185	3.73	20	25	26
156	3.97	3.59e-05	4.44	34	42	13
156	3.66	0.000127	3.9	32	42	13
155	4.28	9.19e-06	5.04	53	25	22
155	3.38	0.000363	3.44	51	25	21
154	4.43	4.81e-06	5.32	39	50	11
153	3.88	5.29e-05	4.28	16	40	7
152	3.93	4.32e-05	4.36	22	53	22
151	3.71	0.000105	3.98	41	28	6
150	3.57	0.00018	3.74	13	32	17
149	3.45	0.000282	3.55	49	26	17
149	3.4	0.000336	3.47	51	25	16
148	3.33	0.00043	3.37	43	13	10
147	4.08	2.24e-05	4.65	42	23	27
146	3.82	6.66e-05	4.18	47	14	3
146	3.72	0.000101	4	46	12	4
145	3.6	0.00016	3.8	35	23	28
144	3.93	4.32e-05	4.36	39	24	15
