Cluster Index	Voxels	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)
211	2536	7.4	16	25	20	31.9	15.8	12.3
210	434	7.38	19	40	18	20.9	41.7	16.9
209	177	5.92	36	37	23	32.6	39	22.3
208	98	7.16	49	34	20	48.8	35.4	18.8
207	83	4.41	42	43	14	40	46.7	16.5
206	55	4.38	32	36	11	37.9	41.1	11.3
205	33	4	35	53	14	36.3	54.6	13.4
204	32	4.88	36	50	17	35.4	51.5	17.2
203	32	4.82	49	46	17	48	46.3	17.8
202	31	6.42	44	33	22	44.1	33.5	22.3
201	31	4.66	23	53	15	22.8	52.2	14.7
200	30	4.24	36	37	16	39.2	40.2	17.8
199	28	4.74	46	27	6	44.9	28	7.37
198	24	5.08	41	44	4	41.3	42.7	4.7
197	24	4.59	24	16	10	25.8	18.8	9.9
196	21	4.14	46	46	9	45.2	46	8.5
195	21	4.43	51	20	8	48	16.9	9.12
194	20	4.19	25	42	6	24.1	41.9	4.46
193	18	4.6	20	46	9	20.7	45.4	8.54
192	15	4.21	48	44	13	47.5	43.2	14.2
191	15	4.4	38	5	9	38.7	9.32	7.22
190	14	5.39	37	24	27	37.7	25	26.9
189	13	4.63	52	18	20	52.2	21.3	19.8
188	12	5.46	31	27	27	29.3	28	25.8
187	12	4.23	29	57	13	28.3	56	12.8
186	12	4.65	41	29	25	41.1	28.6	24.8
185	9	3.5	44	55	18	41.7	54.9	18.9
184	9	3.9	55	27	12	53.9	25.8	12.3
183	9	4.26	35	37	6	34.1	37.5	6.32
182	9	3.88	53	28	15	53.5	27.2	15.1
181	8	3.82	55	22	17	54.2	22.7	16.8
180	8	3.96	25	23	15	26.4	23.9	15.3
179	7	3.75	19	40	4	19.1	40.7	4
178	7	4.17	16	29	12	15.9	28.6	12.4
177	7	3.62	41	17	15	40.6	17.8	15
176	6	4.73	52	29	17	51.9	29.5	17
175	6	4.36	28	55	17	28.5	54.6	17
174	6	4.69	47	43	7	47	43	6.66
173	6	4.3	51	27	8	50.7	27.6	8
172	6	3.86	32	36	19	32.2	35.8	19
171	5	4.62	34	18	25	34.3	17.2	25.2
170	5	4.18	29	37	17	28.2	36	16.4
169	5	4.49	50	19	22	50.6	19.7	22
168	5	4.98	31	56	20	30.7	55.8	20
167	5	3.76	50	49	14	49.2	49	14.2
166	5	3.6	38	57	17	37.8	57	17.4
165	4	4.42	39	50	11	38.8	50	11
164	4	4.28	53	25	22	52.1	24.8	21.8
163	4	3.7	41	28	6	41.7	27	6.26
162	4	3.88	16	40	7	15.5	39.5	7
161	4	3.57	13	32	17	12.5	32.5	17
160	4	3.87	34	30	26	34.7	30.2	26
159	4	4.06	49	22	18	48.5	22	17.5
158	4	3.97	34	42	13	33.5	42	13
157	4	4.03	35	37	8	35.5	36.3	7.77
156	4	4.55	27	57	20	25.5	57	18.8
155	4	4.12	26	30	3	25.5	29.5	3
154	4	3.93	22	53	22	22.9	53	21.5
153	4	4.08	42	50	13	42.2	50	13
152	4	4.17	49	17	3	48.5	17.2	3
151	4	3.45	49	26	17	50	25.5	16.5
150	4	3.56	20	25	26	20.5	25.5	26
149	3	3.67	37	5	11	36.7	4.37	11
148	3	4.48	33	47	10	33	46.7	10.3
147	3	3.42	47	14	22	47	14.3	22
146	3	3.93	39	24	15	38.3	23.7	15.3
145	3	4.3	29	28	22	29.3	27.7	22
144	3	3.36	35	52	22	34.7	52.3	22
143	3	4.08	42	23	27	41.7	23.7	27
142	3	3.86	36	7	6	35.7	7	5.34
141	3	3.4	36	40	19	36.3	39.7	19
140	3	3.88	36	22	26	36.3	21.1	26
139	3	3.88	31	17	26	31	18	26
138	3	3.66	38	23	4	37.4	23	4.31
137	3	3.8	23	52	19	22.7	52.3	19
136	3	3.62	28	17	9	28.3	16.4	9
135	3	3.42	45	26	26	45	26.3	25.3
134	3	3.93	42	38	3	42.3	37.7	3
133	3	3.33	43	13	10	42	13.3	10
132	3	3.55	54	30	10	54.3	30.7	10.3
131	3	3.6	35	23	28	35	23	28
130	3	3.82	47	14	3	46.4	13	3.34
129	2	3.52	51	31	14	51.5	31	14
128	2	3.24	47	38	22	47	37.5	22
127	2	3.27	27	47	19	26.5	47	19
126	2	3.28	35	52	20	34.5	52	20
125	2	3.63	30	32	19	29.5	32	19
124	2	3.76	31	58	18	30.5	58	18
123	2	3.25	51	41	19	50.5	41	18.5
122	2	3.69	16	33	21	15.5	33	21
121	2	3.17	38	34	21	38	33.5	21
120	2	4.11	22	56	17	22	55.5	17
119	2	4.53	41	51	21	41	50.6	21
118	2	4.11	42	7	16	42	6.56	16
117	2	4.17	43	11	22	42.6	11	22
116	2	3.27	41	56	15	40.5	55.5	15.5
115	2	3.55	36	17	7	36.5	17	7
114	2	3.36	22	20	9	22	20.5	9
113	2	3.74	33	42	9	33.5	42	9
112	2	3.33	35	33	26	35.5	33	26.5
111	2	3.43	35	38	10	35.5	38.5	9.53
110	2	3.43	36	14	9	35.5	14	9
109	2	4.09	42	7	9	41.6	7	9
108	2	3.39	52	21	10	52	20.5	10
107	2	3.36	44	27	10	43.5	27	10
106	2	3.93	19	41	24	19	40.6	24
105	2	3.92	44	39	7	44.5	39	7
104	2	3.54	38	38	27	38	37.5	27
103	2	3.37	31	49	10	31	48.5	10
102	2	3.46	32	22	11	31.5	22	11
101	2	3.28	39	34	24	38.5	34	24
100	2	3.28	42	24	11	42.5	24	11
99	2	3.65	44	44	11	44	44.5	11
98	2	3.64	17	23	24	17.5	23	24
97	2	4.06	38	13	4	38	13.4	4
96	2	3.26	23	49	23	22.5	48.5	23
95	2	3.79	9	28	12	9	28.5	12
94	2	3.17	31	40	12	31.5	40	12
93	2	3.9	54	31	8	54	30.5	8
92	2	3.3	25	46	7	24.5	46.5	7
91	2	3.86	10	23	13	10	22.6	13
90	2	3.83	22	38	3	22.5	38	3
89	2	3.84	18	23	2	18	22.5	2
88	2	3.29	36	32	13	36.5	32	13
87	1	3.97	29	16	26	29	16	26
86	1	3.18	30	47	25	30	47	25
85	1	3.15	53	29	21	53	29	21
84	1	3.16	20	31	26	20	31	26
83	1	3.12	32	43	26	32	43	26
82	1	3.43	30	22	27	30	22	27
81	1	3.18	38	20	21	38	20	21
80	1	3.25	34	26	27	34	26	27
79	1	3.31	50	16	21	50	16	21
78	1	3.51	25	11	21	25	11	21
77	1	3.63	31	25	28	31	25	28
76	1	3.24	27	52	22	27	52	22
75	1	3.84	47	44	22	47	44	22
74	1	3.18	13	38	22	13	38	22
73	1	3.25	36	27	23	36	27	23
72	1	3.11	42	27	22	42	27	22
71	1	3.45	26	49	23	26	49	23
70	1	4.37	40	10	22	40	10	22
69	1	3.67	44	37	24	44	37	24
68	1	3.16	40	53	21	40	53	21
67	1	3.67	21	22	25	21	22	25
66	1	3.12	24	24	25	24	24	25
65	1	3.11	48	25	25	48	25	25
64	1	3.26	29	24	28	29	24	28
63	1	3.3	50	41	21	50	41	21
62	1	3.63	23	28	25	23	28	25
61	1	3.4	36	42	25	36	42	25
60	1	3.25	34	43	25	34	43	25
59	1	3.11	20	49	11	20	49	11
58	1	3.14	51	35	11	51	35	11
57	1	3.18	51	23	11	51	23	11
56	1	3.53	54	36	10	54	36	10
55	1	3.43	10	35	10	10	35	10
54	1	3.11	54	26	10	54	26	10
53	1	3.35	40	11	10	40	11	10
52	1	3.65	46	50	9	46	50	9
51	1	3.27	34	50	9	34	50	9
50	1	3.5	17	46	9	17	46	9
49	1	3.39	52	41	9	52	41	9
48	1	3.39	12	28	9	12	28	9
47	1	3.72	44	19	9	44	19	9
46	1	3.38	32	37	8	32	37	8
45	1	3.16	38	37	7	38	37	7
44	1	3.39	29	35	7	29	35	7
43	1	3.18	54	34	7	54	34	7
42	1	3.18	25	30	7	25	30	7
41	1	3.1	36	20	7	36	20	7
40	1	3.11	19	45	6	19	45	6
39	1	3.3	27	39	6	27	39	6
38	1	3.54	42	8	6	42	8	6
37	1	3.53	48	33	5	48	33	5
36	1	3.23	47	41	4	47	41	4
35	1	3.67	49	39	4	49	39	4
34	1	3.42	21	26	4	21	26	4
33	1	3.21	16	26	4	16	26	4
32	1	3.14	33	27	3	33	27	3
31	1	3.62	33	29	0	33	29	0
30	1	3.2	38	28	0	38	28	0
29	1	3.3	13	42	20	13	42	20
28	1	3.28	27	29	20	27	29	20
27	1	3.31	54	27	20	54	27	20
26	1	3.42	38	22	20	38	22	20
25	1	3.64	13	38	19	13	38	19
24	1	3.25	38	25	19	38	25	19
23	1	3.18	30	41	18	30	41	18
22	1	3.2	41	36	18	41	36	18
21	1	4.06	27	7	18	27	7	18
20	1	3.34	27	58	17	27	58	17
19	1	3.13	36	53	16	36	53	16
18	1	3.28	44	43	16	44	43	16
17	1	3.86	31	39	16	31	39	16
16	1	3.22	10	27	16	10	27	16
15	1	3.36	20	56	15	20	56	15
14	1	3.31	28	53	15	28	53	15
13	1	3.1	17	50	15	17	50	15
12	1	3.87	33	39	15	33	39	15
11	1	3.11	28	22	15	28	22	15
10	1	3.64	42	13	15	42	13	15
9	1	3.2	31	39	14	31	39	14
8	1	3.1	39	36	14	39	36	14
7	1	3.12	40	34	14	40	34	14
6	1	3.16	10	26	14	10	26	14
5	1	3.17	42	54	13	42	54	13
4	1	3.55	12	20	13	12	20	13
3	1	3.12	37	22	12	37	22	12
2	1	4.05	42	21	12	42	21	12
1	1	3.46	32	7	12	32	7	12
