Cluster Index	Voxels	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)
203	263	4.56	44.8	-80.3	-24.2	5.11	-82.5	-36.3
202	181	4.99	-34.4	31.5	-27.3	-26.8	35.6	-22.4
201	142	4.86	30	35.6	-33.6	22	33.9	-35.6
200	135	6.01	39.8	-64.8	17.7	39.8	-51.6	-4.38
199	132	5.84	-45.1	-61	-11.9	-37.5	-60.1	-17.9
198	76	4.8	-32.3	-55.1	23	-28.9	-43	35.3
197	47	4.92	37.1	-31.4	50.5	34.7	-32.5	44.7
196	36	5.49	38.4	-45.3	20.2	40.3	-45.4	24.5
195	30	4.38	4.69	50	8.18	0.102	52.1	5.8
194	30	4.93	-41	20.2	28.1	-37.7	20.2	29.4
193	29	4.63	40	33	-0.805	39.2	35.1	2.03
192	24	4.11	0.0633	-69.6	-43.5	3.63	-68.8	-44.1
191	22	4.88	-50.9	18.6	9.95	-53.3	19	10.9
190	22	4.35	9	34.8	22.3	5.59	36.8	25.7
189	21	3.69	-15.2	-51.7	-3.17	-22	-44.9	-2.35
188	21	4.35	13.5	78	-43.1	18.7	72.9	-40.4
187	20	3.91	-59.3	46.1	-16.7	-50.9	51.6	-11.8
186	19	3.88	42	54.6	-17.9	35	54.3	-14.4
185	19	4.57	-22.1	8.14	-71.1	-22.8	7.61	-71.8
184	18	4.27	-25.2	-55.8	4.85	-19.2	-61.1	10.8
183	16	4.11	35.2	-43	-6.01	29.4	-38.9	-4.8
182	15	3.92	63.5	-56.8	-23.1	61.5	-53.7	-33.7
181	15	5.29	-55.8	-12	31.5	-54	-14	32.3
180	15	4.47	8.21	-48.7	8.51	7.84	-50.4	7.64
179	14	4.29	-45.6	50.6	-56	-44	48.6	-54.9
178	13	4.04	50.7	-22	-9.95	50.8	-18.4	-10.9
177	12	4.56	-55.8	-59.4	24.4	-56.2	-55.7	22.5
176	11	4.06	-1.04	36.7	-3.96	5.06	39.3	-3.38
175	11	3.92	17.1	-66.8	-63.1	16.4	-61.2	-65.4
174	11	4.44	31.2	66.5	-30.5	32	64.6	-31.1
173	10	4.8	25.6	49	-28	23.9	49.9	-27.4
172	10	4.34	29.6	-52.5	-57.4	27.7	-53.5	-58.2
171	9	4.6	52.3	-3.19	30.4	51.3	-2.74	32
170	9	4.14	-17.9	43.2	-51.4	-14.3	37.7	-48.5
169	9	3.71	-19.9	71.5	-53.3	-18	65.1	-56.1
168	8	3.7	29.9	27.6	20.3	29.4	28.7	26.6
