Cluster Index	Voxels	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)
203	263	4.56	34.4	-65.6	-50	-2.37	-61	-59.6
202	181	4.99	-31.2	34.4	-5	-24	35.6	0.397
201	142	4.86	28.1	37.5	-10	20.7	37.2	-12.1
200	135	6.01	31.2	-68.8	-10	31.9	-48.8	-22.3
199	132	5.84	-46.9	-50	-30	-39.9	-47.2	-34.6
198	76	4.8	-34.4	-59.4	0	-30.3	-54	14.7
197	47	4.92	31.2	-53.1	30	28.9	-51.7	24.9
196	36	5.49	31.2	-53.1	0	33	-54.9	3.4
195	30	4.38	6.25	34.4	30	2.14	37.3	29.1
194	30	4.93	-37.5	3.12	35	-34.5	2.54	35.9
193	29	4.63	37.5	21.9	15	37	22.6	18.1
192	24	4.11	-6.25	-46.9	-60	-2.92	-46.1	-60.3
191	22	4.88	-46.9	9.38	20	-49.1	9.49	21
190	22	4.35	9.38	15.6	35	6.4	16.1	38.6
189	21	3.69	-18.8	-46.9	-20	-24.5	-41.1	-16.4
188	21	4.35	15.6	78.1	0	20.1	72.5	0
187	20	3.91	-53.1	43.8	10	-45	46.1	16
186	19	3.88	40.6	46.9	10	34.1	45.6	12.9
185	19	4.57	-21.9	31.2	-50	-22.6	31.1	-50.8
184	18	4.27	-28.1	-53.1	-15	-22.8	-60.3	-12.5
183	16	4.11	28.1	-40.6	-20	23.1	-37.4	-17.2
182	15	3.92	53.1	-46.9	-40	51.4	-39.9	-47.2
181	15	5.29	-53.1	-25	25	-51.6	-27	24.7
180	15	4.47	3.12	-50	-10	2.66	-51.1	-11.4
179	14	4.29	-40.6	62.5	-20	-39.3	60.3	-20
178	13	4.04	43.8	-21.9	-15	44.1	-18.4	-14.3
177	12	4.56	-56.2	-62.5	0	-56.4	-58.6	4.77e-06
176	11	4.06	0	28.1	15	5.78	29.8	16.3
175	11	3.92	9.38	-37.5	-75	9.1	-31.9	-74.6
174	11	4.44	31.2	62.5	5	31.9	61.1	3.79
173	10	4.8	25	46.9	0	23.5	47.5	0.887
172	10	4.34	21.9	-28.1	-65	20.1	-28.6	-66
171	9	4.6	46.9	-21.9	25	46	-22.1	26.5
170	9	4.14	-15.6	53.1	-20	-12.6	47.1	-20
169	9	3.71	-15.6	78.1	-10	-14.3	73.7	-14.9
