Cluster Index	Voxels	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
149	795	7.47	43.2	36.2	-2.3	23.6	41.2	-3.06	632	9.86	79.5	-31.6	168
148	243	7.49	55.7	-3.01	30.4	55.4	-16	29.5	428	52.8	-14	54.6	135
147	161	4.56	-34.4	31.5	-27.3	-25.6	38.1	-23.4	479	-1.93	5.46	-31.7	199
146	151	7.26	-57.7	17.6	16.5	-53.4	19.9	13.3	218	-67.7	19.5	-9.76	117
145	66	6.76	43.6	-69.3	7.58	38.9	-66.2	7.65	323	37.3	-74.9	4.02	171
144	65	5.04	-45.4	-14.4	33.1	-42.6	-21.3	36.5	241	-27.4	-31.9	48.7	131
143	42	4.95	-59.3	46.1	-16.7	-56.4	47.5	-12	357	-52.7	49.4	-18.2	183
142	27	4.03	-5.46	-92.5	-13.3	-2.37	-93.9	-28	203	11.7	-93.3	-24.8	142
141	24	4.41	20.5	-32.7	25.7	17.4	-41.6	33.9	263	17.8	-45.4	38.3	162
140	17	4.77	-47.3	-32.2	10.9	-49.5	-34.4	7.38	200	-50.1	-40.6	8.83	125
139	16	4.71	-17.1	-76.2	15.4	-22.5	-75.7	9.8	224	-17.1	-76.2	15.4	142
138	15	4.67	21.8	-87.3	-52.5	30.3	-83.8	-54	415	31.8	-83.8	-54	226
137	15	4.72	-19	-86.5	-54.1	-13.1	-86.7	-53.9	590	-19	-86.5	-54.1	298
136	13	4.48	-45.3	-58.6	-6.81	-45.3	-60.6	-7.14	204	-41.3	-67.3	-2.28	156
135	13	4.37	-49.4	-45.7	-25.9	-42.3	-44.9	-26.2	223	-49.4	-45.7	-25.9	166
134	13	3.91	-34.3	-68.6	-13.8	-33	-64.6	-22.4	533	-31.1	-64.9	-21.9	295
133	12	4.03	-0.301	24.3	8.62	3.19	20.2	11.7	142	-3.69	24.1	8.61	93.8
132	11	3.71	-28.5	-54.7	-8.26	-26.7	-64.1	-3.48	217	-28.4	-57.7	-6.75	163
131	10	4.39	-13.4	19.5	-8.06	-14.3	17.9	-8.54	508	-9.58	14.4	-11.6	247
130	9	4.32	56.7	-9.8	-16	57.1	-9.82	-12.6	155	60.1	-9.61	-15.9	121
129	8	4.64	-58.6	-22.4	49.2	-59.9	-23.4	48.3	250	-58	-30.6	47.1	183
128	8	4.53	-38.2	-65.4	9.33	-35.1	-67.5	10.5	185	-34.6	-68.2	10.8	134
127	8	4.45	-60.5	-31.5	-33.5	-59.7	-29.4	-33.9	201	-57.3	-28.3	-35	127
126	7	4.87	-66.2	-4.78	8.85	-66.2	-3.22	8.75	178	-66.2	-4.78	8.85	134
125	6	4.26	30.2	80.6	-31.5	30.7	80.1	-31.2	329	30.4	77.7	-30	175
124	6	3.64	-25.9	59.9	-53.9	-24.4	62.7	-53.2	430	-22.3	57.2	-52.4	259
123	6	3.93	10.1	15.1	51	9.17	13	49	126	7.09	9.65	47.4	97.5
122	6	4.49	24.7	-49.9	59.5	19.1	-53.6	57.1	265	21.7	-55.3	55.9	190
121	5	4.04	-7.46	22.4	52.9	-10.1	23.4	52.4	242	-7.46	22.4	52.9	167
120	5	3.91	-2.64	18.6	-50.9	-2.07	19.2	-51.1	244	-2.64	18.6	-50.9	163
119	5	4.24	-35.5	49.9	-42.8	-36.7	49.3	-42.6	168	-38.9	49.7	-42.9	135
118	5	4.44	-69.9	-5.15	40.1	-68	-4.56	39.8	192	-66.6	-4.97	40.1	140
117	5	4.22	-54.9	-22.6	24.5	-52.9	-23.3	21.3	167	-58.3	-22.8	24.5	126
116	4	3.91	-17.2	32	-51.9	-18.1	34.1	-53	204	-17.5	37.9	-54.9	161
115	4	3.52	-48	36.3	-55	-46.2	34.9	-54.3	316	-44.6	36.4	-55	267
114	4	3.59	-14.6	35.4	2.55	-14.6	33.9	3.28	150	-14.6	35.4	2.55	112
113	4	3.74	40.9	10.2	60.6	39.1	11.6	59.9	279	37.5	10	60.6	192
112	4	4.67	-34.1	71.7	-4	-33.4	73	-4.66	290	-33.9	68.7	-2.49	212
111	4	3.6	-43.9	8.59	58.8	-41.3	5.13	60.7	260	-36.8	3.04	61.9	239
110	4	3.38	5.73	37.1	-3.93	5.64	38.4	-3.06	206	5.54	40.1	-5.44	163
109	4	3.74	65.2	11.3	4.78	66.8	12.8	4.04	99.6	68.4	14.4	3.28	84.5
108	4	3.32	-25.9	5.24	-13.7	-23.5	7.61	-14.8	121	-22.7	8.38	-15.2	104
107	4	4.04	55.7	11.1	-57.7	57.5	9.78	-57	154	55.7	11.1	-57.7	131
106	4	3.15	14.2	57.5	23.3	13.5	55.5	22.8	228	11	54.4	24.8	183
105	3	3.42	-68	-26.1	-5.31	-65.8	-25	-5.81	185	-68	-26.1	-5.31	142
104	3	3.68	14.3	68.1	-56.8	13.4	67	-56.3	252	11	67.9	-56.8	201
103	3	3.48	-11.8	-2.27	-15.7	-13	-1.4	-16.1	69.4	-11.8	-2.27	-15.7	65.8
102	3	3.59	-61.9	-18.8	9.84	-60.7	-19.6	10.3	152	-58.5	-18.6	9.85	137
101	3	3.68	-44.3	76	-25.2	-42.1	75.1	-24.7	132	-40.7	73.2	-23.7	92.2
100	3	3.39	-16.8	-83.3	31.5	-18.1	-81.5	30.5	210	-20.4	-80.6	30	166
99	3	4.08	16.7	-75.6	28.6	16.8	-75.6	28.6	133	13.3	-75.8	28.6	112
98	3	3.39	-30.5	20.3	3.47	-28.4	21.1	5.08	65	-27.2	20.5	3.48	61.7
97	3	3.83	-55.8	48.2	-36.4	-56.9	48.9	-34.9	232	-55.8	48.2	-36.4	167
96	3	3.33	-16.4	66.9	-32.2	-17.6	67.8	-32.7	313	-16.6	69.8	-33.7	235
95	3	3.45	5.77	-23.7	70.5	4.81	-25.7	71.5	437	5.77	-23.7	70.5	295
94	3	4.51	-17.1	-36.2	69.9	-14	-36	69.9	118	-17.1	-36.2	69.9	105
93	3	3.45	26.8	73.7	9.31	26.9	73.6	9.36	102	26.8	73.7	9.31	87.9
92	3	4.45	10.7	8.14	35.8	9.65	7.23	36.3	115	7.34	7.95	35.8	96.1
91	3	4.35	-28.5	-53.5	-21.4	-28.5	-53.3	-21.4	200	-28.5	-53.5	-21.4	169
90	3	3.55	38.8	-44.5	-17.6	38.8	-44.5	-17.6	132	38.8	-44.5	-17.6	121
89	3	3.73	-71.6	-18.5	-28	-70.7	-17.4	-28.5	113	-68.3	-18.3	-28	82.1
88	3	3.87	54	23	23.4	55.2	22.4	21.9	122	57.4	23.2	23.4	102
87	3	3.37	-60.4	-36.3	-12.4	-57.1	-36.1	-12.3	131	-60.4	-36.3	-12.4	118
86	2	4.26	-28	-70.4	37.1	-27.9	-71.7	37.7	190	-28	-70.4	37.1	138
85	2	3.33	-20.7	14.5	69	-19.1	16.1	68.3	154	-20.7	14.5	69	141
84	2	3.15	2.41	38.2	-17	0.728	38.1	-17.1	190	-0.978	38	-17.1	161
83	2	3.72	-22.7	47.7	45.9	-22.6	46.2	46.6	95.2	-22.6	44.8	47.4	86.9
