Cluster Index	Voxels	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
149	795	7.47	40.6	25	15	22.9	30.5	16.9	632	12.5	75	10	168
148	243	7.49	50	-21.9	25	48.8	-32.6	18.9	428	46.9	-40.6	40	135
147	161	4.56	-31.2	34.4	-5	-22.7	38.1	0.528	479	-3.12	12.5	-20	199
146	151	7.26	-53.1	6.25	25	-49.1	9.33	23.3	218	-62.5	18.8	5	117
145	66	6.76	34.4	-68.8	-20	30.2	-65.9	-18.6	323	28.1	-71.9	-25	171
144	65	5.04	-43.8	-28.1	25	-41.6	-35.4	24.9	241	-28.1	-50	30	131
143	42	4.95	-53.1	43.8	10	-50.3	43	14.3	357	-46.9	46.9	10	183
142	27	4.03	-12.5	-78.1	-45	-9.9	-73.6	-57.4	203	3.12	-75	-55	142
141	24	4.41	15.6	-43.8	10	12.3	-54.4	13.1	263	12.5	-59.4	15	162
140	17	4.77	-46.9	-34.4	0	-49	-34.8	-3.64	200	-50	-40.6	-5	125
139	16	4.71	-21.9	-75	-15	-26.8	-72.1	-19.2	224	-21.9	-75	-15	142
138	15	4.67	12.5	-59.4	-75	20.5	-56.2	-75	415	21.9	-56.2	-75	226
137	15	4.72	-25	-56.2	-75	-19.5	-56.8	-75	590	-25	-56.2	-75	298
136	13	4.48	-46.9	-50	-25	-47.1	-51.6	-26.1	204	-43.8	-59.4	-25	156
135	13	4.37	-50	-31.2	-35	-43.5	-30.8	-35	223	-50	-31.2	-35	166
134	13	3.91	-37.5	-56.2	-35	-36.1	-49.5	-40.3	533	-34.4	-50	-40	295
133	12	4.03	0	12.5	20	2.98	7.66	20.8	142	-3.12	12.5	20	93.8
132	11	3.71	-31.2	-46.9	-25	-30.1	-56.8	-25	217	-31.2	-50	-25	163
131	10	4.39	-12.5	15.6	5	-13.5	14.5	4	508	-9.38	12.5	0	247
130	9	4.32	50	-9.38	-15	50.4	-10.7	-12.4	155	53.1	-9.38	-15	121
129	8	4.64	-56.2	-40.6	35	-57.5	-41.1	33.9	250	-56.2	-46.9	30	183
128	8	4.53	-40.6	-62.5	-15	-37.9	-64.8	-15	185	-37.5	-65.6	-15	134
127	8	4.45	-59.4	-15.6	-35	-58.5	-13.7	-34.5	201	-56.2	-12.5	-35	127
126	7	4.87	-62.5	-9.38	10	-62.3	-8.01	10.6	178	-62.5	-9.38	10	134
125	6	4.26	31.2	75	10	31.7	74.4	10	329	31.2	71.9	10	175
124	6	3.64	-21.9	68.8	-15	-20.3	70.8	-13.4	430	-18.8	65.6	-15	259
123	6	3.93	9.38	-12.5	50	8.4	-13.5	47.6	126	6.25	-15.6	45	97.5
122	6	4.49	18.8	-71.9	30	13.3	-73.9	26.7	265	15.6	-75	25	190
121	5	4.04	-6.25	-6.25	55	-8.63	-5.09	55	242	-6.25	-6.25	55	167
120	5	3.91	-3.12	31.2	-30	-2.57	31.8	-30	244	-3.12	31.2	-30	163
119	5	4.24	-31.2	56.2	-10	-32.4	55.7	-10	168	-34.4	56.2	-10	135
118	5	4.44	-65.6	-21.9	35	-63.8	-21.4	35	192	-62.5	-21.9	35	140
117	5	4.22	-53.1	-31.2	15	-51.4	-30.7	12.1	167	-56.2	-31.2	15	126
116	4	3.91	-15.6	43.8	-25	-16.4	46	-25	204	-15.6	50	-25	161
115	4	3.52	-43.8	50	-25	-42.2	48.5	-25	316	-40.6	50	-25	267
114	4	3.59	-12.5	25	20	-12.6	23.5	20	150	-12.5	25	20	112
113	4	3.74	37.5	-21.9	55	36	-20.3	55	279	34.4	-21.9	55	192
112	4	4.67	-28.1	59.4	30	-27.4	60.8	30	290	-28.1	56.2	30	212
111	4	3.6	-40.6	-18.8	55	-38.4	-22.5	55	260	-34.4	-25	55	239
110	4	3.38	6.25	28.1	15	6.26	28.9	16.2	206	6.25	31.2	15	163
109	4	3.74	59.4	0	10	60.9	1.55	10	99.6	62.5	3.12	10	84.5
108	4	3.32	-25	6.25	-5	-22.7	8.6	-5	121	-21.9	9.38	-5	104
107	4	4.04	50	25	-40	51.5	23.5	-40	154	50	25	-40	131
106	4	3.15	15.6	34.4	45	14.9	32.8	43.8	228	12.5	31.2	45	183
105	3	3.42	-65.6	-21.9	-10	-63.6	-20.8	-10	185	-65.6	-21.9	-10	142
104	3	3.68	15.6	75	-15	14.7	73.9	-15	252	12.5	75	-15	201
103	3	3.48	-12.5	0	-10	-13.6	0.982	-10	69.4	-12.5	0	-10	65.8
102	3	3.59	-59.4	-21.9	5	-58.3	-22.9	5	152	-56.2	-21.9	5	137
101	3	3.68	-37.5	71.9	15	-35.5	70.9	15	132	-34.4	68.8	15	92.2
100	3	3.39	-21.9	-87.5	-5	-22.9	-85.4	-5	210	-25	-84.4	-5	166
99	3	4.08	9.38	-81.2	-5	9.45	-81.2	-5	133	6.25	-81.2	-5	112
98	3	3.39	-28.1	12.5	15	-26.1	12.5	16.6	65	-25	12.5	15	61.7
97	3	3.83	-50	53.1	-5	-50.9	53.3	-3.5	232	-50	53.1	-5	167
96	3	3.33	-12.5	65.6	5	-13.5	66.7	5	313	-12.5	68.8	5	235
95	3	3.45	3.12	-53.1	50	2.12	-55.1	50	437	3.12	-53.1	50	295
94	3	4.51	-18.8	-62.5	45	-15.8	-62.5	45	118	-18.8	-62.5	45	105
93	3	3.45	28.1	53.1	40	28.2	53	40	102	28.1	53.1	40	87.9
92	3	4.45	9.38	-12.5	35	8.34	-13.4	35	115	6.25	-12.5	35	96.1
