Cluster Index	Z	P	-log10(P)	x	y	z	
211	7.4	6.95e-14	13.2	50	-21.9	25
211	6.87	3.3e-12	11.5	-12.5	-78.1	5
211	6.66	1.35e-11	10.9	34.4	-68.8	-20
211	6.59	2.16e-11	10.7	28.1	-68.8	-25
211	6.42	6.61e-11	10.2	28.1	-62.5	-50
211	6.24	2.16e-10	9.67	-9.38	-46.9	10
210	7.38	7.98e-14	13.1	40.6	25	15
210	6.19	3.07e-10	9.51	28.1	9.38	35
210	5.99	1.07e-09	8.97	28.1	37.5	-10
210	5.31	5.55e-08	7.26	50	31.2	5
210	5.13	1.43e-07	6.85	34.4	28.1	40
210	4.89	5.03e-07	6.3	43.8	15.6	40
209	5.92	1.61e-09	8.79	-12.5	15.6	40
209	5.19	1.06e-07	6.98	3.12	21.9	35
209	4.57	2.49e-06	5.6	3.12	9.38	45
209	4.42	5.01e-06	5.3	3.12	37.5	30
209	4.36	6.45e-06	5.19	-6.25	6.25	45
209	4.06	2.46e-05	4.61	-15.6	25	30
208	7.16	3.95e-13	12.4	-53.1	6.25	25
208	5.82	2.98e-09	8.53	-62.5	15.6	10
208	5.51	1.77e-08	7.75	-46.9	12.5	15
208	4.74	1.08e-06	5.97	-53.1	6.25	35
207	4.41	5.06e-06	5.3	-31.2	34.4	-5
207	4.4	5.42e-06	5.27	-28.1	53.1	10
207	4.25	1.05e-05	4.98	-15.6	43.8	10
207	3.85	5.8e-05	4.24	-34.4	59.4	20
207	3.52	0.000219	3.66	-43.8	53.1	5
207	3.4	0.000333	3.48	-21.9	34.4	0
206	4.38	5.93e-06	5.23	0	12.5	-20
206	4.22	1.23e-05	4.91	-21.9	37.5	-15
206	4.2	1.34e-05	4.87	-12.5	15.6	-15
206	4.16	1.61e-05	4.79	-25	21.9	-25
206	3.98	3.48e-05	4.46	-21.9	37.5	-30
206	3.86	5.78e-05	4.24	-21.9	25	-15
205	4	3.14e-05	4.5	-9.38	65.6	-5
205	3.96	3.7e-05	4.43	-21.9	59.4	-10
205	3.93	4.3e-05	4.37	-6.25	75	0
205	3.78	7.7e-05	4.11	-18.8	65.6	-10
205	3.68	0.000118	3.93	-9.38	71.9	-15
205	3.43	0.000307	3.51	-15.6	78.1	-5
204	4.88	5.26e-07	6.28	-12.5	56.2	10
204	4.09	2.17e-05	4.66	-3.12	71.9	10
204	3.94	4.08e-05	4.39	-3.12	65.6	15
204	3.92	4.44e-05	4.35	-18.8	59.4	0
203	4.82	7.34e-07	6.13	-53.1	43.8	10
203	3.65	0.000131	3.88	-59.4	37.5	5
202	6.42	7.02e-11	10.2	-37.5	3.12	35
202	5.66	7.51e-09	8.12	-37.5	9.38	35
201	4.66	1.61e-06	5.79	28.1	65.6	0
201	3.68	0.000115	3.94	28.1	59.4	-5
201	3.64	0.000137	3.86	31.2	68.8	-10
201	3.57	0.000179	3.75	25	65.6	10
201	3.53	0.000211	3.68	37.5	59.4	-5
201	3.47	0.000262	3.58	25	53.1	0
200	4.24	1.11e-05	4.95	-12.5	15.6	5
200	4.15	1.63e-05	4.79	-31.2	34.4	25
200	3.73	9.73e-05	4.01	-18.8	12.5	5
200	3.58	0.000173	3.76	-15.6	25	10
200	3.56	0.000189	3.72	-28.1	28.1	15
200	3.38	0.000366	3.44	-25	21.9	0
199	4.74	1.07e-06	5.97	-43.8	-15.6	-45
199	4.04	2.7e-05	4.57	-37.5	-3.12	-30
199	3.96	3.69e-05	4.43	-31.2	-6.25	-30
199	3.88	5.21e-05	4.28	-40.6	-15.6	-35
199	3.53	0.000206	3.69	-46.9	-18.8	-35
198	5.08	1.85e-07	6.73	-28.1	37.5	-55
198	3.81	7.05e-05	4.15	-25	28.1	-45
197	4.59	2.24e-06	5.65	25	-50	-25
197	4.53	2.89e-06	5.54	12.5	-37.5	-25
197	4.32	7.69e-06	5.11	21.9	-40.6	-30
196	4.14	1.73e-05	4.76	-43.8	43.8	-30
196	4.08	2.28e-05	4.64	-46.9	37.5	-30
196	3.49	0.000239	3.62	-34.4	50	-30
196	3.37	0.000379	3.42	-53.1	37.5	-25
196	3.35	0.000407	3.39	-31.2	43.8	-40
196	3.33	0.000427	3.37	-40.6	43.8	-45
