Cluster Index	Z	P	-log10(P)	x	y	z	
203	4.56	2.56e-06	5.59	21	11	5
203	4.41	5.28e-06	5.28	45	13	3
203	4.26	1.02e-05	4.99	42	11	2
203	4.21	1.26e-05	4.9	39	9	5
203	4.2	1.33e-05	4.88	33	11	3
203	4.19	1.4e-05	4.85	23	13	5
202	4.99	2.96e-07	6.53	42	43	14
202	4.66	1.57e-06	5.8	44	41	11
202	4.44	4.57e-06	5.34	36	38	13
202	4.34	7.08e-06	5.15	40	47	18
202	4.16	1.56e-05	4.81	42	47	15
202	4.07	2.33e-05	4.63	37	44	17
201	4.86	5.81e-07	6.24	23	44	13
201	4.82	7.31e-07	6.14	29	38	13
201	4.59	2.2e-06	5.66	26	49	11
201	4.4	5.43e-06	5.26	27	40	15
201	4.32	7.97e-06	5.1	30	46	11
201	4.01	3.05e-05	4.52	18	47	11
200	6.01	9.55e-10	9.02	22	10	13
200	5.49	2e-08	7.7	18	19	10
200	5.17	1.17e-07	6.93	21	20	8
200	5.11	1.58e-07	6.8	21	14	9
200	5.1	1.72e-07	6.76	17	23	10
200	4.5	3.39e-06	5.47	21	11	11
199	5.84	2.59e-09	8.59	47	16	9
199	5.35	4.4e-08	7.36	45	16	10
199	5.1	1.72e-07	6.76	44	16	7
199	5.03	2.46e-07	6.61	42	13	8
199	4.76	9.6e-07	6.02	51	17	9
199	4.38	6.05e-06	5.22	46	22	8
198	4.8	8.1e-07	6.09	43	13	15
198	4.4	5.45e-06	5.26	43	15	16
198	4.29	8.81e-06	5.05	37	12	21
198	4.02	2.91e-05	4.54	42	17	21
198	3.96	3.79e-05	4.42	45	19	21
198	3.92	4.37e-05	4.36	38	16	17
197	4.92	4.36e-07	6.36	22	15	21
197	4.89	5.17e-07	6.29	23	16	19
197	4.73	1.13e-06	5.95	24	14	20
197	3.31	0.000459	3.34	27	12	20
196	5.49	2.02e-08	7.69	22	15	15
196	5.24	8.12e-08	7.09	21	13	16
195	4.38	5.87e-06	5.23	30	43	21
195	3.56	0.000183	3.74	32	47	21
195	3.51	0.00022	3.66	32	39	21
194	4.93	4.03e-07	6.39	44	33	22
194	4.16	1.57e-05	4.8	43	35	22
193	4.63	1.8e-06	5.75	20	39	18
193	3.8	7.22e-05	4.14	23	37	19
192	4.11	2e-05	4.7	34	17	3
192	3.85	5.84e-05	4.23	33	19	2
192	3.67	0.00012	3.92	32	15	3
191	4.88	5.4e-07	6.27	47	35	19
191	3.94	4.01e-05	4.4	51	35	21
190	4.35	6.93e-06	5.16	29	37	22
190	3.89	4.96e-05	4.3	31	35	24
189	3.69	0.000113	3.95	38	17	11
189	3.67	0.000119	3.92	39	17	13
189	3.61	0.000152	3.82	40	20	11
189	3.51	0.000222	3.65	43	19	12
188	4.35	6.73e-06	5.17	27	57	15
188	4.07	2.35e-05	4.63	26	55	15
188	3.8	7.25e-05	4.14	23	56	15
188	3.37	0.000381	3.42	30	54	15
187	3.91	4.55e-05	4.34	49	46	17
187	3.81	6.98e-05	4.16	46	48	19
187	3.69	0.000111	3.96	47	45	18
186	3.88	5.23e-05	4.28	19	47	17
186	3.72	9.83e-05	4.01	25	46	18
186	3.4	0.000334	3.48	23	45	18
185	4.57	2.44e-06	5.61	39	42	5
184	4.27	9.85e-06	5.01	41	15	12
184	3.94	4.13e-05	4.38	38	11	13
183	4.11	1.97e-05	4.7	23	19	11
183	3.99	3.32e-05	4.48	25	21	12
183	3.91	4.53e-05	4.34	27	21	12
182	3.92	4.34e-05	4.36	15	17	7
182	3.74	9.02e-05	4.04	16	19	5
182	3.65	0.00013	3.88	16	21	4
182	3.62	0.000147	3.83	15	21	6
182	3.62	0.000149	3.83	17	15	7
181	5.29	6.02e-08	7.22	49	24	20
180	4.47	3.95e-06	5.4	31	16	13
179	4.29	8.8e-06	5.06	45	52	11
179	3.78	7.86e-05	4.1	42	52	11
178	4.04	2.68e-05	4.57	18	25	12
178	3.77	8.26e-05	4.08	16	29	12
177	4.56	2.62e-06	5.58	50	12	15
176	4.06	2.41e-05	4.62	32	41	18
176	3.5	0.000233	3.63	28	41	19
175	3.92	4.48e-05	4.35	29	20	0
175	3.79	7.52e-05	4.12	29	23	0
174	4.44	4.4e-06	5.36	22	52	16
173	4.8	7.85e-07	6.11	24	47	15
172	4.34	7e-06	5.16	25	23	2
171	4.6	2.08e-06	5.68	17	25	20
171	3.34	0.000417	3.38	17	23	21
