Cluster Index	Z	P	-log10(P)	x	y	z	
203	4.56	2.56e-06	5.59	44.8	-80.3	-24.2
203	4.41	5.28e-06	5.28	-36.4	-83.4	-37.6
203	4.26	1.02e-05	4.99	-25.6	-91.1	-39.6
203	4.21	1.26e-05	4.9	-15.8	-89.5	-21.4
203	4.2	1.33e-05	4.88	4.59	-87.1	-34.4
203	4.19	1.4e-05	4.85	37.6	-74.7	-27.2
202	4.99	2.96e-07	6.53	-34.4	31.5	-27.3
202	4.66	1.57e-06	5.8	-40.1	18.2	-39.4
202	4.44	4.57e-06	5.34	-12.9	15.5	-24.7
202	4.34	7.08e-06	5.15	-29.3	53	-13.1
202	4.16	1.56e-05	4.81	-35.4	45.7	-28.2
202	4.07	2.33e-05	4.63	-18.3	42.4	-13.6
201	4.86	5.81e-07	6.24	30	35.6	-33.6
201	4.82	7.31e-07	6.14	10.8	16.8	-24.6
201	4.59	2.2e-06	5.66	19.3	45.2	-51.2
201	4.4	5.43e-06	5.26	16.7	27.7	-17.5
201	4.32	7.97e-06	5.1	6.32	35.6	-46.8
201	4.01	3.05e-05	4.52	46.7	40.8	-48.1
200	6.01	9.55e-10	9.02	39.8	-64.8	17.7
200	5.49	2e-08	7.7	52.3	-44.4	-11
200	5.17	1.17e-07	6.93	42.4	-46.7	-22.6
200	5.11	1.58e-07	6.8	43.3	-62.1	-8.54
200	5.1	1.72e-07	6.76	54.9	-32.4	-17
200	4.5	3.39e-06	5.47	43.5	-66.3	6.07
199	5.84	2.59e-09	8.59	-45.1	-61	-11.9
199	5.35	4.4e-08	7.36	-38.5	-58.3	-6.79
199	5.1	1.72e-07	6.76	-34.5	-65.1	-21.9
199	5.03	2.46e-07	6.61	-27.3	-71.2	-12.3
199	4.76	9.6e-07	6.02	-58.8	-58.7	-13.4
199	4.38	6.05e-06	5.22	-42.6	-45.3	-25.9
198	4.8	8.1e-07	6.09	-32.3	-55.1	23
198	4.4	5.45e-06	5.26	-32.9	-46.9	25
198	4.29	8.81e-06	5.05	-13.1	-43	54.8
198	4.02	2.91e-05	4.54	-31	-29.1	47.2
198	3.96	3.79e-05	4.42	-41.5	-23.8	44.2
198	3.92	4.37e-05	4.36	-16.4	-40.7	28.6
197	4.92	4.36e-07	6.36	37.1	-31.4	50.5
197	4.89	5.17e-07	6.29	34	-33.3	38.9
