Cluster Index	Z	P	-log10(P)	x	y	z	
149	7.47	3.99e-14	13.4	43.2	36.2	-2.3
149	6.3	1.54e-10	9.81	29.7	30	25.4
149	6.1	5.36e-10	9.27	30	35.6	-33.6
149	6.03	8.05e-10	9.09	-14.9	35.8	27.2
149	5.43	2.78e-08	7.56	53.4	38	-15.4
149	5.32	5.29e-08	7.28	1.85	40.3	19.2
148	7.49	3.47e-14	13.5	55.7	-3.01	30.4
148	6.19	2.98e-10	9.53	59.6	-13	48.1
148	6	1.01e-09	9	65.8	-3.72	43.6
148	5.86	2.34e-09	8.63	66.7	-13	23.4
148	5.58	1.2e-08	7.92	43.9	-30.4	43.9
148	5.35	4.45e-08	7.35	52.6	-11.6	59.6
147	4.56	2.53e-06	5.6	-34.4	31.5	-27.3
147	4.55	2.71e-06	5.57	-32.8	56.4	-21.2
147	4.53	2.97e-06	5.53	1.45	5.64	-31.7
147	4.41	5.27e-06	5.28	-18.7	48.3	-16.6
147	4.35	6.7e-06	5.17	-12.5	10.2	-28.2
147	4.31	8.03e-06	5.1	-26	10.7	-41.4
146	7.26	1.97e-13	12.7	-57.7	17.6	16.5
146	6.52	3.51e-11	10.5	-41	20.2	28.1
146	5.93	1.49e-09	8.83	-67.7	18.9	-3.21
146	5.78	3.75e-09	8.43	-41.4	26.1	25.1
146	5.63	8.86e-09	8.05	-50.9	19.2	3.4
146	4.88	5.39e-07	6.27	-58.1	22.2	26.6
145	6.76	6.75e-12	11.2	43.6	-69.3	7.58
145	6.69	1.08e-11	11	37.1	-72	2.51
145	5.86	2.33e-09	8.63	29.6	-66	24.2
145	5.7	5.99e-09	8.22	36.4	-65	17.6
145	5.18	1.13e-07	6.95	43.3	-62.1	-8.54
145	4.51	3.26e-06	5.49	49.9	-58.8	-10
144	5.04	2.37e-07	6.62	-45.4	-14.4	33.1
144	5	2.82e-07	6.55	-20.4	-33.9	43.7
144	4.78	8.96e-07	6.05	-64.8	-30.3	40.6
144	4.71	1.27e-06	5.9	-69.3	-12.8	31.5
144	4.48	3.68e-06	5.43	-65.5	-18.5	34.5
143	4.95	3.67e-07	6.44	-59.3	46.1	-16.7
143	3.83	6.53e-05	4.18	-65.5	37.5	-18.8
143	3.44	0.000292	3.53	-65.6	35.6	0.865
142	4.03	2.83e-05	4.55	-5.46	-92.5	-13.3
142	3.99	3.3e-05	4.48	-15.1	-96.5	-36.5
142	3.95	3.95e-05	4.4	-1.6	-96.4	-29.9
142	3.91	4.65e-05	4.33	-15.4	-94.8	-24.9
142	3.86	5.63e-05	4.25	11.7	-93.3	-24.8
142	3.64	0.000134	3.87	-12.4	-90	-14.8
141	4.41	5.14e-06	5.29	20.5	-32.7	25.7
141	4.24	1.11e-05	4.95	7.88	-48.9	39.7
141	4.09	2.15e-05	4.67	21.1	-41.6	30.2
141	3.85	5.87e-05	4.23	17.8	-45.4	38.3
