Cluster Index	Z	P	-log10(P)	x	y	z	
145	5.13	1.48e-07	6.83	42	43	14
145	4.8	7.85e-07	6.11	44	41	11
145	4.58	2.28e-06	5.64	36	38	13
145	4.53	2.93e-06	5.53	30	43	21
145	4.5	3.46e-06	5.46	29	37	22
145	4.49	3.54e-06	5.45	40	47	18
144	6.12	4.77e-10	9.32	22	10	13
144	5.61	1e-08	8	18	19	10
144	5.61	1.01e-08	8	22	15	15
144	5.36	4.06e-08	7.39	21	13	16
144	5.3	5.84e-08	7.23	21	20	8
144	5.24	7.89e-08	7.1	21	14	9
143	5	2.91e-07	6.54	23	44	13
143	4.95	3.66e-07	6.44	29	38	13
143	4.73	1.1e-06	5.96	26	49	11
143	4.55	2.72e-06	5.57	27	40	15
143	4.47	3.98e-06	5.4	30	46	11
143	4.3	8.73e-06	5.06	37	49	11
142	5.96	1.3e-09	8.89	47	16	9
142	5.47	2.2e-08	7.66	45	16	10
142	5.23	8.6e-08	7.07	44	16	7
142	5.16	1.23e-07	6.91	42	13	8
142	4.9	4.8e-07	6.32	51	17	9
142	4.52	3.03e-06	5.52	46	22	8
141	4.93	4.05e-07	6.39	43	13	15
141	4.55	2.72e-06	5.56	43	15	16
141	4.44	4.41e-06	5.36	37	12	21
141	4.18	1.45e-05	4.84	42	17	21
141	4.12	1.9e-05	4.72	45	19	21
141	4.09	2.19e-05	4.66	38	16	17
140	4.77	8.99e-07	6.05	20	39	18
140	3.97	3.61e-05	4.44	23	37	19
140	3.88	5.29e-05	4.28	23	35	21
140	3.65	0.000133	3.88	16	44	19
140	3.6	0.00016	3.8	23	34	24
139	4.42	4.93e-06	5.31	41	15	12
139	4.1	2.07e-05	4.68	38	11	13
139	3.86	5.65e-05	4.25	38	17	11
139	3.85	5.95e-05	4.23	39	17	13
139	3.79	7.58e-05	4.12	40	20	11
139	3.69	0.000111	3.95	43	19	12
138	4.94	3.93e-07	6.41	24	47	15
138	4.05	2.62e-05	4.58	19	47	17
138	3.89	4.91e-05	4.31	25	46	18
138	3.59	0.000167	3.78	23	45	18
137	5.07	2.02e-07	6.7	44	33	22
137	4.32	7.85e-06	5.1	43	35	22
136	5.01	2.7e-07	6.57	47	35	19
136	4.11	2e-05	4.7	51	35	21
136	3.43	0.000305	3.52	50	31	21
135	4.5	3.36e-06	5.47	27	57	15
135	4.23	1.17e-05	4.93	26	55	15
135	3.97	3.62e-05	4.44	23	56	15
135	3.55	0.000191	3.72	30	54	15
134	5.42	3.01e-08	7.52	49	24	20
133	4.1	2.02e-05	4.69	36	34	23
133	4.03	2.77e-05	4.56	35	37	23
133	3.5	0.000228	3.64	36	40	21
133	3.38	0.000365	3.44	39	39	21
132	4.2	1.34e-05	4.87	18	25	12
132	3.94	4.13e-05	4.38	16	29	12
131	4.59	2.17e-06	5.66	34	48	9
131	4.15	1.69e-05	4.77	30	40	9
131	3.91	4.53e-05	4.34	34	42	9
131	3.46	0.000268	3.57	33	46	9
130	4.32	7.98e-06	5.1	30	9	3
130	3.72	9.81e-05	4.01	35	8	3
130	3.46	0.000268	3.57	39	8	3
129	4.44	4.4e-06	5.36	45	52	11
129	3.95	3.93e-05	4.41	42	52	11
128	4.59	2.2e-06	5.66	22	52	16
128	3.47	0.000265	3.58	21	51	18
127	4.04	2.65e-05	4.58	33	57	11
127	4	3.18e-05	4.5	31	54	11
126	3.84	6.13e-05	4.21	27	45	9
126	3.73	9.55e-05	4.02	24	45	9
126	3.47	0.000263	3.58	24	42	9
125	4.23	1.19e-05	4.92	48	23	13
125	4.12	1.88e-05	4.73	47	21	15
124	4.75	1.04e-06	5.98	17	25	20
124	3.53	0.000209	3.68	17	23	21
123	4.42	4.98e-06	5.3	51	28	23
122	4.19	1.39e-05	4.86	39	14	0
122	4.15	1.67e-05	4.78	37	14	0
121	4.76	9.53e-07	6.02	46	10	13
121	3.57	0.00018	3.74	45	13	12
120	3.76	8.37e-05	4.08	30	51	13
119	4.39	5.66e-06	5.25	48	28	25
118	3.64	0.000137	3.86	49	44	11
118	3.55	0.000195	3.71	50	40	11
117	3.88	5.27e-05	4.28	49	23	17
116	3.54	0.000203	3.69	44	11	21
116	3.52	0.000215	3.67	43	13	21
115	3.83	6.44e-05	4.19	16	22	15
115	3.66	0.000126	3.9	19	22	15
114	3.65	0.00013	3.89	26	13	0
113	3.79	7.41e-05	4.13	53	24	21
112	3.51	0.000225	3.65	24	27	20
111	3.94	4.03e-05	4.39	48	25	5
110	4.8	7.97e-07	6.1	15	44	13
109	3.58	0.00017	3.77	18	38	23
108	3.95	3.95e-05	4.4	46	15	23
107	3.58	0.000171	3.77	28	56	17
106	3.58	0.000174	3.76	24	39	22
106	3.51	0.000221	3.66	21	41	23
105	3.84	6.15e-05	4.21	36	10	22
104	3.54	0.000201	3.7	18	33	8
103	3.53	0.000209	3.68	51	42	17
102	4.28	9.4e-06	5.03	50	27	8
101	3.89	5.11e-05	4.29	37	57	13
100	3.48	0.000255	3.59	32	36	19
99	3.41	0.000329	3.48	37	12	17
99	3.36	0.000394	3.4	35	12	17
98	3.83	6.42e-05	4.19	49	15	21
97	3.91	4.6e-05	4.34	23	44	7
96	3.8	7.33e-05	4.13	36	55	11
95	3.44	0.000291	3.54	50	21	23
94	3.74	9.35e-05	4.03	25	28	13
93	3.92	4.4e-05	4.36	39	20	15
92	3.75	9.02e-05	4.04	50	23	8
91	3.4	0.000334	3.48	34	33	9
90	4.13	1.85e-05	4.73	11	21	18
90	3.25	0.000567	3.25	13	22	18
89	3.39	0.000355	3.45	43	45	9
88	3.43	0.000301	3.52	24	8	4
87	3.79	7.59e-05	4.12	43	27	21
86	3.86	5.58e-05	4.25	13	22	16
85	3.56	0.000184	3.74	33	57	13
84	4.02	2.93e-05	4.53	28	17	0
83	3.53	0.000205	3.69	38	8	11
82	3.28	0.000526	3.28	47	22	25
81	3.42	0.000309	3.51	38	34	21
80	3.55	0.00019	3.72	31	35	10
79	3.49	0.000241	3.62	48	14	11
78	3.51	0.000227	3.64	51	14	11
77	3.96	3.72e-05	4.43	21	25	8
76	3.49	0.000241	3.62	54	25	11
75	3.72	0.000101	4	42	43	7
74	4.1	2.07e-05	4.68	32	12	18
73	3.82	6.6e-05	4.18	36	31	25
72	3.82	6.59e-05	4.18	23	26	25
71	3.5	0.000237	3.63	36	7	5
70	3.53	0.000207	3.68	18	37	5
69	3.52	0.000213	3.67	45	40	16
68	3.39	0.000352	3.45	43	15	4
67	3.23	0.000621	3.21	40	5	15
66	3.71	0.000103	3.99	49	27	21
65	3.18	0.000747	3.13	17	40	5
64	3.42	0.000318	3.5	16	51	13
63	3.32	0.000447	3.35	32	44	17
62	3.13	0.000867	3.06	31	15	25
61	3.48	0.000247	3.61	36	12	9
60	3.2	0.000699	3.16	30	30	10
59	3.37	0.000381	3.42	40	25	9
58	3.16	0.00078	3.11	29	32	19
57	3.68	0.000116	3.93	27	45	25
56	3.52	0.000215	3.67	23	52	19
55	3.19	0.00071	3.15	38	20	19
54	3.59	0.000166	3.78	28	52	20
53	3.16	0.000777	3.11	25	56	20
52	3.16	0.000779	3.11	35	14	21
51	3.19	0.000706	3.15	16	20	21
50	3.71	0.000104	3.98	12	24	21
49	3.1	0.000962	3.02	41	25	25
