Cluster Index	Z	P	-log10(P)	x	y	z	
145	5.13	1.48e-07	6.83	-31.2	34.4	-5
145	4.8	7.85e-07	6.11	-37.5	28.1	-20
145	4.58	2.28e-06	5.64	-12.5	18.8	-10
145	4.53	2.93e-06	5.53	6.25	34.4	30
145	4.5	3.46e-06	5.46	9.38	15.6	35
145	4.49	3.54e-06	5.45	-25	46.9	15
144	6.12	4.77e-10	9.32	31.2	-68.8	-10
144	5.61	1e-08	8	43.8	-40.6	-25
144	5.61	1.01e-08	8	31.2	-53.1	0
144	5.36	4.06e-08	7.39	34.4	-59.4	5
144	5.3	5.84e-08	7.23	34.4	-37.5	-35
144	5.24	7.89e-08	7.1	34.4	-56.2	-30
143	5	2.91e-07	6.54	28.1	37.5	-10
143	4.95	3.66e-07	6.44	9.38	18.8	-10
143	4.73	1.1e-06	5.96	18.8	53.1	-20
143	4.55	2.72e-06	5.57	15.6	25	0
143	4.47	3.98e-06	5.4	6.25	43.8	-20
143	4.3	8.73e-06	5.06	-15.6	53.1	-20
142	5.96	1.3e-09	8.89	-46.9	-50	-30
142	5.47	2.2e-08	7.66	-40.6	-50	-25
142	5.23	8.6e-08	7.07	-37.5	-50	-40
142	5.16	1.23e-07	6.91	-31.2	-59.4	-35
142	4.9	4.8e-07	6.32	-59.4	-46.9	-30
142	4.52	3.03e-06	5.52	-43.8	-31.2	-35
141	4.93	4.05e-07	6.39	-34.4	-59.4	0
141	4.55	2.72e-06	5.56	-34.4	-53.1	5
141	4.44	4.41e-06	5.36	-15.6	-62.5	30
141	4.18	1.45e-05	4.84	-31.2	-46.9	30
141	4.12	1.9e-05	4.72	-40.6	-40.6	30
141	4.09	2.19e-05	4.66	-18.8	-50	10
140	4.77	8.99e-07	6.05	37.5	21.9	15
140	3.97	3.61e-05	4.44	28.1	15.6	20
140	3.88	5.29e-05	4.28	28.1	9.38	30
140	3.65	0.000133	3.88	50	37.5	20
140	3.6	0.00016	3.8	28.1	6.25	45
139	4.42	4.93e-06	5.31	-28.1	-53.1	-15
139	4.1	2.07e-05	4.68	-18.8	-65.6	-10
139	3.86	5.65e-05	4.25	-18.8	-46.9	-20
139	3.85	5.95e-05	4.23	-21.9	-46.9	-10
139	3.79	7.58e-05	4.12	-25	-37.5	-20
139	3.69	0.000111	3.95	-34.4	-40.6	-15
138	4.94	3.93e-07	6.41	25	46.9	0
138	4.05	2.62e-05	4.58	40.6	46.9	10
138	3.89	4.91e-05	4.31	21.9	43.8	15
138	3.59	0.000167	3.78	28.1	40.6	15
137	5.07	2.02e-07	6.7	-37.5	3.12	35
137	4.32	7.85e-06	5.1	-34.4	9.38	35
136	5.01	2.7e-07	6.57	-46.9	9.38	20
136	4.11	2e-05	4.7	-59.4	9.38	30
136	3.43	0.000305	3.52	-56.2	-3.12	30
135	4.5	3.36e-06	5.47	15.6	78.1	0
135	4.23	1.17e-05	4.93	18.8	71.9	0
135	3.97	3.62e-05	4.44	28.1	75	0
135	3.55	0.000191	3.72	6.25	68.8	0
134	5.42	3.01e-08	7.52	-53.1	-25	25
133	4.1	2.02e-05	4.69	-12.5	6.25	40
133	4.03	2.77e-05	4.56	-9.38	15.6	40
133	3.5	0.000228	3.64	-12.5	25	30
133	3.38	0.000365	3.44	-21.9	21.9	30
132	4.2	1.34e-05	4.87	43.8	-21.9	-15
132	3.94	4.13e-05	4.38	50	-9.38	-15
131	4.59	2.17e-06	5.66	-6.25	50	-30
131	4.15	1.69e-05	4.77	6.25	25	-30
131	3.91	4.53e-05	4.34	-6.25	31.2	-30
131	3.46	0.000268	3.57	-3.12	43.8	-30
130	4.32	7.98e-06	5.1	6.25	-71.9	-60
130	3.72	9.81e-05	4.01	-9.38	-75	-60
130	3.46	0.000268	3.57	-21.9	-75	-60
129	4.44	4.4e-06	5.36	-40.6	62.5	-20
129	3.95	3.93e-05	4.41	-31.2	62.5	-20
128	4.59	2.2e-06	5.66	31.2	62.5	5
128	3.47	0.000265	3.58	34.4	59.4	15
127	4.04	2.65e-05	4.58	-3.12	78.1	-20
127	4	3.18e-05	4.5	3.12	68.8	-20
126	3.84	6.13e-05	4.21	15.6	40.6	-30
126	3.73	9.55e-05	4.02	25	40.6	-30
126	3.47	0.000263	3.58	25	31.2	-30
125	4.23	1.19e-05	4.92	-50	-28.1	-10
125	4.12	1.88e-05	4.73	-46.9	-34.4	0
124	4.75	1.04e-06	5.98	46.9	-21.9	25
124	3.53	0.000209	3.68	46.9	-28.1	30
123	4.42	4.98e-06	5.3	-59.4	-12.5	40
122	4.19	1.39e-05	4.86	-21.9	-56.2	-75
122	4.15	1.67e-05	4.78	-15.6	-56.2	-75
121	4.76	9.53e-07	6.02	-43.8	-68.8	-10
121	3.57	0.00018	3.74	-40.6	-59.4	-15
120	3.76	8.37e-05	4.08	6.25	59.4	-10
119	4.39	5.66e-06	5.25	-50	-12.5	50
118	3.64	0.000137	3.86	-53.1	37.5	-20
118	3.55	0.000195	3.71	-56.2	25	-20
117	3.88	5.27e-05	4.28	-53.1	-28.1	10
116	3.54	0.000203	3.69	-37.5	-65.6	30
116	3.52	0.000215	3.67	-34.4	-59.4	30
115	3.83	6.44e-05	4.19	50	-31.2	0
115	3.66	0.000126	3.9	40.6	-31.2	0
114	3.65	0.00013	3.89	18.8	-59.4	-75
113	3.79	7.41e-05	4.13	-65.6	-25	30
112	3.51	0.000225	3.65	25	-15.6	25
111	3.94	4.03e-05	4.39	-50	-21.9	-50
110	4.8	7.97e-07	6.1	53.1	37.5	-10
109	3.58	0.00017	3.77	43.8	18.8	40
108	3.95	3.95e-05	4.4	-43.8	-53.1	40
107	3.58	0.000171	3.77	12.5	75	10
106	3.58	0.000174	3.76	25	21.9	35
106	3.51	0.000221	3.66	34.4	28.1	40
105	3.84	6.15e-05	4.21	-12.5	-68.8	35
104	3.54	0.000201	3.7	43.8	3.12	-35
103	3.53	0.000209	3.68	-59.4	31.2	10
102	4.28	9.4e-06	5.03	-56.2	-15.6	-35
