Cluster Index	Voxels	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
94	86	4.56	-30.9	25.3	1.77	-20	26.2	6.07	315	-7.61	4.11	-0.862	200
93	57	6.1	33.3	25.9	-5.81	27.1	20.5	-0.271	250	33.2	22.6	-5.24	157
92	55	4.86	6.75	15.4	53.3	6.64	23.1	45.1	367	3.48	33.5	38.9	188
91	36	7.47	47	16.6	23.7	46.8	18.3	27.1	420	50.6	23.9	28	233
90	33	6.76	38.4	-87.3	2.43	35.9	-82.2	-0.73	323	31.5	-91.2	-2.34	175
89	28	7.26	-54.5	1.53	40.5	-51.2	3.5	36	209	-44.4	3.68	34.2	147
88	23	6.52	-37.5	-0.535	51.7	-36.6	1.1	52.2	200	-37.5	-0.535	51.7	122
87	21	4.47	19.8	37.7	-18.8	20.7	37.5	-18.3	411	30	40.7	-19.6	250
86	17	4.95	-54.2	38.3	17.1	-47.2	40.1	22.8	355	-47.3	42.2	21.9	226
85	17	5.58	42.7	-60.2	48.5	41.8	-59.5	49.5	218	42.7	-63.5	49	137
84	16	6.03	-10.2	12.6	54.3	-9.39	12	50.8	222	-6.82	12.5	54.2	132
83	13	4.37	-52.6	-48	-18.8	-45.6	-47.7	-19	223	-52.6	-48	-18.8	166
82	13	5.04	-44.9	-34.8	46.5	-49.6	-35.2	45.5	147	-41.6	-39	41.5	109
81	12	3.91	-39.5	-74.6	-14.5	-38.4	-69	-21.1	533	-36.1	-68.9	-21.3	307
80	11	6.3	33.6	4	48.9	33.5	3.08	49.1	243	33.6	4	48.9	158
79	9	3.75	-31.5	-54	55.1	-29.4	-56.4	54.3	242	-28.2	-57.3	55.6	174
78	9	4.74	-26.6	-81.7	-58.9	-20.2	-82.5	-58.9	591	-26.6	-81.7	-58.9	368
77	8	4.77	-48.7	-45.4	20.2	-51.1	-46	18.4	160	-52.1	-45.3	20.3	133
