Cluster Index	Voxels	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
145	385	5.13	42	43	14	38.2	43	16.6	889	44	41	11	416
144	314	6.12	22	10	13	22.9	15.9	13.5	949	22	18	8	343
143	182	5	23	44	13	26.3	43.8	12.6	1.35e+03	25	49	11	436
142	140	5.96	47	16	9	45.4	18.1	8.32	1.63e+03	44	17	7	484
141	96	4.93	43	13	15	41.6	14.5	17.9	668	39	13	19	349
140	58	4.77	20	39	18	20.3	38.9	19.3	804	17	44	19	373
139	47	4.42	41	15	12	39.5	16	12.1	482	42	19	12	327
138	43	4.94	24	47	15	22.7	46.6	16.9	590	19	47	18	335
137	34	5.07	44	33	22	43	32.8	22.2	411	44	33	22	279
136	31	5.01	47	35	19	47.8	34.9	19.3	590	46	35	19	319
135	23	4.5	27	57	15	25.8	55.1	15	669	26	54	15	503
134	20	5.42	49	24	20	48.1	23.2	19.9	455	49	23	20	302
133	19	4.1	36	34	23	36	36.7	22.3	383	35	37	23	244
132	19	4.2	18	25	12	18.1	26.3	12.3	347	16	29	12	242
131	18	4.59	34	48	9	32.6	43.6	9	900	33	44	9	507
130	17	4.32	30	9	3	33.6	8.76	2.89	424	33	9	3	301
129	16	4.44	45	52	11	44.2	51.3	11	1.1e+03	46	51	11	765
128	15	4.04	33	57	11	31	54.8	11	749	30	54	11	536
127	15	4.59	22	52	16	21.6	51.5	15.9	895	21	52	15	545
126	14	3.84	27	45	9	25.6	44	9	895	24	45	9	575
125	13	4.23	48	23	13	48.1	22.3	13.9	375	48	21	15	305
124	10	4.75	17	25	20	17.4	24.9	20.3	336	17	25	20	244
123	9	4.19	39	14	0	38.1	13.8	0	1.08e+03	39	14	0	685
122	9	4.39	48	28	25	47.6	27.4	25	586	47	28	25	430
121	9	3.76	30	51	13	30	51	13.1	521	31	52	13	457
120	9	4.42	51	28	23	50.9	27.6	23	535	51	27	23	357
119	9	4.76	46	10	13	45.7	10.6	12.8	727	46	9	13	399
118	8	3.88	49	23	17	47.9	22.9	17	368	48	23	17	285
117	8	3.64	49	44	11	49.4	41.9	11	726	49	43	11	561
116	8	3.83	16	22	15	18.2	22.4	15	304	17	22	15	252
115	8	3.54	44	11	21	43.4	12.1	21	1.21e+03	43	12	21	688
114	7	3.65	26	13	0	26	13.7	0	681	25	14	0	479
113	6	3.51	24	27	20	24.7	28.1	20.3	178	25	30	21	164
112	6	3.79	53	24	21	53.2	25	20.8	572	53	25	21	389
111	6	3.94	48	25	5	47.4	24.8	5	687	48	25	5	468
110	6	4.8	15	44	13	15	44.5	13	766	16	44	13	426
109	5	3.54	18	33	8	18.6	32.8	7.61	376	19	33	8	275
108	5	3.91	23	44	7	21.3	45	7	600	23	44	7	455
107	5	3.58	18	38	23	18.4	37.8	22.8	297	18	39	22	272
106	5	3.58	24	39	22	22.4	39.6	22.2	364	21	41	23	258
105	5	3.58	28	56	17	28.6	55.2	17	1.18e+03	28	56	17	723
104	5	3.53	51	42	17	50	42	17.2	449	50	42	17	350
103	5	3.95	46	15	23	46	15	23	491	46	15	23	400
102	5	3.41	37	12	17	36.8	11.8	17	480	36	12	17	438
101	5	3.48	32	36	19	31.6	35.8	19.2	284	33	37	19	237
100	5	4.28	50	27	8	50.2	26.6	8	355	50	27	8	264
99	5	3.89	37	57	13	37.8	56.4	13	616	37	56	13	446
98	5	3.83	49	15	21	49.4	16.2	21	926	49	16	21	620
97	5	3.84	36	10	22	35.8	10.8	22.6	761	35	12	23	391
96	4	3.74	25	28	13	25	29.4	13	204	25	28	13	175
95	4	3.44	50	21	23	50	20.7	22.7	637	50	22	23	483
94	4	3.8	36	55	11	35.5	54.5	11	624	35	55	11	535
93	4	3.4	34	33	9	33.3	33.2	9.24	1.37e+03	33	33	9	1.01e+03
92	4	3.39	43	45	9	42.5	44.5	9	742	43	45	9	576
91	4	3.75	50	23	8	50.5	22.5	8	442	50	23	8	337
90	4	3.92	39	20	15	38.5	19.5	15	244	39	20	15	203
89	4	4.13	11	21	18	12.2	21	18	305	13	21	18	239
88	3	4.02	28	17	0	28.3	16.7	0	377	28	17	0	307
87	3	3.43	24	8	4	24.7	8	4.33	294	25	8	5	269
86	3	3.86	13	22	16	12.7	21.7	16	400	12	22	16	317
85	3	3.28	47	22	25	46.7	22.3	25	821	46	22	25	594
84	3	3.79	43	27	21	42.7	27.3	21	247	43	27	21	207
83	3	3.56	33	57	13	32.7	56.7	13	747	33	57	13	640
82	3	3.53	38	8	11	37	7.35	10.4	448	36	7	10	373
81	3	3.55	31	35	10	31.6	35.3	10.3	758	32	35	10	743
80	3	3.96	21	25	8	20.7	25.3	8	299	21	25	8	256
