Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
145	385	1.49e-07	6.83	5.13	-30.9	25.3	1.77	-17.8	27.2	15.8	889	-38	16.4	-13.4	416
144	314	4.66e-10	9.33	6.12	35.1	-85.5	13.5	32.5	-65.7	12.9	949	35.1	-63.6	-18.6	343
143	180	2.85e-07	6.55	5	33.3	25.9	-5.81	22	25	-7.34	1.35e+03	26.6	40.8	-19.5	438
142	140	1.3e-09	8.89	5.95	-49.4	-66.9	-9.94	-44	-60.8	-15	1.63e+03	-39.4	-65.6	-21.8	484
141	96	3.97e-07	6.4	4.94	-35.6	-72	24.5	-30.7	-64.8	39.6	668	-21.7	-69	46.2	349
140	58	9e-07	6.05	4.77	43.6	13.4	24.3	42.8	14.2	31.7	804	54	30.4	26.7	373
139	47	4.93e-06	5.31	4.42	-29	-68.2	6.67	-23.9	-65.1	6.51	482	-32.2	-55	4.47	327
138	45	3.93e-07	6.41	4.94	30.2	37.5	3.57	34.5	37.6	14.6	590	47.3	39.5	19.7	333
137	34	2.02e-07	6.69	5.07	-37.5	-0.535	51.7	-34	-0.996	52.9	411	-37.5	-0.535	51.7	279
136	31	2.7e-07	6.57	5.01	-47.8	3.77	34.3	-50.5	3.61	35.8	591	-44.4	3.68	34.2	319
135	23	4.18e-06	5.38	4.46	20.5	70.5	-1.91	24.4	64.2	-0.914	668	23.7	60.6	-0.273	501
134	20	3.01e-08	7.52	5.42	-55	-31.2	46.2	-52	-34	46.1	455	-55	-34.5	46.8	302
133	19	2.04e-05	4.69	4.1	-10.3	2.82	56	-10.4	11.2	50.7	383	-6.82	12.5	54.2	244
132	19	1.33e-05	4.87	4.2	49.2	-37.7	-0.863	48.9	-33.2	0.341	347	56.2	-24.7	-3.31	242
131	16	4.51e-06	5.35	4.44	-40.9	52.5	-19.6	-38.4	50	-19.3	1.1e+03	-44.3	49.3	-19	764
130	15	2.65e-05	4.58	4.04	-0.121	67.7	-23.4	6.44	60.3	-22.3	747	9.89	57.6	-22	535
129	15	2.2e-06	5.66	4.59	37.2	54.5	6.06	38.4	52.9	5.65	895	40.5	53.6	0.473	545
128	14	6.04e-05	4.22	3.84	19.5	26.2	-28.1	24.3	22.9	-27.6	895	29.6	25.9	-28.3	576
127	13	1.19e-05	4.92	4.23	-52.2	-40.5	8.16	-52.4	-41.9	13.7	375	-52.1	-45.3	20.3	305
126	13	2.17e-06	5.66	4.59	-4.06	36.7	-29.2	-1.93	26.5	-27.5	900	-0.857	23.5	-27	539
125	10	1.03e-06	5.99	4.75	53.3	-31	43.1	52.1	-31.2	44.7	336	53.3	-31	43.1	244
124	9	8.39e-05	4.08	3.76	9.91	49.5	-9.25	10	49.5	-8.68	521	6.58	52.8	-9.74	457
123	9	1.44e-05	4.84	4.18	-23.2	-81.8	-59	-20.1	-82.6	-58.9	1.08e+03	-23.2	-81.8	-59	685
122	9	9.62e-07	6.02	4.76	-46	-83.2	15.4	-45	-81.5	14	727	-46	-86.5	16	399
121	9	5.7e-06	5.24	4.39	-51	-14	71.4	-49.6	-16	71.7	586	-47.6	-14.1	71.3	430
120	9	8.61e-06	5.07	4.3	7.26	-96.5	-40.3	3.39	-96.4	-40.2	383	-2.89	-96.2	-40.1	296
119	9	5.01e-06	5.3	4.42	-61.3	-15.4	60.6	-61.1	-16.7	60.8	535	-61.4	-18.7	61.2	357
118	8	0.000201	3.7	3.54	-38.6	-73.4	58.7	-36.3	-69.8	58	1.21e+03	-35.1	-70.2	58.1	688
117	8	5.31e-05	4.28	3.88	-55.2	-37	30.3	-51.5	-37.6	30.2	368	-51.9	-37.1	30.2	285
116	8	0.000144	3.84	3.63	-54.8	26.7	-14.8	-56.1	19.8	-13.5	726	-54.8	23.4	-14.2	561
115	8	6.29e-05	4.2	3.83	56.1	-45.1	17.2	48.7	-43.7	17.2	304	52.7	-45	17.3	252
114	7	0.00013	3.89	3.65	20.7	-86.3	-59.4	20.8	-83.9	-59.8	681	24.1	-83.1	-60.1	479
113	6	0.000225	3.65	3.51	29.7	-23.8	42.5	27.5	-19.7	43.7	178	26.5	-13	46.4	164
112	6	7.42e-05	4.13	3.79	-68.4	-30	52	-68.9	-26.8	50.6	571	-68.4	-26.7	51.5	389
111	6	4.02e-05	4.4	3.94	-52.7	-40.7	-37	-50.5	-41.3	-37	687	-52.7	-40.7	-37	467
110	6	7.51e-07	6.12	4.81	60.3	25.1	-6.44	60.3	26.7	-6.72	765	56.9	25.2	-6.36	425
109	5	4.6e-05	4.34	3.91	32.8	20.8	-38.8	38.6	23.8	-39.5	600	32.8	20.8	-38.8	454
108	5	9.55e-06	5.02	4.28	-59.2	-31.4	-21.5	-59.8	-32.6	-21.3	354	-59.2	-31.4	-21.5	263
107	5	0.000333	3.48	3.4	-4.73	-12.5	-20.7	-2.64	-10.3	-18.9	1.37e+03	-1.34	-12.6	-20.8	925
106	5	0.000206	3.69	3.53	-61.2	25.4	19.6	-57.8	25.5	20.5	450	-57.8	25.3	19.5	351
105	5	5e-05	4.3	3.89	-13.5	69.8	-12.1	-16.1	67.9	-11.7	617	-13.5	66.5	-11.6	446
