Cluster Index	Z	P	-log10(P)	x	y	z	
94	4.56	2.54e-06	5.6	-30.9	25.3	1.77
94	4.41	5.23e-06	5.28	-13.7	37.1	16.2
94	4.35	6.68e-06	5.18	-11.1	3.36	-6.29
94	4.31	8.01e-06	5.1	-24.7	8.61	-18.1
94	4.02	2.88e-05	4.54	-21.1	13.5	-7.76
94	3.9	4.84e-05	4.32	-27.1	44.1	15.4
93	6.1	5.31e-10	9.28	33.3	25.9	-5.81
93	4.22	1.22e-05	4.92	16.3	14.1	2.37
92	4.86	5.78e-07	6.24	6.75	15.4	53.3
92	4.71	1.25e-06	5.9	6.7	6.46	60.5
92	4.56	2.51e-06	5.6	6.86	33.4	38.9
91	7.47	3.99e-14	13.4	47	16.6	23.7
90	6.76	6.78e-12	11.2	38.4	-87.3	2.43
90	6.7	1.08e-11	11	31.5	-88	-2.91
90	5.7	5.96e-09	8.22	31.8	-85.4	13.6
90	5.18	1.13e-07	6.95	38.4	-75.9	-10.9
90	4.97	3.28e-07	6.48	25	-82	13.2
90	4.51	3.23e-06	5.49	45.2	-72.8	-11.6
89	7.26	1.97e-13	12.7	-54.5	1.53	40.5
89	5.63	8.85e-09	8.05	-47.8	6.2	28.2
89	4.17	1.55e-05	4.81	-58	-7.35	47.8
88	6.52	3.5e-11	10.5	-37.5	-0.535	51.7
88	5.78	3.77e-09	8.42	-37.4	6.01	50.5
87	4.47	3.85e-06	5.41	19.8	37.7	-18.8
87	3.99	3.37e-05	4.47	26.7	50.6	-21.2
87	3.9	4.83e-05	4.32	29.9	37.4	-19
87	3.56	0.000184	3.74	12.9	28	-16.9
86	4.95	3.65e-07	6.44	-54.2	38.3	17.1
86	4.74	1.07e-06	5.97	-47.3	43.1	27.4
85	5.58	1.22e-08	7.91	42.7	-60.2	48.5
84	6.03	8.04e-10	9.09	-10.2	12.6	54.3
84	4.04	2.69e-05	4.57	-10.2	20.8	41.5
83	4.37	6.28e-06	5.2	-52.6	-48	-18.8
83	3.88	5.2e-05	4.28	-39.1	-48.4	-19.1
82	5.04	2.37e-07	6.62	-44.9	-34.8	46.5
82	3.55	0.00019	3.72	-58.4	-37.7	47.4
81	3.91	4.63e-05	4.33	-39.5	-74.6	-14.5
81	3.68	0.000116	3.93	-39.4	-68.8	-21.2
81	3.56	0.000189	3.72	-32.7	-63.3	-28
80	6.3	1.53e-10	9.81	33.6	4	48.9
80	4.89	4.99e-07	6.3	30.3	2.51	60.5
79	3.75	8.86e-05	4.05	-31.5	-54	55.1
79	3.37	0.000373	3.43	-21.6	-61.6	50.5
78	4.74	1.09e-06	5.96	-26.6	-81.7	-58.9
78	4.67	1.5e-06	5.83	-13	-78.8	-59.8
77	4.77	9.27e-07	6.03	-48.7	-45.4	20.2
76	4.39	5.63e-06	5.25	56.1	-45.1	17.2
76	4.11	2.02e-05	4.7	46	-41.6	16.9
75	3.78	7.77e-05	4.11	3.91	-98.8	-34.2
75	3.41	0.000326	3.49	-2.89	-96.2	-40.1
74	4.48	3.65e-06	5.44	-49.3	-66	-4.43
73	3.9	4.84e-05	4.31	43.9	38.8	14.3
72	7.49	3.42e-14	13.5	56.6	-31.1	43
71	4.52	3.08e-06	5.51	20.8	-79.7	-60.6
70	4.13	1.83e-05	4.74	-10.1	30.6	39.8
69	3.94	4.02e-05	4.4	33.9	60.3	-0.51
69	3.91	4.71e-05	4.33	27.1	60.5	-0.352
68	4	3.23e-05	4.49	37.2	54.5	6.06
67	4.24	1.11e-05	4.95	37.1	35.7	15
66	4.28	9.29e-06	5.03	52.4	-46	-10.8
65	3.77	8.21e-05	4.09	-23.2	-98.9	-39
65	3.39	0.000347	3.46	-13.1	-99.2	-39.3
64	4.41	5.14e-06	5.29	18.9	-55.5	31.4
64	3.99	3.36e-05	4.47	22.2	-65.4	33
63	5.03	2.5e-07	6.6	50.7	10.9	52.8
62	5.26	7.11e-08	7.15	40.7	24.3	50.8
62	4.57	2.43e-06	5.61	30.4	17.2	46.7
61	4.51	3.3e-06	5.48	17.2	65.8	10.3
60	3.65	0.00013	3.89	30.3	44	2.42
59	3.38	0.000364	3.44	9.87	20.9	24
58	4.32	7.7e-06	5.11	56.2	-24.7	-3.31
57	3.33	0.000436	3.36	-57.7	22.9	25.6
57	3.32	0.00045	3.35	-57.7	28.6	18.9
56	4.03	2.81e-05	4.55	2.96	5.61	32.5
55	3.27	0.000543	3.26	40.1	43.7	-20.4
54	3.65	0.000133	3.88	32.5	-60.7	43.2
53	3.48	0.000249	3.6	-11.2	-12.2	2.07
52	3.37	0.000373	3.43	-62.5	-41.9	-2.61
51	4.2	1.33e-05	4.88	46.7	24.7	-11.6
51	3.47	0.000257	3.59	50.1	30.3	-18.4
50	3.91	4.62e-05	4.34	-0.945	16.9	-25.9
49	3.55	0.000194	3.71	35.3	-56.2	-14.2
48	4.01	3e-05	4.52	-51.9	-40.4	30.8
