Cluster Index	Z	P	-log10(P)	x	y	z	
145	5.13	1.49e-07	6.83	42	43	14
145	4.8	7.88e-07	6.1	44	41	11
145	4.59	2.24e-06	5.65	36	38	13
145	4.53	2.94e-06	5.53	30	43	21
145	4.5	3.46e-06	5.46	29	37	22
145	4.49	3.55e-06	5.45	40	47	18
144	6.12	4.66e-10	9.33	22	10	13
144	5.61	9.92e-09	8	18	19	10
144	5.61	1.01e-08	8	22	15	15
144	5.37	4.03e-08	7.39	21	13	16
144	5.29	6e-08	7.22	21	20	8
144	5.25	7.8e-08	7.11	21	14	9
143	5	2.85e-07	6.55	23	44	13
143	4.95	3.68e-07	6.43	29	38	13
143	4.73	1.1e-06	5.96	26	49	11
143	4.55	2.73e-06	5.56	27	40	15
143	4.47	3.93e-06	5.41	30	46	11
143	4.29	8.78e-06	5.06	37	49	11
142	5.95	1.3e-09	8.89	47	16	9
142	5.48	2.17e-08	7.66	45	16	10
142	5.23	8.59e-08	7.07	44	16	7
142	5.16	1.23e-07	6.91	42	13	8
142	4.9	4.86e-07	6.31	51	17	9
142	4.52	3.05e-06	5.52	46	22	8
141	4.94	3.97e-07	6.4	43	13	15
141	4.55	2.74e-06	5.56	43	15	16
141	4.44	4.42e-06	5.35	37	12	21
141	4.18	1.46e-05	4.84	42	17	21
141	4.12	1.9e-05	4.72	45	19	21
141	4.09	2.2e-05	4.66	38	16	17
140	4.77	9e-07	6.05	20	39	18
140	3.97	3.63e-05	4.44	23	37	19
140	3.88	5.26e-05	4.28	23	35	21
140	3.64	0.000134	3.87	16	44	19
140	3.6	0.00016	3.8	23	34	24
139	4.42	4.93e-06	5.31	41	15	12
139	4.1	2.07e-05	4.68	38	11	13
139	3.86	5.65e-05	4.25	38	17	11
139	3.85	5.95e-05	4.23	39	17	13
139	3.79	7.6e-05	4.12	40	20	11
139	3.69	0.000112	3.95	43	19	12
138	4.94	3.93e-07	6.41	24	47	15
138	4.04	2.62e-05	4.58	19	47	17
138	3.89	4.91e-05	4.31	25	46	18
138	3.59	0.000168	3.78	23	45	18
137	5.07	2.02e-07	6.69	44	33	22
137	4.32	7.93e-06	5.1	43	35	22
136	5.01	2.7e-07	6.57	47	35	19
136	4.1	2.04e-05	4.69	51	35	21
136	3.42	0.000308	3.51	50	31	21
135	4.46	4.18e-06	5.38	27	57	15
135	4.21	1.3e-05	4.89	26	55	15
135	3.98	3.52e-05	4.45	23	56	15
135	3.55	0.000191	3.72	30	54	15
134	5.42	3.01e-08	7.52	49	24	20
133	4.1	2.04e-05	4.69	36	34	23
133	4.03	2.78e-05	4.56	35	37	23
133	3.51	0.000227	3.64	36	40	21
133	3.38	0.000367	3.44	39	39	21
132	4.2	1.33e-05	4.87	18	25	12
132	3.94	4.14e-05	4.38	16	29	12
131	4.44	4.51e-06	5.35	45	52	11
131	3.94	4.01e-05	4.4	42	52	11
130	4.04	2.65e-05	4.58	33	57	11
130	4	3.21e-05	4.49	31	54	11
129	4.59	2.2e-06	5.66	22	52	16
129	3.47	0.000264	3.58	21	51	18
128	3.84	6.04e-05	4.22	27	45	9
128	3.73	9.47e-05	4.02	24	45	9
128	3.47	0.00026	3.59	24	42	9
127	4.23	1.19e-05	4.92	48	23	13
127	4.12	1.89e-05	4.72	47	21	15
126	4.59	2.17e-06	5.66	34	48	9
126	3.92	4.44e-05	4.35	34	42	9
126	3.46	0.000268	3.57	33	46	9
125	4.75	1.03e-06	5.99	17	25	20
125	3.53	0.000212	3.67	17	23	21
124	3.76	8.39e-05	4.08	30	51	13
123	4.18	1.44e-05	4.84	39	14	0
123	4.15	1.65e-05	4.78	37	14	0
122	4.76	9.62e-07	6.02	46	10	13
122	3.57	0.000179	3.75	45	13	12
121	4.39	5.7e-06	5.24	48	28	25
120	4.3	8.61e-06	5.07	30	9	3
119	4.42	5.01e-06	5.3	51	28	23
118	3.54	0.000201	3.7	44	11	21
118	3.52	0.000214	3.67	43	13	21
117	3.88	5.31e-05	4.28	49	23	17
116	3.63	0.000144	3.84	49	44	11
116	3.55	0.000189	3.72	50	40	11
115	3.83	6.29e-05	4.2	16	22	15
115	3.66	0.000125	3.9	19	22	15
114	3.65	0.00013	3.89	26	13	0
113	3.51	0.000225	3.65	24	27	20
112	3.79	7.42e-05	4.13	53	24	21
111	3.94	4.02e-05	4.4	48	25	5
110	4.81	7.51e-07	6.12	15	44	13
109	3.91	4.6e-05	4.34	23	44	7
108	4.28	9.55e-06	5.02	50	27	8
107	3.4	0.000333	3.48	34	33	9
106	3.53	0.000206	3.69	51	42	17
105	3.89	5e-05	4.3	37	57	13
104	3.58	0.000171	3.77	28	56	17
103	3.83	6.41e-05	4.19	49	15	21
102	3.95	3.94e-05	4.4	46	15	23
101	3.46	0.000269	3.57	39	8	3
101	3.41	0.00032	3.5	37	9	2
100	3.58	0.000171	3.77	18	38	23
99	3.48	0.000255	3.59	32	36	19
98	3.53	0.000204	3.69	18	33	8
97	3.84	6.04e-05	4.22	36	10	22
96	3.58	0.000174	3.76	24	39	22
96	3.51	0.000222	3.65	21	41	23
95	3.41	0.000329	3.48	37	12	17
95	3.36	0.000395	3.4	35	12	17
