Cluster Index	Z	x	y	z	
145	5.13	-30.9	25.3	1.77
145	4.8	-38	16.4	-13.4
145	4.59	-10.9	7.48	-1.35
145	4.53	10.2	30	39.4
145	4.5	13.4	11.1	48.2
145	4.49	-23.7	41.5	21.3
144	6.12	35.1	-85.5	13.5
144	5.61	48.8	-59	-8.45
144	5.61	35.5	-67.5	21.7
144	5.37	38.9	-73.3	28.2
144	5.29	38.6	-57.1	-19.8
144	5.25	38.4	-75.9	-10.9
143	5	33.3	25.9	-5.81
143	4.95	12.7	6.81	-1.91
143	4.73	23.2	40.9	-19.4
143	4.55	19.7	14.9	7.8
143	4.47	9.53	31.4	-17.4
143	4.29	-14	41.9	-18.6
142	5.95	-49.4	-66.9	-9.94
142	5.48	-42.6	-66.2	-4.59
142	5.23	-39.4	-68.8	-21.2
142	5.16	-32.7	-78	-14.1
142	4.9	-62.9	-63.2	-10.2
142	4.52	-45.9	-48.2	-18.9
141	4.94	-35.6	-72	24.5
141	4.55	-35.4	-64.6	28.8
141	4.44	-14.8	-70.8	57.6
141	4.18	-31.5	-54	55.1
141	4.12	-41.6	-47.1	54.2
141	4.09	-18.4	-61	33.4
140	4.77	43.6	13.4	24.3
140	3.97	33.4	8.02	31.2
140	3.88	33.5	3.16	43.4
140	3.64	57.4	30.3	26.7
140	3.6	33.7	2.41	60.4
139	4.42	-29	-68.2	6.67
139	4.1	-18.9	-80.7	14.2
139	3.86	-18.8	-62.8	-0.214
139	3.85	-22	-61	10.9
139	3.79	-25.4	-52.8	-1.77
139	3.69	-35.5	-54.9	4.54
138	4.94	30.2	37.5	3.57
138	4.04	47.2	38.7	14.2
138	3.89	27	36.8	20.7
138	3.59	33.7	33.4	21.1
137	5.07	-37.5	-0.535	51.7
137	4.32	-34	5.92	50.5
136	5.01	-47.8	3.77	34.3
136	4.1	-61.2	5.84	45.6
136	3.42	-58	-7.35	47.8
135	4.46	20.5	70.5	-1.91
135	4.21	23.8	63.9	-0.844
135	3.98	34	66.9	-1.65
135	3.55	10.2	61	0.0445
134	5.42	-55	-31.2	46.2
133	4.1	-10.3	2.82	56
133	4.03	-6.82	12.5	54.2
133	3.51	-10.2	20.8	41.5
133	3.38	-20.4	17.8	42.3
132	4.2	49.2	-37.7	-0.863
132	3.94	56.2	-24.7	-3.31
131	4.44	-40.9	52.5	-19.6
131	3.94	-30.8	52.2	-19.9
130	4.04	-0.121	67.7	-23.4
130	4	6.51	57.7	-21.9
129	4.59	37.2	54.5	6.06
129	3.47	40.7	52.8	17.6
128	3.84	19.5	26.2	-28.1
128	3.73	29.6	25.9	-28.3
128	3.47	29.5	16.1	-26.6
127	4.23	-52.2	-40.5	8.16
127	4.12	-48.7	-45.4	20.2
126	4.59	-4.06	36.7	-29.2
126	3.92	-4.33	17	-25.8
126	3.46	-0.768	30	-28.2
125	4.75	53.3	-31	43.1
125	3.53	53.3	-36.7	49.7
124	3.76	9.91	49.5	-9.25
123	4.18	-23.2	-81.8	-59
123	4.15	-16.4	-82	-59.1
122	4.76	-46	-83.2	15.4
122	3.57	-42.6	-74.4	8.13
121	4.39	-51	-14	71.4
120	4.3	7.26	-96.5	-40.3
119	4.42	-61.3	-15.4	60.6
118	3.54	-38.6	-73.4	58.7
118	3.52	-35.1	-67	57.5
117	3.88	-55.2	-37	30.3
116	3.63	-54.8	26.7	-14.8
116	3.55	-58.3	13.7	-12.4
115	3.83	56.1	-45.1	17.2
115	3.66	46	-44.8	17.4
114	3.65	20.7	-86.3	-59.4
113	3.51	29.7	-23.8	42.5
112	3.79	-68.4	-30	52
111	3.94	-52.7	-40.7	-37
110	4.81	60.3	25.1	-6.44
109	3.91	32.8	20.8	-38.8
108	4.28	-59.2	-31.4	-21.5
107	3.4	-4.73	-12.5	-20.7
106	3.53	-61.2	25.4	19.6
105	3.89	-13.5	69.8	-12.1
104	3.58	17.2	69	9.75
103	3.83	-55.3	-59.8	56.8
102	3.95	-45	-58.4	67.6
101	3.46	-23.2	-98.9	-39
101	3.41	-16.5	-96.7	-45.3
100	3.58	50.7	14.2	52.3
99	3.48	2.96	5.61	32.5
98	3.53	49.3	-14.8	-27.4
97	3.84	-11.5	-76.6	64.2
96	3.58	30.4	17.2	46.7
96	3.51	40.7	24.3	50.8
95	3.41	-15.2	-74.2	35.6
95	3.36	-8.4	-74.4	35.4
94	3.44	-58.2	-38.4	64.5
93	3.38	-34.6	27.7	-26.8
92	3.53	49.2	-4.26	-46.2
92	3.15	42.4	-10.6	-44.9
91	3.8	-10.4	61.5	-22.1
90	3.92	-21.7	-49.5	20.2
89	4.13	73.2	-46.4	33.9
89	3.26	66.5	-42.9	33.5
88	3.74	-59.3	-44.5	-19.2
87	3.74	25.8	-26.3	3.48
86	4.15	9.11	10.1	-25
85	3.57	0.0375	69.4	-12.4
84	3.28	-47.9	-33.7	74.7
83	4.02	14.1	-73	-61.6
82	3.53	-19.2	-92.2	4.92
81	3.49	-72.5	-35	-3.51
80	3.5	-62.9	-71.4	2.53
79	3.49	-52.7	-71.6	2.29
78	3.43	27.6	-99.5	-34.7
77	3.55	5.58	-5.35	-16.6
76	3.42	-17.3	1.32	45.1
75	4.1	1.82	-73.8	40.7
74	3.71	-31.5	19.4	-36.8
73	3.79	-34.5	-21.1	49.5
72	3.96	38.8	-40.7	-22.6
71	3.86	66.3	-44.6	22.5
70	3.14	5.89	-58.2	77.4
69	3.17	52.7	5.46	-48
68	3.39	-36.3	-74.7	-37.2
67	3.5	-13	-101	-27.7
66	3.11	66.9	14.3	-10.4
65	3.53	-41	17.4	14.7
64	3.32	3.16	30.1	16.9
63	3.4	57.2	48.1	-10.4
62	3.48	-12.4	-81	-8.53
61	3.82	-10.3	-5.32	68.7
60	3.71	-54.7	-20.5	50
59	3.23	-25.8	-98.5	28.8
58	3.2	8.74	-21.8	-13.8
57	3.37	-25.4	-38.1	-15.6
56	3.82	33.4	-22.9	70.5
55	3.57	-3.97	43.2	-30.4
