Cluster Index	Voxels	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
147	795	7.47	47	16.6	23.7	28	23.2	25.2	632	17.2	69	9.75	168
146	243	7.49	56.6	-31.1	43	55.1	-43.3	38.3	428	53.2	-48.1	63	135
145	161	4.56	-30.9	25.3	1.77	-21.5	29.8	6.96	479	-1.05	-1.04	-11.5	199
144	152	7.26	-54.5	1.53	40.5	-50.1	4.38	38	218	-64.8	11.5	16.4	117
143	66	6.76	38.4	-87.3	2.43	34	-84	3.61	323	31.5	-91.2	-2.34	171
142	65	5.04	-44.9	-34.8	46.5	-42.6	-42.5	47.6	242	-28.2	-57.3	55.6	131
141	42	4.95	-54.2	38.3	17.1	-51.1	38.1	21.9	357	-47.4	41.4	16.4	184
140	27	4.03	-12.9	-99.9	-22.2	-10.3	-97.4	-36.7	200	3.91	-98.8	-34.2	136
139	24	4.41	18.9	-55.5	31.4	15.2	-66.1	36.8	263	15.4	-70.9	39.8	162
138	17	4.77	-48.7	-45.4	20.2	-51.1	-46.4	16.4	200	-52.3	-52.7	16	125
137	16	4.71	-22.5	-91.3	10.5	-27.9	-88.9	5.5	224	-22.5	-91.3	10.5	142
136	15	4.74	-26.6	-81.7	-58.9	-20.6	-82.4	-58.9	591	-26.6	-81.7	-58.9	298
135	15	4.67	14	-86.1	-59.3	22.7	-83	-60.1	415	24.1	-83.1	-60.1	226
134	14	4.48	-49.3	-66	-4.43	-49.8	-67.9	-4.9	204	-46.1	-75.9	-2.8	151
133	13	3.91	-39.5	-74.6	-14.5	-38	-68.4	-21.6	533	-36.1	-68.9	-21.3	295
132	13	4.37	-52.6	-48	-18.8	-45.6	-47.7	-19	223	-52.6	-48	-18.8	166
131	12	4.03	2.96	5.61	32.5	6.13	0.574	34.1	142	-0.418	5.7	32.6	93.8
130	11	3.71	-32.4	-63.2	-5.4	-31.3	-73.6	-3.62	217	-32.4	-66.5	-4.83	163
129	10	4.39	-10.8	6.74	15.7	-11.8	5.44	14.9	509	-7.5	2.52	10.7	247
128	9	4.32	56.2	-24.7	-3.31	56.6	-25.7	-0.166	155	59.6	-24.8	-3.38	121
127	8	4.54	-42.6	-77.6	8.7	-39.7	-80.1	9.05	185	-39.3	-81	9.19	134
126	8	4.45	-62.5	-31.3	-21.4	-61.6	-29.3	-21.2	201	-59.1	-28.1	-22.1	127
125	8	4.64	-58.4	-45.8	60.1	-59.8	-46.4	59.1	250	-58.6	-53.2	55.8	183
124	7	4.87	-65.1	-17.1	27.1	-64.9	-15.6	27.4	178	-65.1	-17.1	27.1	134
123	6	4.26	37.5	68.5	9.28	38	67.9	9.37	329	37.5	65.2	9.85	175
122	6	3.64	-20.5	59.3	-15.8	-18.8	61.7	-14.4	431	-17.1	55.9	-15.3	259
121	6	3.93	13.2	-15.8	69.9	12.1	-17.2	67.4	126	9.72	-19.8	65	97.5
120	6	4.49	22.2	-81.7	58.4	16.2	-84.2	55.4	265	18.7	-85.7	53.6	190
119	5	4.44	-68.3	-25.9	57	-66.4	-25.4	56.8	192	-64.9	-26	56.9	140
118	5	4.24	-30.7	47.3	-7.73	-32	46.9	-7.61	168	-34.1	47.4	-7.65	135
117	5	3.91	-0.945	16.9	-25.9	-0.336	17.5	-26	244	-0.945	16.9	-25.9	163
116	5	4.04	-3.51	-7.94	74.6	-6.07	-6.65	74.5	242	-3.51	-7.94	74.6	167
115	5	4.22	-55.2	-39.4	36.3	-53.3	-39.4	33	167	-58.6	-39.4	36.4	126
114	4	3.32	-24.6	-4.39	6.75	-22	-1.99	6.26	121	-21.1	-1.21	6.1	104
113	4	3.75	66.9	-11	22.3	68.5	-9.42	21.9	99.7	70.3	-7.82	21.6	84.6
112	4	4.04	56.3	7.06	-37.1	57.9	5.44	-36.9	154	56.3	7.06	-37.1	131
111	4	3.74	43.6	-25.7	76.4	42	-24	76.1	279	40.2	-25.6	76.4	192
110	4	3.59	-10.4	19.1	30.5	-10.5	17.5	30.8	150	-10.4	19.1	30.5	112
109	4	3.49	-44.5	38.7	-22.8	-42.9	37	-22.5	316	-41.2	38.6	-22.9	267
108	4	3.9	-14.2	31.2	-22.4	-15	33.6	-22.8	204	-14.1	37.8	-23.5	161
107	4	4.67	-26.6	57.3	35.7	-25.8	58.7	35.4	290	-26.7	54	36.2	212
106	4	3.38	9.87	20.9	24	9.9	22	25.2	206	9.91	24.2	23.4	163
105	4	3.6	-40.9	-20	77.8	-38.5	-24	78.4	260	-34.2	-26.7	78.8	239
104	3	4.45	13	-18.3	53.3	11.9	-19.3	53.5	115	9.61	-18.2	53.4	96.1
103	3	3.83	-50.9	45.5	-1.18	-51.9	45.9	0.473	232	-50.9	45.5	-1.18	168
102	3	4.08	11.4	-97.1	21.9	11.5	-97.1	21.9	133	8	-97	21.9	112
101	3	3.39	-22.5	-103	23.8	-23.6	-101	23.5	210	-25.9	-99.3	23.3	166
100	3	3.59	-62	-31.1	23.8	-60.9	-32.2	23.9	152	-58.6	-31.2	23.7	137
99	3	3.48	-11.2	-12.2	2.07	-12.3	-11.1	1.92	69.4	-11.2	-12.2	2.07	65.8
98	3	3.42	-69	-33.5	7.42	-66.8	-32.4	7.17	185	-69	-33.5	7.42	142
97	3	3.33	-10	59.1	6.6	-11.1	60.2	6.43	313	-10	62.4	6.02	235
96	3	3.55	35.3	-56.2	-14.2	35.3	-56.1	-14.2	132	35.3	-56.2	-14.2	121
95	3	3.69	20.2	64.7	-17.8	19.2	63.6	-17.6	251	16.8	64.8	-17.8	201
94	3	4.35	-32.5	-58.4	-17.6	-32.5	-58.2	-17.6	200	-32.5	-58.4	-17.6	169
