Cluster Index	Z	P	-log10(P)	x	y	z	
149	7.47	3.99e-14	13.4	19	40	18
149	6.3	1.54e-10	9.81	23	35	22
149	6.1	5.36e-10	9.27	23	44	13
149	6.03	8.05e-10	9.09	36	37	23
149	5.43	2.78e-08	7.56	16	42	16
149	5.32	5.29e-08	7.28	31	39	22
148	7.49	3.47e-14	13.5	16	25	20
148	6.19	2.98e-10	9.53	15	20	22
148	6	1.01e-09	9	13	23	22
148	5.86	2.34e-09	8.63	13	23	18
148	5.58	1.2e-08	7.92	20	16	20
148	5.35	4.45e-08	7.35	17	19	24
147	4.56	2.53e-06	5.6	42	43	14
147	4.55	2.71e-06	5.57	41	49	17
147	4.53	2.97e-06	5.53	32	36	11
147	4.41	5.27e-06	5.28	37	46	17
147	4.35	6.7e-06	5.17	36	37	12
147	4.31	8.03e-06	5.1	40	39	10
146	7.26	1.97e-13	12.7	49	34	20
146	6.52	3.51e-11	10.5	44	33	22
146	5.93	1.49e-09	8.83	52	37	17
146	5.78	3.75e-09	8.43	44	35	22
146	5.63	8.86e-09	8.05	47	36	18
146	4.88	5.39e-07	6.27	49	34	22
145	6.76	6.75e-12	11.2	21	10	11
145	6.69	1.08e-11	11	23	10	10
145	5.86	2.33e-09	8.63	25	9	14
145	5.7	5.99e-09	8.22	23	10	13
145	5.18	1.13e-07	6.95	21	14	9
145	4.51	3.26e-06	5.49	19	15	9
144	5.04	2.37e-07	6.62	46	23	20
144	5	2.82e-07	6.55	39	16	20
144	4.78	8.96e-07	6.05	52	18	20
144	4.71	1.27e-06	5.9	53	24	20
144	4.48	3.68e-06	5.43	52	22	20
143	4.95	3.67e-07	6.44	49	46	17
143	3.83	6.53e-05	4.18	51	44	16
143	3.44	0.000292	3.53	51	41	19
142	4.03	2.83e-05	4.55	36	7	6
142	3.99	3.3e-05	4.48	39	9	2
142	3.95	3.95e-05	4.4	35	8	3
142	3.91	4.65e-05	4.33	39	8	4
142	3.86	5.63e-05	4.25	31	8	4
142	3.64	0.000134	3.87	38	8	6
