Cluster Index	Voxels	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)
78	9686	7.53	19	40	18	32.1	28.6	15.5
77	13	4.59	20	37	11	20.2	34.7	11
76	12	4.19	26	6	9	27.1	6.6	9.16
75	10	4.73	48	22	17	48.5	22.4	17.3
74	8	4.68	41	44	4	42.6	43.6	3.9
73	8	4.01	33	45	11	32.9	46.2	10.5
72	8	4.67	35	37	6	34.2	36.3	6
71	7	4.86	26	30	3	26	29.8	2.87
70	6	4.01	35	47	13	35.2	45.9	13
69	5	4.02	24	47	7	24.8	45.9	7
68	5	4.32	41	36	18	40.6	36.6	18.2
67	4	4.31	30	46	13	29.8	46	13.2
66	4	4.34	41	39	5	41.5	38.5	5
65	4	3.43	40	41	6	40	41.5	6
64	4	3.59	24	40	3	23.8	40.7	3.24
63	4	3.95	31	56	20	30.5	56	20
62	4	3.82	39	50	11	38.5	49.5	11
61	4	3.64	38	8	8	37.5	7.5	8
60	4	4	34	50	11	33	50.5	11
59	3	3.63	31	49	10	31	48.7	10.3
58	3	3.68	21	10	7	20.4	10.9	7
57	3	3.79	51	15	11	51.3	15.6	11
56	2	3.39	34	43	9	33.5	42.5	9
55	2	3.6	30	54	11	30.5	54	11
54	2	3.82	42	7	9	41.5	7	9
53	2	3.14	38	53	13	38.5	53.5	12.5
52	2	3.82	42	26	13	42.5	26	13
51	2	3.17	34	42	13	34.5	42	13
50	2	3.65	42	51	13	42	50.5	13
49	2	3.61	26	21	15	26.5	21	15
48	2	3.66	22	53	22	22.5	53	22
47	2	3.61	43	10	10	42.5	10	10
46	2	3.88	29	4	15	29	4	14.5
45	2	3.41	24	57	18	24.5	57	18
44	2	3.92	40	34	6	40	34.4	6
43	2	3.53	30	39	6	29.5	39	6
42	2	3.62	25	42	6	24.5	42	6
41	2	3.9	47	43	7	47	43	6.56
40	2	3.77	44	33	8	43.5	33	8
39	2	3.66	34	40	7	33.5	40	7
38	1	3.12	41	17	26	41	17	26
37	1	3.66	13	37	14	13	37	14
36	1	3.38	50	49	14	50	49	14
35	1	3.42	39	24	15	39	24	15
34	1	3.1	52	22	22	52	22	22
33	1	3.46	54	21	19	54	21	19
32	1	3.23	48	40	23	48	40	23
31	1	3.11	31	58	18	31	58	18
30	1	3.48	33	39	15	33	39	15
29	1	3.56	37	57	18	37	57	18
28	1	4.12	42	7	16	42	7	16
27	1	3.3	29	26	16	29	26	16
26	1	4.07	27	7	18	27	7	18
25	1	3.3	36	27	23	36	27	23
24	1	3.31	27	57	20	27	57	20
23	1	3.26	47	16	1	47	16	1
22	1	3.41	42	38	3	42	38	3
21	1	3.12	23	18	4	23	18	4
20	1	3.24	49	39	4	49	39	4
19	1	3.26	35	21	5	35	21	5
18	1	3.53	51	23	6	51	23	6
17	1	3.34	16	40	7	16	40	7
16	1	3.35	54	31	8	54	31	8
15	1	3.13	52	33	8	52	33	8
14	1	3.23	32	37	8	32	37	8
13	1	3.17	31	21	24	31	21	24
12	1	3.97	38	5	9	38	5	9
11	1	3.16	22	28	10	22	28	10
10	1	3.24	35	38	10	35	38	10
9	1	3.13	46	38	10	46	38	10
8	1	3.09	37	46	10	37	46	10
7	1	3.15	21	14	11	21	14	11
6	1	3.6	46	9	12	46	9	12
5	1	3.31	10	35	12	10	35	12
4	1	3.58	10	23	13	10	23	13
3	1	3.21	32	23	13	32	23	13
2	1	3.44	39	51	13	39	51	13
1	1	3.29	18	43	8	18	43	8
