Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)
217	886	4.61e-08	7.34	5.34	32	55	14	26.2	46.5	18.1
216	862	2.84e-08	7.55	5.43	41	22	11	33.2	17	8.3
215	306	3.45e-08	7.46	5.39	24	11	20	24.2	13.7	19.4
214	209	1.05e-07	6.98	5.19	43	44	14	38	43.3	15.7
213	73	1.05e-07	6.98	5.19	32	6	14	34.7	7.42	16.2
212	65	1.99e-06	5.7	4.61	44	14	22	44.8	15.3	21.4
211	54	3.11e-08	7.51	5.41	45	51	12	44.1	51.2	11.7
210	25	3.37e-07	6.47	4.97	48	35	19	47.3	35.1	19
209	25	2.36e-06	5.63	4.58	34	53	20	35	52.5	20.5
208	21	8.9e-07	6.05	4.78	47	36	6	48.6	36.9	6.36
207	20	2.59e-06	5.59	4.56	18	18	3	18.3	19.8	3.05
206	19	1.28e-06	5.89	4.7	45	10	13	45	9.16	13.1
205	17	3.11e-05	4.51	4	11	33	11	11.4	32.3	11.7
204	17	1.39e-06	5.86	4.69	23	46	9	23.4	44.2	9.16
203	17	1.32e-05	4.88	4.2	41	15	12	38	12.4	11.8
202	15	2.17e-05	4.66	4.09	44	33	22	43.4	32.6	22.2
201	14	6.3e-06	5.2	4.37	17	25	20	17.3	23.6	20.6
200	13	4.5e-07	6.35	4.91	39	45	9	39.4	44.8	8.58
199	12	5.91e-06	5.23	4.38	15	40	13	15.6	42.6	12.8
198	11	1.89e-05	4.72	4.12	41	16	19	40.7	15.4	18.5
197	11	1.87e-05	4.73	4.12	45	12	4	44.6	12.3	3.65
196	11	9.47e-05	4.02	3.73	47	42	15	47.2	42.3	14.6
195	11	2.35e-05	4.63	4.07	34	8	10	32.8	8.33	9.91
194	11	6.94e-05	4.16	3.81	13	19	12	13.1	19.8	11.1
193	11	2.38e-05	4.62	4.07	47	27	8	46.5	27.4	8
192	10	5.64e-05	4.25	3.86	43	13	15	43	14.4	15.4
191	10	1.7e-06	5.77	4.65	23	52	14	23	52.5	14
190	9	8.24e-05	4.08	3.77	17	38	9	14.6	37.9	9.65
189	9	6.18e-05	4.21	3.84	34	29	9	32	29.1	9
188	9	1.24e-05	4.91	4.22	43	25	2	42.3	25	1.9
187	8	0.000181	3.74	3.57	29	23	0	28.9	21.5	0.359
186	8	0.000209	3.68	3.53	46	29	22	45.8	29.5	22.6
185	8	4.51e-05	4.35	3.92	48	43	12	47.6	43.5	11.4
184	8	8.03e-06	5.1	4.31	36	37	22	35.8	36.7	22.4
183	7	2.03e-05	4.69	4.1	40	49	23	40	49.3	22.5
182	7	0.000211	3.68	3.53	44	48	18	44.8	47.2	18.4
181	7	7.93e-06	5.1	4.32	27	29	27	27	28	27
180	6	8.35e-07	6.08	4.79	29	10	12	29	10.8	11.7
