Cluster Index	Voxels	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)
217	886	5.34	3.41	63.6	-5.87	22.9	38.6	20.8
216	862	5.43	-28.7	-46.1	-2.83	-2.83	-65.4	-15.5
215	306	5.39	29	-76.2	51.6	28.3	-67.9	46.8
214	209	5.19	-34.3	28.6	1.28	-17.1	27.3	10.8
213	73	5.19	1.23	-96.8	22.1	-7.5	-90.1	33.5
212	65	4.61	-38.3	-62.7	62.5	-41.1	-59	58.4
211	54	5.41	-40.9	50.1	-13.6	-37.8	50.4	-15.2
210	25	4.97	-51.2	3.87	34.3	-49	4.1	34.1
209	25	4.58	-2.97	62.3	28.5	-6.48	61.3	31.4
208	21	4.78	-48.8	-3.92	-37.9	-54.3	-0.512	-36.3
207	20	4.56	48.2	-68.2	-46.4	47.4	-62.1	-47.2
206	19	4.7	-42.6	-83.3	15.3	-42.5	-86	16.4
205	17	4	73.2	-13	-11.5	71.8	-14.7	-7.14
204	17	4.69	33	29.1	-29	31.8	23.2	-27
203	17	4.2	-29	-68.2	6.67	-19	-77.2	6.93
202	15	4.09	-37.5	-0.535	51.7	-35.4	-1.68	52.8
201	14	4.37	53.3	-31	43.1	52.3	-35.1	47.1
200	13	4.91	-21.1	27.3	-27.1	-22.6	26.4	-29.3
199	12	4.38	60.1	12	-4.16	58.2	20.6	-6.65
198	11	4.12	-28.4	-59	44.6	-27.4	-61.4	42.4
197	11	4.12	-43.2	-84.4	-35.3	-42.1	-83.9	-37.4
196	11	3.73	-47.8	23.3	8.24	-48.4	23.9	5.64
195	11	4.07	-5.76	-93.5	-0.897	-1.86	-92.6	-1.66
194	11	3.81	65.9	-57.8	2.17	65.5	-55.9	-3.24
193	11	4.07	-49	-31.7	-21.7	-47.3	-30.6	-22
192	10	3.86	-35.6	-72	24.5	-35.6	-67.2	25.8
191	10	4.65	33.7	52.9	-4.87	33.7	54.5	-5.16
190	9	3.77	53	2.29	-24.9	61.1	2.27	-21.4
189	9	3.84	-4.9	-25.6	-18.4	1.97	-25.4	-18.6
188	9	4.22	-36.1	-43.7	-53.9	-33.6	-43.9	-54.5
187	8	3.57	11	-53.3	-64.9	11.4	-57.9	-62.1
186	8	3.53	-44.4	-13.4	54.1	-43.5	-11.4	57.2
185	8	3.92	-51.4	24.2	-8.76	-50.2	25.2	-12.5
184	8	4.31	-10.3	11.8	48.8	-9.55	11.2	50.8
183	7	4.1	-23.2	52.3	47.7	-23.3	52.8	44.6
182	7	3.53	-37.2	45.2	21.1	-40	42.9	23.9
181	7	4.32	20.2	-11	80.1	20	-14.5	80.7
180	6	4.79	11.4	-85.7	8.57	11.3	-83.4	6.54
179	6	3.81	-69	-35.9	13.5	-69.5	-37.3	14.7
178	6	3.84	-7.51	16.4	-8.65	-1.81	19.5	-5.59
177	6	3.51	-31.9	-13.4	-31	-35.3	-13.8	-30.9
176	6	4.22	-61.2	31.1	12.9	-58.8	31.5	13.8
175	6	3.95	30.3	2.51	60.5	30.8	1.95	60.6
174	6	4.59	33.1	-49.1	75.1	32.6	-52.9	74
173	5	3.53	67.3	19.3	22.6	64.7	24.7	18.4
172	5	3.95	31.8	-40.6	-45.1	33.1	-42.3	-46.9
171	5	3.71	-41.6	-39	41.5	-40.9	-37.3	40.1
170	5	3.37	5.12	-24.3	-30.2	4.96	-29.3	-37.1
169	5	3.59	43.2	-4.62	16.2	44.6	-3.99	16
168	5	3.65	-31.7	14.4	-47.2	-31.8	8.02	-46.1
167	5	3.85	51.8	-65.7	-30	54.5	-65.8	-30
166	5	4.07	49.3	4.72	-53.5	48	7.91	-54
165	5	5.23	-55	-31.2	46.2	-55.6	-33	46.5
164	5	3.74	-58	-16.3	55	-59.3	-16.8	56.2
163	5	3.31	-69.1	-49	15.8	-65.2	-53	16.4
162	4	3.74	-32.2	-29.7	-28.2	-31.3	-29	-28.3
161	4	4.3	-33.5	68	17	-35.1	67.1	15.9
160	4	3.45	39.5	19.8	-44.5	37	21.9	-42
159	4	4.05	-14.6	-12.1	2.15	-13.8	-12	2.12
158	4	3.51	-22.3	-53	-24.4	-22.4	-55.5	-25.3
157	4	4.87	-27.6	-25.3	67	-26.8	-26	67.1
156	4	3.7	34.5	-78.4	-49.9	35.3	-78.6	-49.9
155	4	3.86	24.6	-52.8	-59.7	24.7	-52.3	-57.2
154	4	3.21	-23.7	49.7	8.63	-28.8	49.8	8.74
153	4	3.94	-26.8	69.4	5.28	-25.2	68.8	6.69
152	4	3.32	10.2	4.77	72	7.77	7.27	71.6
151	4	4.21	39.1	-20.2	-20.6	39.9	-20.1	-20.6
150	4	3.88	41.4	-76.9	-39	43.1	-78.6	-38.8
149	4	3.83	37	7.18	48.2	34.5	5.4	47.2
148	3	4.15	30.2	37.5	3.57	30.2	37.3	3.59
147	3	3.89	-54.6	37.4	-11	-56.8	39.3	-13
146	3	3.5	2.42	-14.1	13.3	0.21	-15.1	13.6
145	3	3.5	-68.5	0.13	7.21	-69.6	0.906	5.23
144	3	3.65	-65.3	-44	48.7	-63.2	-45.1	48.9
143	3	4.49	58.7	-56.1	-31.8	57.7	-55.1	-32
142	3	3.96	-7.12	40.1	-7.14	-8.14	39	-6.92
141	3	3.68	2.43	-58.9	72	3.46	-60	72.2
140	3	5.15	-50.9	48.8	-1.75	-51.8	46.2	0.133
139	3	3.24	-23	-85.8	-41.3	-20.8	-85.5	-39.5
138	3	3.9	42.9	0.988	-13.1	44.1	-0.0306	-12.9
137	3	4.21	-4.28	-4.96	6.28	-3.16	-4.06	6.09
136	3	3.76	33.4	-22.9	70.5	34.5	-22.7	72.3
135	3	4.31	-11.4	-3.28	-27.7	-8.38	-1.39	-28.1
134	3	3.51	-37.8	-34	74.5	-35.5	-33	74.2
133	3	3.32	-29.6	-88.8	-18	-28.5	-90.9	-17.6
132	3	3.44	-53.2	-65.3	-44	-53.2	-65.3	-44
131	3	3.82	8.77	-4.7	-33.7	11	-3.21	-30.5
130	3	3.63	-52.7	-40.7	-37	-49.5	-42.1	-38.6
129	3	3.44	-13.8	-23.2	83.2	-16	-22.1	83.1
128	3	3.68	-52.7	-77.3	8.94	-54.9	-78.4	9.18
127	3	3.8	52.7	-5.95	-34.7	50.6	-6.91	-34.5
126	3	3.62	-47.4	47.1	9.75	-46.3	46	9.9
125	3	3.93	-18.1	17.3	-48.1	-20.4	16.3	-47.8
124	3	3.22	2.2	-5.25	-16.5	-1.17	-5.16	-16.4
123	3	3.26	-24.1	16.9	14.3	-21.9	15.8	14.5
122	3	3.63	29.5	4.65	-13.3	29.3	5.48	-15.4
121	3	3.46	3.11	21.1	24.1	2.01	22.2	24
120	3	3.32	-13.5	7.87	66.5	-13.4	11.3	67.7
119	3	3.42	13.3	24.1	23.3	12.2	23.4	25.3
118	3	4.15	25.7	9.51	-48	26.8	8.42	-47.8
117	3	3.29	25.6	-25.6	-13.6	24.5	-22.3	-14.1
116	2	4.1	43.4	-36.3	72.6	41.8	-36.3	72.6
115	2	3.24	-22.5	-91.3	10.5	-20.8	-91.4	10.5
114	2	3.85	-69.3	-27.8	-21.8	-69.2	-26.3	-22.1
113	2	3.44	46.5	14	-15.4	44.9	14	-15.4
112	2	3.17	-38.3	-6.54	-9.44	-38.4	-8.17	-9.16
111	2	3.39	5.6	6.06	-29.8	7.32	8.04	-27.5
110	2	3.34	32.3	-38	-5.97	33.9	-38.1	-6.01
109	2	3.32	-51	-14	71.4	-51	-12.4	71.1
108	2	3.44	3.25	17.1	41.8	1.64	17.2	41.8
107	2	3.31	20.9	-84.6	-48.4	19.2	-86.1	-48.1
106	2	4.29	49.7	17.9	-33.2	51.2	17.9	-33.2
105	2	3.14	-19.9	-96.6	-45.2	-21.5	-96.5	-45.1
104	2	3.45	-22.7	-99.5	0.641	-21.1	-98	0.331
