Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
96	6196	2.2e-13	12.7	7.24	56.7	-41.7	61.8	5.12	-10	14.9	1.54e+03	-22.1	-25.2	-40.6	348
95	42	1.5e-06	5.82	4.67	-3.81	44.9	-19.4	-0.768	44.6	-19.4	597	-0.654	28.4	-16.6	438
94	31	6.86e-06	5.16	4.35	-20.7	-27.1	78.4	-22.5	-24.9	75.8	552	-20.7	-27.1	78.4	329
93	18	1.08e-05	4.97	4.25	25.3	-81.9	35.8	20.4	-83.9	35	388	21.9	-81.8	35.9	310
92	16	8.56e-08	7.07	5.23	5.45	-40.4	17.8	1.53	-40.1	18.2	393	5.45	-40.4	17.8	276
91	13	8.97e-07	6.05	4.78	-75.7	-30	7	-70.5	-31.4	7.11	542	-72.4	-33.4	7.5	343
90	12	3.61e-06	5.44	4.49	-19.8	-99	-39.1	-12.8	-97.9	-38.2	388	-2.89	-96.2	-40.1	300
89	12	4.04e-05	4.39	3.94	20	-27.4	83	19.9	-23.2	82.3	816	23.4	-24.2	82.3	523
88	10	1.15e-05	4.94	4.23	-16.4	-82	-59.1	-22.6	-82.8	-58.8	916	-26.6	-81.7	-58.9	605
87	10	8.6e-07	6.07	4.78	-7.17	36.9	-6.57	-6.65	33.7	-6.03	385	-7.21	33.6	-6	320
86	8	4.71e-06	5.33	4.43	24.1	-83.1	-60.1	25.3	-83.5	-60	760	24.1	-83.1	-60.1	512
85	8	3.47e-05	4.46	3.98	-22.3	-88.8	27	-22.3	-91.2	27.4	694	-25.7	-95.2	28.2	367
84	6	9.41e-05	4.03	3.73	-4.28	20.3	-26.4	-2.64	21.8	-26.7	836	-0.857	23.5	-27	565
