Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
148	229	1.38e-08	7.86	5.56	16	44	21	20.4	44.7	21.7	2.35e+03	20	53	16	828
147	138	1.55e-07	6.81	5.12	32	55	14	28.7	49.8	12	1.55e+03	34	56	12	694
146	124	6.28e-07	6.2	4.85	43	14	7	45.4	17.1	7.48	1.81e+03	44	17	7	787
145	79	2.78e-07	6.56	5.01	20	14	22	21.6	12.9	19.9	1.93e+03	25	11	20	795
144	54	1.18e-06	5.93	4.72	32	11	22	32.9	12.1	22.3	1.83e+03	32	12	22	927
143	42	8.93e-07	6.05	4.78	44	50	12	44.7	49.8	11.2	1.2e+03	45	51	11	715
142	41	5.04e-08	7.3	5.33	20	16	17	20.1	16	15.9	522	19	16	17	356
141	39	2.39e-06	5.62	4.57	25	55	16	28.7	54.5	16.9	1.88e+03	28	56	18	1e+03
140	25	1.95e-05	4.71	4.11	31	13	6	30.9	11.6	6.67	1.39e+03	32	11	7	770
139	25	8.91e-05	4.05	3.75	22	18	6	21.9	16.1	6.68	1.08e+03	20	16	8	526
138	20	6.06e-05	4.22	3.84	48	15	21	45.9	14.6	21.2	1.42e+03	48	16	21	1.08e+03
137	20	2.89e-05	4.54	4.02	21	23	12	22.7	19.6	11.8	587	23	22	12	397
136	18	8.22e-06	5.09	4.31	43	43	9	42.9	44.4	8.67	944	44	45	9	641
135	18	1.57e-07	6.8	5.11	26	40	16	27.1	38.9	16.2	532	27	40	16	378
134	17	1.81e-05	4.74	4.13	22	11	11	20.7	11.3	11.9	1.09e+03	18	12	12	517
133	16	0.000128	3.89	3.66	30	51	22	28.8	51.7	22.1	2.17e+03	30	52	22	1.17e+03
132	14	0.000164	3.79	3.59	30	39	26	30.9	41.5	25.5	1.97e+03	30	44	25	1.38e+03
131	13	1.93e-05	4.71	4.12	29	7	17	29.3	6.5	16.6	880	29	7	17	548
130	12	7.11e-07	6.15	4.82	49	37	6	50	36.6	5.93	541	49	37	6	344
129	12	7.88e-07	6.1	4.8	41	16	19	40	15.9	19	506	42	16	19	376
128	11	1.03e-05	4.99	4.26	21	43	16	20.7	43.2	16.5	514	21	43	16	379
127	10	1.52e-06	5.82	4.67	45	10	13	44.9	8.6	12.5	851	46	9	13	623
126	10	0.000145	3.84	3.62	41	10	17	41.4	10.9	17.7	1.06e+03	41	10	18	622
125	10	8.45e-06	5.07	4.3	20	20	10	20.2	20.3	9.53	428	20	20	10	336
124	9	3.43e-05	4.46	3.98	14	44	17	15.3	45.1	16.2	763	15	45	16	465
123	9	0.000103	3.99	3.71	27	36	18	27.4	34.7	18.2	864	28	34	18	554
122	9	7.11e-05	4.15	3.8	24	35	26	24.8	35.6	26	1.37e+03	26	36	26	966
121	8	3.32e-05	4.48	3.99	46	54	14	44.2	53.9	14	871	44	54	14	605
120	8	4.58e-07	6.34	4.91	23	46	9	23.3	44.6	9	880	23	45	9	615
119	8	0.000132	3.88	3.65	47	31	6	46.8	31.4	6.26	468	47	33	6	390
118	7	0.000127	3.9	3.66	36	36	18	35.3	35.6	17.2	1.67e+03	35	35	17	1.24e+03
117	7	4.54e-05	4.34	3.91	43	44	24	42.4	41.9	24.4	793	43	42	24	605
116	7	1.5e-05	4.82	4.17	25	13	14	24.6	13.7	13.9	339	24	13	14	276
115	6	6.12e-05	4.21	3.84	29	46	16	29.7	46.2	16	736	29	48	16	474
114	6	0.000246	3.61	3.49	16	14	18	16.2	14.2	17.5	797	16	14	18	588
113	6	0.000285	3.54	3.45	38	7	15	37.7	6.51	15	803	39	6	15	486
112	6	6.3e-05	4.2	3.83	13	19	15	13.2	18.5	15	667	13	19	14	485
111	6	3.72e-05	4.43	3.96	45	24	18	45.3	24.4	18	279	45	24	18	244
110	6	8.19e-05	4.09	3.77	37	44	25	38.1	43.8	24.5	1.42e+03	38	42	25	1.07e+03
109	6	0.000135	3.87	3.64	19	24	7	18.5	23	7	678	18	23	7	551
108	6	0.00051	3.29	3.28	34	48	19	35.5	50.5	19.8	1.74e+03	37	53	20	785
107	5	4.01e-05	4.4	3.94	22	45	18	20.6	46.4	18	793	20	47	18	609
106	5	0.000124	3.91	3.66	28	20	9	27.4	20.2	9	611	27	20	9	546
105	5	8.38e-05	4.08	3.76	34	8	10	34	7.79	10	1.62e+03	34	8	10	1.22e+03
104	5	2.85e-05	4.54	4.02	44	8	15	44.8	8.58	15	767	45	9	15	658
103	4	0.000125	3.9	3.66	38	7	10	38.5	6.5	10	903	38	6	10	659
102	4	0.000145	3.84	3.62	42	49	16	42	49.5	16	729	42	50	16	618
101	4	0.000166	3.78	3.59	40	49	23	39.5	49	23	1.18e+03	38	49	23	638
100	4	8.95e-05	4.05	3.75	36	42	15	36	41.3	15.5	1.17e+03	35	41	15	776
99	4	0.00046	3.34	3.31	27	14	5	27	14	5.49	416	27	14	5	341
98	4	0.000126	3.9	3.66	16	21	16	16	21	15.8	400	16	21	16	351
97	4	0.000176	3.75	3.57	39	17	17	39	17.2	17	460	39	17	17	392
96	4	0.000602	3.22	3.24	29	42	19	30.2	42.3	19.7	429	31	42	20	393
95	4	8.96e-05	4.05	3.75	27	53	14	26.7	53.3	14	1.28e+03	27	53	14	1.03e+03
94	4	3.12e-05	4.51	4	26	52	20	26.5	51.5	20	948	26	52	20	667
93	4	0.000826	3.08	3.15	25	35	7	24.5	34.3	7.5	471	25	35	7	409
92	4	6.16e-05	4.21	3.84	38	49	11	37.3	49.7	11	704	37	50	11	633
91	3	0.00015	3.82	3.62	32	27	1	31.7	27.3	1	789	32	28	1	517
90	3	0.000232	3.63	3.5	39	19	6	38.7	19.3	6	331	39	19	6	313
89	3	5.72e-05	4.24	3.86	18	52	14	18	52	14	831	18	52	14	662
88	3	0.000562	3.25	3.26	35	26	15	34	25.7	14.7	1.04e+03	33	25	14	656
87	3	0.000297	3.53	3.43	40	46	12	39.7	45.4	12	526	40	46	12	439
86	3	0.000341	3.47	3.4	54	22	12	53.3	21	12	877	53	20	12	692
85	3	3.31e-05	4.48	3.99	19	44	7	19	43.7	7.31	476	19	44	7	457
