Cluster Index	Voxels	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
21	8	4.12	38	31	5	38.6	31.3	5	2.03e+03	38	31	5	1.06e+03
20	4	3.62	50	37	6	50.5	37	6	216	49	37	6	174
19	3	3.59	39	48	9	39.3	48	9	297	39	48	9	280
18	3	3.39	29	55	13	29.6	54.7	13	491	29	55	13	366
17	3	3.77	37	44	14	37	43.7	13.7	320	37	43	14	243
16	2	3.27	39	28	21	39	28.5	21	157	39	28	21	156
15	2	3.5	33	23	16	33	23.5	16	563	33	23	16	496
14	2	4.28	31	42	14	31.5	42	14	292	31	42	14	254
13	2	3.33	34	9	4	33.5	9.5	4	260	33	10	4	231
12	2	3.45	47	51	10	46.5	51	10	266	47	51	10	265
11	1	3.21	23	38	4	23	38	4	206	23	38	4	206
10	1	3.5	26	32	7	26	32	7	283	26	32	7	283
9	1	3.23	12	37	8	12	37	8	130	12	37	8	130
8	1	3.34	22	22	12	22	22	12	278	22	22	12	278
7	1	3.58	25	13	14	25	13	14	168	25	13	14	168
6	1	3.25	23	21	14	23	21	14	187	23	21	14	187
5	1	3.34	41	53	14	41	53	14	251	41	53	14	251
4	1	3.24	36	36	18	36	36	18	189	36	36	18	189
3	1	3.49	41	27	19	41	27	19	161	41	27	19	161
2	1	3.68	16	44	21	16	44	21	192	16	44	21	192
1	1	3.43	35	47	13	35	47	13	229	35	47	13	229
