Cluster Index	Voxels	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
21	8	4.12	-18.7	-22	-41.2	-20.7	-21.1	-41.3	2.03e+03	-18.7	-22	-41.2	1.06e+03
20	4	3.62	-58.9	-0.355	-38.2	-60.6	-0.307	-38.2	216	-55.5	-0.451	-38.3	174
19	3	3.59	-21	37.1	-28.8	-22.1	37.1	-28.8	297	-21	37.1	-28.8	280
18	3	3.39	13.5	62.5	-11.6	11.3	61.5	-11.4	491	13.5	62.5	-11.6	366
17	3	3.77	-14	28.1	0.804	-14	26.7	-0.794	320	-14	24.8	1.38	243
16	2	3.27	-20.9	-18.2	48.6	-20.9	-16.6	48.3	157	-20.9	-18.2	48.6	156
15	2	3.5	-1.23	-39.4	23.5	-1.21	-37.8	23.2	563	-1.23	-39.4	23.5	496
14	2	4.28	6.21	20.9	1.47	4.66	21	1.51	292	6.21	20.9	1.47	254
13	2	3.33	-6.19	-95.3	-34.5	-4.48	-93.7	-34.8	260	-2.76	-92.1	-35.1	231
12	2	3.45	-47.8	48.6	-24.4	-46.2	48.5	-24.5	266	-47.8	48.6	-24.4	265
11	1	3.21	32.3	-1.35	-51.9	32.3	-1.35	-51.9	206	32.3	-1.35	-51.9	206
10	1	3.5	22.1	-18.2	-31.7	22.1	-18.2	-31.7	283	22.1	-18.2	-31.7	283
9	1	3.23	69.7	-2.31	-30.2	69.7	-2.31	-30.2	130	69.7	-2.31	-30.2	130
8	1	3.34	35.6	-47.1	1.17	35.6	-47.1	1.17	278	35.6	-47.1	1.17	278
7	1	3.58	25.2	-74.6	17.6	25.2	-74.6	17.6	168	25.2	-74.6	17.6	168
6	1	3.25	32.3	-48.6	12.8	32.3	-48.6	12.8	187	32.3	-48.6	12.8	187
5	1	3.34	-27.1	57.9	-4.02	-27.1	57.9	-4.02	251	-27.1	57.9	-4.02	251
4	1	3.24	-10.6	5.15	27.3	-10.6	5.15	27.3	189	-10.6	5.15	27.3	189
3	1	3.49	-27.9	-23	38.3	-27.9	-23	38.3	161	-27.9	-23	38.3	161
2	1	3.68	57.6	32	37.7	57.6	32	37.7	192	57.6	32	37.7	192
1	1	3.43	-7.17	36.9	-6.57	-7.17	36.9	-6.57	229	-7.17	36.9	-6.57	229
