Cluster Index	Z	P	-log10(P)	x	y	z	
217	5.34	4.61e-08	7.34	32	55	14
217	5.25	7.45e-08	7.13	30	52	16
217	5.22	8.98e-08	7.05	27	45	25
217	5.04	2.34e-07	6.63	20	46	12
217	4.98	3.2e-07	6.49	18	41	23
217	4.96	3.5e-07	6.46	29	48	17
216	5.43	2.84e-08	7.55	41	22	11
216	5.35	4.44e-08	7.35	49	19	9
216	5.33	4.92e-08	7.31	18	19	10
216	5.26	7.05e-08	7.15	47	16	9
216	5.23	8.55e-08	7.07	45	15	6
216	5.14	1.35e-07	6.87	33	13	5
215	5.39	3.45e-08	7.46	24	11	20
215	5.29	6.13e-08	7.21	20	14	22
215	5.16	1.22e-07	6.91	18	15	20
215	5.15	1.31e-07	6.88	15	16	20
215	5.11	1.6e-07	6.8	30	11	22
215	5.06	2.09e-07	6.68	32	11	22
214	5.19	1.05e-07	6.98	43	44	14
214	4.95	3.71e-07	6.43	30	41	22
214	4.8	7.89e-07	6.1	43	45	10
214	4.72	1.2e-06	5.92	32	44	21
214	4.71	1.26e-06	5.9	35	44	20
214	4.43	4.8e-06	5.32	38	43	17
213	5.19	1.05e-07	6.98	32	6	14
213	4.31	8.12e-06	5.09	41	10	18
213	4.2	1.35e-05	4.87	30	8	17
213	3.87	5.5e-05	4.26	41	8	17
213	3.71	0.000103	3.99	36	6	15
213	3.62	0.00015	3.82	29	4	15
212	4.61	1.99e-06	5.7	44	14	22
212	4.24	1.13e-05	4.95	47	16	20
212	3.79	7.38e-05	4.13	45	18	19
212	3.67	0.000123	3.91	42	17	21
212	3.26	0.00056	3.25	41	12	22
211	5.41	3.11e-08	7.51	45	51	12
211	5.04	2.27e-07	6.64	43	50	12
211	4.38	5.97e-06	5.22	43	53	11
211	4.35	6.96e-06	5.16	47	51	10
211	4.19	1.4e-05	4.86	45	54	14
211	3.73	9.72e-05	4.01	46	49	11
210	4.97	3.37e-07	6.47	48	35	19
210	3.41	0.000324	3.49	49	38	19
209	4.58	2.36e-06	5.63	34	53	20
208	4.78	8.9e-07	6.05	47	36	6
208	4.61	2e-06	5.7	51	36	6
208	4.31	8.22e-06	5.09	48	40	7
208	4.19	1.42e-05	4.85	49	37	6
208	3.47	0.000263	3.58	51	37	8
207	4.56	2.59e-06	5.59	18	18	3
207	4.34	7.02e-06	5.15	16	22	4
207	3.89	4.97e-05	4.3	19	20	2
207	3.44	0.000292	3.54	19	21	4
206	4.7	1.28e-06	5.89	45	10	13
206	3.51	0.000226	3.65	44	8	15
205	4	3.11e-05	4.51	11	33	11
205	3.66	0.000126	3.9	12	35	12
204	4.69	1.39e-06	5.86	23	46	9
204	4.29	9.03e-06	5.04	23	44	9
204	3.97	3.64e-05	4.44	24	42	9
204	3.4	0.000332	3.48	21	46	9
203	4.2	1.32e-05	4.88	41	15	12
203	3.78	7.9e-05	4.1	37	11	12
203	3.78	7.98e-05	4.1	40	13	13
202	4.09	2.17e-05	4.66	44	33	22
202	3.96	3.67e-05	4.43	42	32	23
202	3.4	0.000332	3.48	43	35	22
201	4.37	6.3e-06	5.2	17	25	20
201	3.71	0.000104	3.98	16	21	23
201	3.49	0.000242	3.62	19	24	20
200	4.91	4.5e-07	6.35	39	45	9
200	4.5	3.38e-06	5.47	41	44	8
199	4.38	5.91e-06	5.23	15	40	13
199	4.03	2.81e-05	4.55	15	44	13
198	4.12	1.89e-05	4.72	41	16	19
198	3.48	0.00025	3.6	39	15	19
198	3.4	0.000332	3.48	38	16	17
197	4.12	1.87e-05	4.73	45	12	4
196	3.73	9.47e-05	4.02	47	42	15
195	4.07	2.35e-05	4.63	34	8	10
195	3.63	0.000139	3.86	31	7	10
195	3.32	0.000454	3.34	31	9	10
194	3.81	6.94e-05	4.16	13	19	12
194	3.68	0.000116	3.93	14	20	10
194	3.37	0.000377	3.42	11	23	11
193	4.07	2.38e-05	4.62	47	27	8
193	3.61	0.000153	3.82	45	29	8
193	3.39	0.000347	3.46	49	25	8
192	3.86	5.64e-05	4.25	43	13	15
192	3.7	0.000109	3.96	43	16	16
191	4.65	1.7e-06	5.77	23	52	14
190	3.77	8.24e-05	4.08	17	38	9
190	3.4	0.000342	3.47	14	38	10
190	3.25	0.000581	3.24	14	36	10
189	3.84	6.18e-05	4.21	34	29	9
189	3.52	0.000213	3.67	30	29	9
188	4.22	1.24e-05	4.91	43	25	2
187	3.57	0.000181	3.74	29	23	0
187	3.51	0.000228	3.64	29	20	0
187	3.22	0.000651	3.19	27	21	1
186	3.53	0.000209	3.68	46	29	22
185	3.92	4.51e-05	4.35	48	43	12
184	4.31	8.03e-06	5.1	36	37	22
184	3.42	0.000315	3.5	34	37	23
183	4.1	2.03e-05	4.69	40	49	23
183	3.68	0.000119	3.93	41	50	21
182	3.53	0.000211	3.68	44	48	18
182	3.15	0.000812	3.09	45	45	18
181	4.32	7.93e-06	5.1	27	29	27
181	3.72	0.000101	4	26	27	27
180	4.79	8.35e-07	6.08	29	10	12
180	3.53	0.000206	3.69	28	13	11
179	3.81	7.08e-05	4.15	53	24	14
178	3.84	6.26e-05	4.2	35	41	12
