Cluster Index	Z	P	-log10(P)	x	y	z	
23	4.07	2.34e-05	4.63	21.8	-77.8	18.2
22	3.49	0.000237	3.62	-38.4	-44	31
21	3.77	8.14e-05	4.09	-18.7	-22	-41.2
20	3.88	5.28e-05	4.28	-8.27	-64.6	33.7
19	3.58	0.000173	3.76	35.7	-60.1	26
18	3.82	6.74e-05	4.17	-36.1	-43.7	-53.9
17	3.4	0.000332	3.48	27.9	-79	-32.6
16	3.82	6.68e-05	4.18	34.8	-72.6	-33.9
15	3.16	0.000801	3.1	-25.5	-22.6	-46.6
14	3.23	0.000619	3.21	48.5	-56.7	-37.1
13	3.28	0.000514	3.29	42	-40.1	-39.8
12	3.23	0.000614	3.21	69.7	-2.31	-30.2
11	3.27	0.000533	3.27	32	-55.2	-8.62
10	3.31	0.000474	3.32	73.1	-17.1	-16.4
9	3.14	0.000844	3.07	56.6	13.7	-15.7
8	3.26	0.000556	3.25	23.3	33.6	-1.21
7	3.24	0.000592	3.23	45.9	-62.8	31.9
6	3.59	0.000164	3.79	-42	-57	33.4
5	3.34	0.000421	3.38	40.3	22.5	17.2
4	3.49	0.000243	3.62	33.3	-30.3	66.2
3	3.14	0.000848	3.07	17.4	39.8	60.1
2	3.52	0.00022	3.66	9.53	-44.3	80.6
1	3.12	0.000917	3.04	-24.2	33.2	-11.1
