Cluster Index	Z	x	y	z	
148	5.56	16	44	21
148	5.05	27	45	25
148	4.9	20	46	22
148	4.69	21	52	20
148	4.64	21	54	18
148	4.48	22	50	22
147	5.12	32	55	14
147	4.9	19	45	12
147	4.57	33	46	11
147	4.52	26	47	11
147	4.36	24	47	11
147	4.32	32	52	11
146	4.85	43	14	7
146	4.39	48	17	7
146	4.29	45	17	7
146	4.17	49	19	9
146	4.09	47	17	9
146	4.05	38	13	7
145	5.01	20	14	22
145	4.78	24	11	20
145	4.43	19	14	20
145	4.35	22	14	21
145	4.16	15	16	20
145	3.72	22	10	17
144	4.72	32	11	22
144	4.26	32	15	24
144	4.05	36	13	23
144	3.71	39	10	20
144	3.7	32	10	20
144	3.65	38	12	22
143	4.78	44	50	12
143	4.24	47	51	10
143	4.24	46	49	11
143	3.9	41	51	12
143	3.86	47	47	11
143	3.71	48	44	11
142	5.33	20	16	17
142	4.45	23	16	16
142	4.17	17	18	14
142	4	19	17	15
141	4.57	25	55	16
141	4.53	28	55	18
141	4.37	31	52	16
141	4.18	28	56	16
141	3.94	30	58	18
141	3.71	32	50	16
140	4.11	31	13	6
140	4.03	32	10	7
140	3.71	29	12	7
139	3.75	22	18	6
139	3.72	22	15	7
138	3.84	48	15	21
138	3.72	45	13	21
137	4.02	21	23	12
137	4	22	21	12
137	3.72	23	18	11
137	3.45	24	16	12
136	4.31	43	43	9
136	4.04	41	44	8
136	3.85	45	46	9
136	3.84	45	44	9
135	5.11	26	40	16
135	4.1	27	37	16
134	4.13	22	11	11
134	3.49	22	13	12
134	3.43	18	12	12
133	3.66	30	51	22
133	3.38	27	52	22
132	3.59	30	39	26
132	3.44	31	45	25
132	3.42	30	43	25
132	3.34	33	40	25
131	4.12	29	7	17
131	3.3	32	6	16
130	4.82	49	37	6
130	4.37	51	36	6
129	4.8	41	16	19
128	4.26	21	43	16
127	4.67	45	10	13
127	3.24	43	6	12
126	3.62	41	10	17
126	3.54	43	12	19
125	4.3	20	20	10
124	3.98	14	44	17
124	3.8	16	46	16
123	3.71	27	36	18
122	3.8	24	35	26
122	3.3	25	38	26
121	3.99	46	54	14
121	3.46	44	54	14
120	4.91	23	46	9
119	3.65	47	31	6
119	3.53	45	32	7
118	3.66	36	36	18
117	3.91	43	44	24
117	3.44	42	40	25
116	4.17	25	13	14
115	3.84	29	46	16
115	3.34	31	45	16
114	3.49	16	14	18
113	3.45	38	7	15
113	3.36	36	6	15
112	3.83	13	19	15
111	3.96	45	24	18
111	3.18	46	26	18
110	3.77	37	44	25
110	3.65	38	42	25
110	3.28	39	45	24
109	3.64	19	24	7
108	3.28	34	48	19
108	3.24	37	53	20
108	3.21	35	50	20
107	3.94	22	45	18
107	3.72	20	47	18
106	3.66	28	20	9
105	3.76	34	8	10
104	4.02	44	8	15
103	3.66	38	7	10
102	3.62	42	49	16
101	3.59	40	49	23
100	3.75	36	42	15
99	3.31	27	14	5
98	3.66	16	21	16
97	3.57	39	17	17
96	3.24	29	42	19
96	3.22	31	43	20
95	3.75	27	53	14
94	4	26	52	20
93	3.15	25	35	7
92	3.84	38	49	11
91	3.62	32	27	1
90	3.5	39	19	6
89	3.86	18	52	14
88	3.26	35	26	15
88	3.16	33	25	14
87	3.43	40	46	12
86	3.4	54	22	12
85	3.99	19	44	7
84	3.56	48	39	23
83	3.83	35	56	18
82	3.92	41	56	16
81	3.99	37	7	17
80	3.56	42	8	17
79	3.64	39	27	6
78	3.47	23	22	14
77	3.56	34	54	20
76	3.63	39	17	14
75	3.18	25	14	7
74	3.55	31	41	22
73	3.53	33	17	11
72	3.48	34	52	18
71	3.21	18	39	18
70	3.51	29	56	11
69	3.71	30	43	12
68	3.68	29	39	12
67	3.22	14	31	22
66	3.34	48	27	8
65	3.78	44	34	9
64	3.12	31	33	17
63	3.15	16	28	24
62	3.77	18	40	4
61	3.21	42	14	4
60	3.69	47	49	15
59	3.56	19	21	3
58	3.33	41	50	20
57	3.35	22	23	9
56	3.43	40	24	9
55	3.83	17	38	9
54	3.67	52	42	8
53	3.43	26	41	9
52	3.4	11	31	20
51	3.1	38	20	20
50	3.19	41	12	22
49	3.67	48	40	7
48	3.23	42	34	7
47	3.16	18	34	22
46	3.2	15	22	7
45	3.28	31	46	22
44	3.59	46	16	23
43	3.23	52	25	23
42	3.2	31	39	23
41	3.35	32	19	24
40	3.16	40	35	5
39	3.13	19	21	5
38	3.33	39	13	3
37	3.38	43	25	2
36	3.24	35	39	26
35	3.14	17	13	14
34	3.16	14	38	18
33	3.52	18	19	18
32	3.13	33	9	18
31	3.63	12	37	14
30	3.32	33	37	14
29	3.38	52	40	14
28	3.14	31	50	14
27	3.21	17	41	17
26	3.11	46	51	14
25	3.47	38	38	17
24	3.1	36	32	17
23	3.51	31	15	17
22	3.15	48	41	15
21	3.25	42	39	16
20	3.1	38	56	15
19	3.1	16	24	16
18	3.12	41	14	16
17	3.54	46	51	19
16	3.19	55	32	10
15	3.14	54	34	10
14	3.11	40	43	10
13	3.18	41	35	19
12	3.16	45	18	19
11	3.44	46	14	11
10	3.23	20	15	11
9	3.26	49	15	11
8	3.8	37	53	18
7	3.16	29	50	18
6	3.2	24	50	18
5	3.18	48	25	12
4	3.46	30	39	18
3	3.22	28	19	13
2	3.16	29	26	13
1	4.51	32	6	14
