Cluster Index	Z	P	-log10(P)	x	y	z	
21	4.12	1.93e-05	4.71	38	31	5
20	3.62	0.000146	3.84	50	37	6
19	3.39	0.000348	3.46	29	55	13
18	3.59	0.000166	3.78	39	48	9
17	3.77	8.23e-05	4.08	37	44	14
16	3.27	0.000539	3.27	39	28	21
15	3.5	0.000233	3.63	33	23	16
14	4.28	9.55e-06	5.02	31	42	14
13	3.46	0.000273	3.56	47	51	10
12	3.42	0.000315	3.5	34	9	4
11	3.34	0.000419	3.38	22	22	12
10	3.43	0.000303	3.52	35	47	13
9	3.2	0.00068	3.17	12	37	8
8	3.58	0.00017	3.77	25	13	14
7	3.25	0.000585	3.23	23	21	14
6	3.5	0.000231	3.64	26	32	7
5	3.34	0.000414	3.38	41	53	14
4	3.21	0.00067	3.17	23	38	4
3	3.24	0.000596	3.22	36	36	18
2	3.49	0.00024	3.62	41	27	19
1	3.68	0.000115	3.94	16	44	21
