Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
150	259	3.48e-12	11.5	6.86	47	16.6	23.7	44	18.6	32.8	396	50.6	23.9	28	161
149	167	4.99e-13	12.3	7.13	56.6	-31.1	43	54.7	-42.7	43.5	395	53.2	-48.1	63	133
148	165	1.32e-08	7.88	5.56	-10.2	12.6	54.3	1.81	18.1	49.6	319	3.48	33.5	38.9	150
147	128	1.45e-08	7.84	5.55	33.3	25.9	-5.81	28.4	26.3	-6.53	478	16.6	48.4	-14.9	167
146	97	4.37e-12	11.4	6.83	-54.5	1.53	40.5	-54.3	5.33	32.3	213	-64.8	11.5	16.4	112
145	75	9.89e-06	5	4.27	-27	47.4	14.8	-22.4	39.3	14.6	292	-33.6	55.8	24.8	186
144	65	1.97e-11	10.7	6.61	31.5	-88	-2.91	34	-83.8	3.5	317	28.4	-87.8	19.8	166
143	44	9.43e-07	6.03	4.77	-44.9	-34.8	46.5	-35.7	-44.4	48	231	-28.2	-57.3	55.6	128
142	37	4.45e-07	6.35	4.91	-54.2	38.3	17.1	-51.9	38.4	21.4	330	-47.4	41.4	16.4	170
141	31	1.68e-06	5.78	4.65	33.8	57	0.0605	34.1	54	-1.8	362	37.1	52.8	-4.95	209
140	30	3.74e-10	9.43	6.16	-37.5	-0.535	51.7	-38.1	1.38	52.8	188	-37.5	-0.535	51.7	114
139	30	5.76e-06	5.24	4.39	2.33	-1.14	-11.5	-14.7	8.23	-6.47	453	-1.05	-1.04	-11.5	219
138	24	1.49e-06	5.83	4.67	-22.5	-91.3	10.5	-31.5	-86.2	6.73	218	-22.5	-91.3	10.5	135
137	24	4.52e-05	4.34	3.91	-23.2	-96.5	-45.1	-10.3	-97.5	-37.8	188	3.91	-98.8	-34.2	129
136	22	1.03e-05	4.99	4.26	18.9	-55.5	31.4	15.3	-66	36.6	254	15.4	-70.9	39.8	163
135	15	1.76e-06	5.75	4.64	-26.6	-81.7	-58.9	-20.6	-82.4	-58.9	564	-26.6	-81.7	-58.9	284
134	15	3.38e-06	5.47	4.5	14	-86.1	-59.3	22.6	-83	-60.1	402	24.1	-83.1	-60.1	216
133	12	2.75e-06	5.56	4.54	-48.7	-45.4	20.2	-50.8	-47.5	17.5	182	-52.3	-52.7	16	126
132	11	6.5e-06	5.19	4.36	-49.3	-66	-4.43	-49.3	-67.6	-5.11	186	-49.4	-72.6	-3.29	143
131	10	6.07e-05	4.22	3.84	2.96	5.61	32.5	6.19	0.06	33.9	133	-0.418	5.7	32.6	90.4
130	9	1.95e-05	4.71	4.11	53.7	44.1	-15.2	51.6	43	-13.7	286	50.4	44.2	-15.1	198
129	9	6.11e-06	5.21	4.37	-10.8	6.74	15.7	-11.1	6.87	14.4	512	-7.5	2.52	10.7	262
128	8	6.08e-06	5.22	4.37	-68.5	-30.8	46.5	-65.2	-35.1	47.2	188	-65.2	-37.5	47.6	131
127	7	8.8e-05	4.06	3.75	-39.5	-74.6	-14.5	-40	-70.6	-19.1	487	-39.4	-65.6	-21.8	304
126	7	7.82e-07	6.11	4.8	46	-69.3	55.6	49.2	-68.8	52.2	245	46	-70.1	50.1	143
125	6	0.000114	3.94	3.69	-20.5	59.3	-15.8	-18.8	61.7	-14.4	419	-17.1	55.9	-15.3	254
124	6	4.78e-06	5.32	4.43	22.2	-81.7	58.4	16.2	-84.2	55.4	255	15.3	-85.6	53.7	184
123	6	0.000315	3.5	3.42	-25.9	-83.1	-2.13	-29.8	-77.6	-2.98	168	-32.6	-76.3	-3.12	138
122	6	5.5e-06	5.26	4.4	-58.4	-45.8	60.1	-60.1	-44.1	59.9	220	-58.4	-45.8	60.1	164
121	6	7.98e-06	5.1	4.32	-62.5	-31.3	-21.4	-61.4	-29.3	-21.8	183	-59.1	-28.1	-22.1	127
120	6	6.1e-05	4.21	3.84	13.2	-15.8	69.9	12.1	-17.2	67.4	120	9.72	-19.8	65	92.3
119	6	9.1e-06	5.04	4.29	17.2	69	9.75	15.1	64.2	9.83	598	17.2	69	9.75	264
118	6	4.74e-08	7.32	5.34	66.5	-39.6	32.9	65.5	-41.1	33.2	161	66.5	-42.9	33.5	112
117	5	2.45e-06	5.61	4.57	-68.3	-25.9	57	-66.4	-25.4	56.8	191	-64.9	-26	56.9	139
116	5	6.08e-05	4.22	3.84	-0.945	16.9	-25.9	-0.348	17.5	-26	234	-0.945	16.9	-25.9	156
115	5	0.000262	3.58	3.47	66.2	-31.6	-2.4	66.9	-33.9	-4.24	138	66.2	-31.6	-2.4	114
114	5	7.59e-05	4.12	3.79	56.2	-24.7	-3.31	56.2	-25.1	-1.03	132	59.6	-24.8	-3.38	114
113	5	2.61e-05	4.58	4.05	-52.6	-48	-18.8	-51.3	-47.3	-18.9	203	-52.6	-48	-18.8	158
112	5	3.92e-06	5.41	4.47	-65.1	-17.1	27.1	-64.4	-15.8	26.8	164	-65.1	-17.1	27.1	135
111	5	3.73e-05	4.43	3.96	-55.2	-39.4	36.3	-53.3	-39.4	33	154	-58.6	-39.4	36.4	117
110	4	2.6e-05	4.59	4.05	-30.7	47.3	-7.73	-31.5	47.4	-7.72	156	-34.1	47.4	-7.65	118
109	4	8.85e-06	5.05	4.29	13	6.91	20.7	15.2	4.14	18.5	293	13	6.91	20.7	187
108	4	0.000243	3.61	3.49	-39.1	-48.4	-19.1	-40.7	-48.3	-19.1	173	-39.1	-45.1	-19.7	156
107	4	0.000277	3.56	3.45	-44.5	38.7	-22.8	-42.9	37	-22.5	308	-41.2	38.6	-22.9	259
106	4	5.87e-06	5.23	4.38	56.3	7.06	-37.1	57.9	5.47	-36.9	160	56.3	7.06	-37.1	133
105	4	1.05e-06	5.98	4.74	-26.6	57.3	35.7	-25.9	58.7	35.4	287	-26.7	54	36.2	208
104	4	7.41e-05	4.13	3.79	55.8	-46.1	-10.9	54.9	-45.3	-11	105	55.8	-46.1	-10.9	87.8
103	4	0.000106	3.98	3.7	43.6	-25.7	76.4	42	-24	76.1	269	40.2	-25.6	76.4	185
102	4	7.83e-05	4.11	3.78	-14.2	31.2	-22.4	-15	33.7	-22.8	200	-14.1	37.8	-23.5	157
101	4	0.000125	3.9	3.66	46.3	22.9	-45.2	43.8	25.3	-45.6	183	42.9	26.2	-45.7	168
100	3	0.000143	3.85	3.63	76.6	-7.36	-18.2	75.5	-6.02	-16.6	106	73.3	-6.42	-12.6	74.1
99	3	0.000153	3.82	3.61	34.1	57.1	22.6	35.2	58.1	22.4	152	34.1	60.4	22.1	139
98	3	9.39e-05	4.03	3.73	-50.9	48.8	-1.75	-52	45.9	0.569	221	-50.9	45.5	-1.18	164
