Cluster Index	Voxels	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
163	691	5.13	42	43	14	35.5	43.8	15.1	1.56e+03	32	34	9	449
162	204	6.38	22	10	13	22	15.5	11.6	922	22	18	8	316
161	163	6.03	47	16	9	45.6	18.4	8.55	1.69e+03	44	17	7	478
160	129	5.09	24	47	15	21	41.9	18.7	865	17	44	19	358
159	126	4.87	43	13	15	41.8	14.2	18.5	1.35e+03	43	12	21	408
158	70	5.1	24	17	19	23.9	15.3	19.4	901	26	10	20	393
157	34	4.89	44	33	22	42.9	32.8	22.2	391	44	33	22	273
156	29	4.71	27	57	15	26.1	54.8	15	701	25	54	15	494
155	26	4.31	41	15	12	39.1	13.8	12.7	388	39	17	13	300
154	26	4.89	47	35	19	47.6	35	19.2	566	46	35	19	317
153	23	4.98	34	48	9	32.5	43.7	9	991	33	44	9	498
152	22	4.29	23	44	7	24.5	44.6	8.48	965	24	45	9	569
151	20	4.48	30	9	3	33.5	8.62	3.03	456	33	9	3	307
150	19	5.27	49	24	20	48.2	23.2	20	431	49	23	20	291
149	16	4.4	31	16	13	31.2	15.6	12.7	550	33	16	12	388
148	16	4.03	23	19	11	24.6	20	11.5	482	27	21	12	308
147	16	4.38	33	57	11	31	55.1	11	775	30	54	11	545
146	16	4.15	36	34	23	35.5	35.4	22.9	384	35	37	23	271
145	16	4.14	18	25	12	18.2	26.3	12.3	328	16	29	12	234
144	15	4.3	46	15	23	48.3	18.3	22.9	702	50	22	23	454
143	13	4.56	22	52	16	21.7	51.5	15.6	896	21	52	15	589
142	12	4.68	51	28	23	50.9	27.3	23.1	552	51	27	23	340
141	12	3.74	30	51	13	30.2	50.8	13.3	519	31	52	13	436
140	11	4.54	39	14	0	38.2	13.7	0	1.13e+03	39	14	0	652
139	10	4.49	48	28	25	47.6	27.2	25	593	47	28	25	428
138	10	4.37	17	25	20	17.5	24.9	20.2	305	17	25	20	225
137	10	5.16	46	10	13	45.9	10.8	12.8	742	46	9	13	385
136	9	3.65	35	12	17	36.2	11.6	17	506	36	12	17	428
135	9	4.2	49	23	17	48	23	17	383	48	23	17	285
134	8	4.03	50	42	17	49.7	41.6	17.3	505	50	42	17	317
133	8	3.8	16	22	15	18.2	22.4	15	302	17	22	15	249
132	8	4	28	56	17	28.6	55.4	17	1.3e+03	28	56	17	738
131	8	4.17	36	10	22	35.3	11.3	22.7	826	35	12	23	502
130	7	4.81	15	44	13	15	44.7	13	734	16	44	13	380
129	7	4.27	49	15	21	49.1	15.8	21	1.04e+03	49	16	21	641
128	7	4.01	25	14	0	26	13.7	0	736	25	14	0	492
127	7	3.56	47	22	25	46	21	25	936	45	20	25	706
126	7	3.85	45	23	23	45.3	23.3	23	388	45	22	23	304
125	7	3.74	19	33	8	18.7	32.7	7.72	481	20	33	8	313
124	7	3.83	43	43	7	44.2	44	7	593	43	43	7	445
123	6	3.87	48	25	5	47.3	25.1	5	668	48	25	5	507
122	6	3.54	31	16	25	30.5	15	25	1.04e+03	31	15	25	726
121	6	4.21	47	21	15	47.8	20.4	15	372	48	21	15	316
120	6	3.45	41	25	25	41.6	25.6	24.8	339	42	26	25	291
119	6	3.51	21	41	23	22.5	39.7	22.2	358	21	41	23	253
118	6	4.14	53	24	21	53.2	25	20.8	601	53	25	21	403
117	6	3.62	25	29	21	24.7	28.2	20.3	180	25	30	21	159
116	6	4.51	50	27	8	50.2	26.8	8	359	50	27	8	278
115	6	3.72	43	45	9	42.5	44.7	9	784	43	45	9	610
114	6	3.52	40	20	11	39.2	19.2	11	294	40	20	11	274
113	5	4.04	36	55	11	35.6	54.8	11	647	35	55	11	528
112	5	3.73	28	52	20	27.2	51.4	20.6	364	27	51	21	316
111	5	4.2	37	57	13	37.8	56.4	13	658	37	56	13	470
110	4	3.75	24	8	4	24.5	8	4.49	314	25	8	5	259
109	4	3.56	39	20	15	38.5	19.5	15	216	39	20	15	182
108	4	3.57	39	9	15	40.5	9.73	15	300	39	9	15	262
107	4	3.51	40	6	15	40.5	5.99	15	799	41	7	15	597
106	4	3.59	18	37	5	18.7	36	5	350	18	37	5	291
105	4	3.74	33	57	13	32.5	57	13	775	33	57	13	594
104	4	3.35	54	25	11	53.5	25.5	11	310	53	25	11	243
