Cluster Index	Voxels	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
161	693	5.13	-30.9	25.3	1.77	-8.78	28.4	7.08	1.56e+03	2.08	-9.37	-21.4	449
160	204	6.38	35.1	-85.5	13.5	35.2	-68.6	2.51	922	35.1	-63.6	-18.6	316
159	163	6.03	-49.4	-66.9	-9.94	-44.5	-59.5	-13.9	1.69e+03	-39.4	-65.6	-21.8	478
158	129	5.09	30.2	37.5	3.57	40.4	23.6	26.6	865	54	30.4	26.7	358
157	126	4.88	-35.6	-72	24.5	-31.1	-65.1	43	1.35e+03	-35.1	-70.2	58.1	408
156	70	5.1	29.2	-57.4	42.7	29.3	-62.7	45.9	900	22.2	-79.3	52.4	393
155	34	4.89	-37.5	-0.535	51.7	-33.9	-1.09	53	391	-37.5	-0.535	51.7	273
154	29	4.66	20.5	70.5	-1.91	23.5	63.3	-0.574	701	27.1	60.5	-0.352	492
153	26	4.89	-47.8	3.77	34.3	-49.8	3.82	35.3	566	-44.4	3.68	34.2	317
152	26	4.31	-29	-68.2	6.67	-22.6	-71.7	10.8	388	-22	-61	10.9	300
151	23	4.98	-4.06	36.7	-29.2	0.809	22.6	-26.9	991	-0.857	23.5	-27	496
150	22	4.29	32.8	20.8	-38.8	27.9	24.3	-30.9	966	29.6	25.9	-28.3	570
149	18	5.27	-55	-31.2	46.2	-52.7	-33.6	46.9	431	-55	-34.5	46.8	290
148	16	4.14	49.2	-37.7	-0.863	48.8	-33.1	0.0489	328	56.2	-24.7	-3.31	234
147	16	4.4	4.98	-65	10.8	4.27	-66.6	9.63	550	-1.86	-65.7	5.46	388
146	16	4.15	-10.3	2.82	56	-8.63	7.2	54.4	384	-6.82	12.5	54.2	271
145	16	4.38	-0.121	67.7	-23.4	6.39	61.3	-22.5	773	9.89	57.6	-22	544
144	16	4.03	32	-57.7	-2.55	26.7	-53.7	0.00551	482	18.6	-49.9	2.13	308
143	14	4.3	-45	-58.4	67.6	-52	-47.9	65.6	701	-58.2	-35.1	63.9	476
142	13	4.56	37.2	54.5	6.06	38.3	52.7	4.32	897	40.5	53.6	0.473	589
