Cluster Index	Z	P	-log10(P)	x	y	z	
150	6.86	3.48e-12	11.5	47	16.6	23.7
150	5.74	4.71e-09	8.33	33.6	4	48.9
150	5.16	1.21e-07	6.92	50.7	10.9	52.8
150	4.99	2.99e-07	6.52	57.1	21.2	11.3
150	4.94	3.95e-07	6.4	40.7	24.3	50.8
150	4.74	1.06e-06	5.97	30.3	2.51	60.5
149	7.13	4.99e-13	12.3	56.6	-31.1	43
149	5.87	2.12e-09	8.67	60	-45.9	56.8
149	5.76	4.28e-09	8.37	66.9	-36.2	54.9
149	5.28	6.56e-08	7.18	53.3	-47.3	68.5
149	5.14	1.37e-07	6.86	39.4	-62.5	54.6
149	4.8	8.08e-07	6.09	62.9	-39.6	10.4
148	5.56	1.32e-08	7.88	-10.2	12.6	54.3
148	4.81	7.39e-07	6.13	6.71	17.9	47.2
148	4.33	7.36e-06	5.13	6.7	6.46	60.5
148	4.15	1.65e-05	4.78	-3.49	3.47	61.3
148	4.09	2.18e-05	4.66	-13.6	20.9	41.6
148	4.05	2.57e-05	4.59	10.2	30	39.4
147	5.55	1.45e-08	7.84	33.3	25.9	-5.81
147	5.27	6.66e-08	7.18	30	27.7	5.28
147	4.67	1.5e-06	5.82	19.9	45.1	-14.4
147	4.34	7.12e-06	5.15	50.1	27.8	-12.3
147	4.3	8.51e-06	5.07	16.3	34.5	-18.1
147	4.08	2.21e-05	4.65	13.3	51.8	-15.4
146	6.83	4.37e-12	11.4	-54.5	1.53	40.5
146	5.78	3.69e-09	8.43	-64.7	12.4	21.9
146	5.4	3.33e-08	7.48	-47.8	6.2	28.2
146	4.54	2.85e-06	5.55	-54.4	3.22	51.5
145	4.27	9.89e-06	5	-27	47.4	14.8
145	4.25	1.07e-05	4.97	-30.9	25.3	1.77
145	4.19	1.39e-05	4.86	-13.7	37.1	16.2
145	3.93	4.18e-05	4.38	-33.6	55.8	24.8
145	3.67	0.00012	3.92	-23.8	39.9	10.3
145	3.44	0.000287	3.54	-20.7	25.8	7.04
144	6.61	1.97e-11	10.7	31.5	-88	-2.91
144	6.58	2.37e-11	10.6	38.4	-87.3	2.43
144	5.88	2.08e-09	8.68	25	-87.7	19.8
144	5.43	2.85e-08	7.54	31.8	-85.4	13.6
144	5.14	1.37e-07	6.86	38.4	-75.9	-10.9
144	4.39	5.62e-06	5.25	45.2	-72.8	-11.6
143	4.77	9.43e-07	6.03	-44.9	-34.8	46.5
143	4.68	1.42e-06	5.85	-21.5	-58.4	50
143	4.35	6.88e-06	5.16	-24.8	-51.7	48.9
143	3.67	0.000119	3.92	-31.6	-57.2	55.7
142	4.91	4.45e-07	6.35	-54.2	38.3	17.1
142	4.52	3.05e-06	5.52	-47.3	43.1	27.4
142	4.01	3.04e-05	4.52	-61.2	31.1	12.9
142	3.59	0.000165	3.78	-61	23.8	31.1
141	4.65	1.68e-06	5.78	33.8	57	0.0605
141	3.82	6.74e-05	4.17	37.1	58.5	-11.6
141	3.77	8.12e-05	4.09	33.7	49.6	-4.3
141	3.77	8.18e-05	4.09	27.1	60.5	-0.352
141	3.5	0.000232	3.64	43.8	49.4	-4.54
141	3.49	0.000245	3.61	30.3	44	2.42
140	6.16	3.74e-10	9.43	-37.5	-0.535	51.7
140	5.5	1.94e-08	7.71	-37.4	6.01	50.5
