Cluster Index	Z	P	-log10(P)	x	y	z	
163	5.13	1.47e-07	6.83	42	43	14
163	5.02	2.61e-07	6.58	26	49	11
163	4.97	3.31e-07	6.48	40	47	18
163	4.92	4.38e-07	6.36	30	46	11
163	4.91	4.59e-07	6.34	44	41	11
163	4.83	6.71e-07	6.17	29	38	13
162	6.38	9.05e-11	10	22	10	13
162	5.59	1.16e-08	7.94	21	14	9
162	5.46	2.35e-08	7.63	21	13	16
162	5.41	3.18e-08	7.5	22	15	15
162	5.2	9.7e-08	7.01	18	19	10
162	5.15	1.29e-07	6.89	21	20	8
161	6.03	8.11e-10	9.09	47	16	9
161	5.75	4.45e-09	8.35	42	13	8
161	5.47	2.21e-08	7.66	44	16	7
161	5.28	6.39e-08	7.19	45	16	10
161	4.94	3.97e-07	6.4	46	22	8
161	4.73	1.14e-06	5.94	51	17	9
160	5.09	1.79e-07	6.75	24	47	15
160	4.68	1.41e-06	5.85	20	39	18
160	4.35	6.76e-06	5.17	18	41	19
160	4.26	1.04e-05	4.98	19	47	17
160	3.9	4.74e-05	4.32	19	38	23
160	3.9	4.79e-05	4.32	17	44	19
159	4.87	5.5e-07	6.26	43	13	15
159	4.72	1.2e-06	5.92	45	12	15
159	4.61	2.01e-06	5.7	37	12	21
159	4.53	2.9e-06	5.54	41	16	17
159	4.45	4.24e-06	5.37	42	17	21
159	4.45	4.29e-06	5.37	45	19	21
158	5.1	1.67e-07	6.78	24	17	19
158	5.09	1.79e-07	6.75	22	15	21
158	4.89	5.15e-07	6.29	24	14	20
158	4.46	4.14e-06	5.38	28	17	17
158	3.91	4.55e-05	4.34	30	15	17
158	3.49	0.00024	3.62	26	10	20
157	4.89	5.13e-07	6.29	44	33	22
157	4.56	2.53e-06	5.6	42	32	23
157	4.21	1.27e-05	4.89	43	35	22
156	4.71	1.25e-06	5.9	27	57	15
156	4.56	2.54e-06	5.59	26	55	15
156	4.21	1.26e-05	4.9	23	56	15
156	3.78	7.93e-05	4.1	30	54	15
155	4.31	8.14e-06	5.09	41	15	12
155	4.23	1.15e-05	4.94	38	11	13
155	4.09	2.19e-05	4.66	39	17	13
154	4.89	5.06e-07	6.3	47	35	19
154	4.26	1.03e-05	4.99	51	35	21
153	4.98	3.2e-07	6.49	34	48	9
153	4.5	3.36e-06	5.47	30	40	9
153	4.15	1.67e-05	4.78	33	42	9
153	3.85	5.8e-05	4.24	33	46	9
152	4.29	9.02e-06	5.04	23	44	7
152	4.21	1.29e-05	4.89	27	45	9
152	4.16	1.57e-05	4.8	24	45	9
152	3.83	6.45e-05	4.19	20	45	7
151	4.48	3.65e-06	5.44	30	9	3
151	3.8	7.12e-05	4.15	37	9	2
151	3.77	8e-05	4.1	35	8	3
151	3.67	0.000119	3.92	39	8	3
150	5.27	6.95e-08	7.16	49	24	20
149	4.4	5.34e-06	5.27	31	16	13
148	4.03	2.78e-05	4.56	23	19	11
148	3.72	9.9e-05	4	25	21	12
148	3.7	0.000107	3.97	27	21	12
147	4.38	5.84e-06	5.23	33	57	11
147	4.32	7.78e-06	5.11	31	54	11
147	3.45	0.000275	3.56	30	57	11
146	4.15	1.68e-05	4.78	36	34	23
146	4.05	2.6e-05	4.58	35	37	23
145	4.14	1.73e-05	4.76	18	25	12
145	3.79	7.6e-05	4.12	16	29	12
145	3.38	0.000366	3.44	20	27	13
144	4.3	8.4e-06	5.08	46	15	23
144	3.92	4.52e-05	4.35	50	21	23
143	4.56	2.53e-06	5.6	22	52	16
142	4.68	1.4e-06	5.85	51	28	23
141	3.74	9.32e-05	4.03	30	51	13
140	4.54	2.84e-06	5.55	39	14	0
140	4.44	4.53e-06	5.34	37	14	0
139	4.49	3.53e-06	5.45	48	28	25
138	4.37	6.14e-06	5.21	17	25	20
138	3.4	0.000335	3.48	17	23	21
138	3.2	0.000679	3.17	20	25	19
137	5.16	1.22e-07	6.91	46	10	13
137	3.6	0.000159	3.8	45	13	12
136	3.65	0.000133	3.88	35	12	17
135	4.2	1.31e-05	4.88	49	23	17
134	4.03	2.73e-05	4.56	50	42	17
133	3.8	7.12e-05	4.15	16	22	15
133	3.77	8.3e-05	4.08	19	23	15
132	4	3.22e-05	4.49	28	56	17
131	4.17	1.54e-05	4.81	36	10	22
131	3.29	0.000506	3.3	33	13	23
130	4.81	7.47e-07	6.13	15	44	13
129	4.27	9.72e-06	5.01	49	15	21
128	4.01	3.09e-05	4.51	25	14	0
127	3.56	0.000185	3.73	47	22	25
127	3.47	0.000257	3.59	46	20	25
126	3.85	5.94e-05	4.23	45	23	23
125	3.74	9.1e-05	4.04	19	33	8
124	3.83	6.41e-05	4.19	43	43	7
123	3.87	5.48e-05	4.26	48	25	5
122	3.54	0.000201	3.7	31	16	25
121	4.21	1.28e-05	4.89	47	21	15
120	3.45	0.000283	3.55	41	25	25
119	3.51	0.000226	3.65	21	41	23
118	4.14	1.72e-05	4.77	53	24	21
117	3.62	0.000145	3.84	25	29	21
116	4.51	3.27e-06	5.49	50	27	8
115	3.72	9.79e-05	4.01	43	45	9
114	3.52	0.000216	3.67	40	20	11
114	3.44	0.000295	3.53	38	17	11
113	4.04	2.66e-05	4.57	36	55	11
112	3.73	9.6e-05	4.02	28	52	20
112	3.3	0.000491	3.31	26	51	21
111	4.2	1.34e-05	4.87	37	57	13
110	3.75	8.76e-05	4.06	24	8	4
109	3.56	0.000187	3.73	39	20	15
108	3.57	0.000175	3.76	39	9	15
108	3.26	0.000566	3.25	41	10	15
107	3.51	0.000225	3.65	40	6	15
106	3.59	0.000167	3.78	18	37	5
106	3.3	0.000485	3.31	20	35	5
105	3.74	9.08e-05	4.04	33	57	13
104	3.35	0.0004	3.4	54	25	11
103	3.45	0.000282	3.55	38	34	21
102	3.65	0.000132	3.88	25	28	13
101	3.68	0.000116	3.94	23	52	19
100	3.43	0.000303	3.52	38	39	21
100	3.35	0.000401	3.4	36	40	21
99	3.89	4.96e-05	4.3	50	23	8
98	4.11	1.97e-05	4.71	23	26	25
97	4.08	2.26e-05	4.65	28	17	0
96	3.75	9e-05	4.05	13	22	16
95	3.84	6.05e-05	4.22	21	25	8
94	3.7	0.000108	3.97	37	7	5
93	3.54	0.000197	3.71	37	7	10
92	3.51	0.000225	3.65	49	15	11
91	3.43	0.000307	3.51	43	19	12
90	3.48	0.000255	3.59	32	36	19
89	3.4	0.000342	3.47	38	20	19
88	3.46	0.000274	3.56	22	43	23
87	3.88	5.21e-05	4.28	43	27	21
86	3.98	3.4e-05	4.47	11	21	18
85	3.74	9.05e-05	4.04	49	27	21
84	3.26	0.000557	3.25	19	44	21
83	4.17	1.55e-05	4.81	32	12	18
82	3.44	0.000287	3.54	35	14	21
81	3.29	0.000505	3.3	21	51	18
80	3.57	0.000175	3.76	29	19	25
79	3.35	0.000403	3.39	50	31	21
78	3.45	0.000275	3.56	29	32	19
77	3.48	0.000251	3.6	28	9	17
76	3.29	0.000493	3.31	22	15	0
75	3.88	5.29e-05	4.28	36	31	25
74	3.77	8.03e-05	4.1	45	40	16
73	3.52	0.000219	3.66	43	15	4
72	3.18	0.000744	3.13	10	27	16
71	3.72	9.93e-05	4	16	39	7
70	3.54	0.000204	3.69	51	14	11
69	3.25	0.000569	3.25	21	42	9
68	3.28	0.00052	3.28	47	18	13
67	3.43	0.000298	3.53	18	40	5
66	3.33	0.000442	3.35	13	42	12
65	3.56	0.000185	3.73	36	12	9
64	3.28	0.000518	3.29	14	26	7
63	3.12	0.000893	3.05	52	42	7
62	3.31	0.000469	3.33	41	51	21
61	3.1	0.000977	3.01	39	15	9
60	3.51	0.000228	3.64	28	34	21
59	3.16	0.000798	3.1	14	35	6
58	3.97	3.6e-05	4.44	34	50	9
57	3.41	0.000327	3.49	24	40	11
56	3.21	0.00067	3.17	37	26	21
55	3.22	0.000644	3.19	46	38	9
54	3.49	0.000241	3.62	27	45	25
53	3.45	0.000276	3.56	31	14	1
52	3.22	0.000642	3.19	37	19	25
51	3.23	0.000618	3.21	19	28	4
50	3.44	0.000292	3.53	20	18	25
49	3.1	0.000967	3.01	38	14	25
48	3.21	0.000672	3.17	24	34	5
47	3.17	0.000762	3.12	28	14	25
46	3.15	0.000806	3.09	30	22	23
45	3.79	7.55e-05	4.12	15	39	5
44	3.14	0.000832	3.08	30	48	23
43	3.21	0.000656	3.18	42	27	23
42	3.13	0.000863	3.06	22	41	5
41	3.34	0.000419	3.38	25	17	6
