Cluster Index	Z	x	y	z	
161	5.13	-30.9	25.3	1.77
161	5.02	23.2	40.9	-19.4
161	4.97	-23.7	41.5	21.3
161	4.92	9.53	31.4	-17.4
161	4.91	-38	16.4	-13.4
161	4.83	12.7	6.81	-1.91
160	6.38	35.1	-85.5	13.5
160	5.59	38.4	-75.9	-10.9
160	5.46	38.9	-73.3	28.2
160	5.41	35.5	-67.5	21.7
160	5.21	48.8	-59	-8.45
160	5.15	38.6	-57.1	-19.8
159	6.03	-49.4	-66.9	-9.94
159	5.75	-32.7	-78	-14.1
159	5.47	-39.4	-68.8	-21.2
159	5.28	-42.6	-66.2	-4.59
159	4.94	-45.9	-48.2	-18.9
159	4.72	-62.9	-63.2	-10.2
158	5.09	30.2	37.5	3.57
158	4.68	43.6	13.4	24.3
158	4.35	50.5	20.6	28.5
158	4.26	47.2	38.7	14.2
158	3.9	54	30.4	26.7
158	3.9	47.3	14.3	52.3
157	4.88	-35.6	-72	24.5
157	4.71	-42.4	-75.1	25.2
157	4.61	-14.8	-70.8	57.6
157	4.53	-28.5	-60.7	33.6
157	4.45	-31.5	-54	55.1
157	4.45	-41.6	-47.1	54.2
156	5.1	29.2	-57.4	42.7
156	5.09	36	-62.4	54.7
156	4.89	29.1	-66.3	49.9
156	4.46	15.5	-58.7	32
156	3.91	8.63	-65	33.3
156	3.49	22.2	-79.3	52.4
155	4.89	-37.5	-0.535	51.7
155	4.56	-30.7	-3.16	57.6
155	4.21	-34	5.92	50.5
154	4.66	20.5	70.5	-1.91
154	4.54	23.8	63.9	-0.844
154	4.22	34	66.9	-1.65
154	3.78	10.2	61	0.0445
153	4.89	-47.8	3.77	34.3
153	4.25	-61.2	5.84	45.6
152	4.31	-29	-68.2	6.67
152	4.23	-18.9	-80.7	14.2
152	4.09	-22	-61	10.9
151	4.98	-4.06	36.7	-29.2
151	4.49	9.11	10.1	-25
151	4.15	-0.945	16.9	-25.9
151	3.85	-0.768	30	-28.2
150	4.29	32.8	20.8	-38.8
150	4.21	19.5	26.2	-28.1
150	4.17	29.6	25.9	-28.3
150	3.83	43	23.8	-39.6
149	5.27	-55	-31.2	46.2
148	4.14	49.2	-37.7	-0.863
148	3.79	56.2	-24.7	-3.31
148	3.38	42.7	-30.1	3.66
147	4.4	4.98	-65	10.8
146	4.15	-10.3	2.82	56
146	4.05	-6.82	12.5	54.2
145	4.38	-0.121	67.7	-23.4
145	4.32	6.51	57.7	-21.9
145	3.43	10	67.4	-23.7
144	4.03	32	-57.7	-2.55
144	3.72	25.4	-50.1	1.98
144	3.7	18.6	-49.9	2.13
143	4.3	-45	-58.4	67.6
143	3.91	-58.2	-38.4	64.5
142	4.56	37.2	54.5	6.06
141	3.74	9.91	49.5	-9.25
140	4.68	-61.3	-15.4	60.6
139	4.53	-23.2	-81.8	-59
139	4.44	-16.4	-82	-59.1
138	5.16	-46	-83.2	15.4
138	3.6	-42.6	-74.4	8.13
137	4.37	53.3	-31	43.1
137	3.4	53.3	-36.7	49.7
137	3.2	43	-31.6	37.8
136	4.47	7.26	-96.5	-40.3
135	4.49	-51	-14	71.4
135	3.81	-47.7	-20.6	72.4
134	4.2	-55.2	-37	30.3
133	3.65	-8.4	-74.4	35.4
132	4	17.2	69	9.75
131	4.04	-57.8	25.3	19.5
130	4.17	-11.5	-76.6	64.2
130	3.28	-1.12	-66.2	67.7
129	3.81	56.1	-45.1	17.2
129	3.77	46	-41.6	16.9
128	3.83	-34.9	19.5	-36.7
127	3.85	-41.2	-32.3	63
126	3.56	-47.9	-33.7	74.7
126	3.47	-44.6	-40.4	75.8
125	3.74	45.9	-14.7	-27.4
124	4.01	24.1	-83.1	-60.1
123	4.82	60.3	25.1	-6.44
122	4.27	-55.3	-59.8	56.8
121	3.67	-23.2	-98.9	-39
121	3.65	-16.5	-96.7	-45.3
120	3.62	26.5	-16.3	46.9
119	4.21	-48.7	-45.4	20.2
118	3.87	-52.7	-40.7	-37
117	3.51	40.7	24.3	50.8
116	3.54	5.93	-54.9	76.9
115	4.5	-59.2	-31.4	-21.5
114	3.45	-27.5	-24.5	72.5
113	3.72	-34.6	27.7	-26.8
112	3.52	-25.4	-52.8	-1.77
112	3.44	-18.8	-62.8	-0.214
111	4.14	-68.4	-30	52
110	3.73	17.3	58.5	28.5
110	3.3	24.1	55.8	34.5
109	4.05	-10.4	61.5	-22.1
108	4.2	-13.5	69.8	-12.1
107	3.89	-59.3	-44.5	-19.2
106	3.43	-17	17.7	42.3
