Cluster Index	Z	P	-log10(P)	x	y	z	
89	1.81	0.0351	1.45	68	-36	10
89	1.81	0.0353	1.45	74	-20	0
89	1.78	0.0373	1.43	62	-38	4
89	1.77	0.038	1.42	66	-36	6
89	1.73	0.0418	1.38	76	-34	6
89	1.73	0.0418	1.38	68	-26	-2
88	2.36	0.0091	2.04	10	-12	-20
88	1.7	0.0442	1.35	4	-2	-20
88	1.61	0.0532	1.27	-2	-14	-16
87	2.48	0.00649	2.19	-62	-4	50
87	2.09	0.0184	1.74	-60	-2	42
87	1.71	0.044	1.36	-56	-6	60
86	2.08	0.0187	1.73	-50	-82	32
86	1.98	0.024	1.62	-40	-92	24
86	1.93	0.0269	1.57	-48	-84	26
86	1.55	0.0603	1.22	-42	-88	28
85	1.89	0.0293	1.53	-10	-10	-18
85	1.71	0.0438	1.36	-10	-10	-26
85	1.68	0.0466	1.33	-4	-6	-30
84	1.81	0.0351	1.45	-58	26	26
84	1.76	0.0389	1.41	-60	30	28
83	2.09	0.0182	1.74	14	-94	38
83	2.05	0.0202	1.69	14	-94	34
83	1.32	0.0933	1.03	26	-94	34
82	1.9	0.029	1.54	-2	-92	38
81	1.85	0.0319	1.5	12	10	-22
80	1.66	0.0488	1.31	-48	-4	-2
80	1.65	0.05	1.3	-48	-6	2
79	2.07	0.0193	1.71	-4	-100	24
79	1.7	0.0443	1.35	-10	-100	24
79	1.53	0.0626	1.2	-12	-98	34
78	1.55	0.0607	1.22	10	-54	62
78	1.52	0.0647	1.19	6	-54	64
78	1.44	0.0744	1.13	10	-48	58
77	1.61	0.0536	1.27	26	-6	-16
77	1.58	0.0575	1.24	28	-2	-18
76	1.46	0.0721	1.14	-56	44	6
76	1.43	0.0757	1.12	-58	44	10
76	1.43	0.077	1.11	-50	40	4
75	1.67	0.0479	1.32	22	-4	34
74	1.73	0.0419	1.38	-34	-34	2
73	1.61	0.0538	1.27	-68	12	18
73	1.35	0.0884	1.05	-70	4	18
72	1.82	0.0341	1.47	-32	-86	44
71	1.87	0.031	1.51	-42	-44	-30
70	1.83	0.0336	1.47	-70	-16	46
69	1.55	0.0601	1.22	28	20	-30
68	1.76	0.039	1.41	72	-4	14
68	1.69	0.0452	1.34	74	-8	10
67	1.7	0.0446	1.35	-10	66	34
66	1.55	0.0608	1.22	-18	12	52
65	2.02	0.0217	1.66	-20	-80	56
64	1.58	0.0576	1.24	-32	-4	36
63	1.92	0.0273	1.56	-72	-10	10
62	1.87	0.031	1.51	-30	44	-22
61	1.67	0.0475	1.32	-68	-2	12
60	1.57	0.0586	1.23	28	-42	24
59	1.61	0.0539	1.27	52	22	-36
59	1.52	0.0641	1.19	54	26	-34
59	1.38	0.0835	1.08	52	20	-40
58	1.77	0.038	1.42	-6	28	-28
57	1.47	0.0712	1.15	34	-4	24
56	1.73	0.0419	1.38	-12	-90	-46
55	1.68	0.0467	1.33	-12	-34	-56
54	1.57	0.0582	1.24	46	12	-14
53	1.92	0.0274	1.56	16	-2	-38
52	1.76	0.039	1.41	16	-86	50
51	1.49	0.0682	1.17	22	64	36
50	1.73	0.0417	1.38	-54	22	-38
49	1.39	0.0826	1.08	6	-70	38
48	1.5	0.0663	1.18	28	-6	-8
47	1.42	0.0773	1.11	-16	-28	-44
46	1.44	0.0751	1.12	-58	-58	52
45	1.36	0.0874	1.06	10	-98	26
44	1.37	0.0846	1.07	-30	-32	26
43	1.62	0.0524	1.28	28	4	74
42	1.46	0.0715	1.15	-32	-50	-4
41	1.37	0.0851	1.07	24	10	-32
40	1.46	0.0727	1.14	0	-24	-60
39	1.52	0.064	1.19	-62	32	12
38	1.59	0.0557	1.25	-70	-52	8
37	1.31	0.0952	1.02	-62	18	34
36	1.45	0.0742	1.13	40	-36	28
35	1.55	0.0605	1.22	70	6	-8
34	1.34	0.0899	1.05	42	-10	-30
33	1.35	0.0886	1.05	68	-4	-26
32	1.38	0.0834	1.08	-10	40	-20
31	1.42	0.0771	1.11	56	26	-24
30	1.36	0.0863	1.06	42	-10	-40
29	1.51	0.0653	1.19	52	30	-26
28	1.34	0.0909	1.04	2	-88	-42
27	1.39	0.0816	1.09	60	14	-40
26	1.32	0.0931	1.03	10	-62	68
25	1.5	0.0673	1.17	-20	-88	48
24	1.38	0.0838	1.08	-42	-86	38
23	1.35	0.0879	1.06	68	14	32
22	1.4	0.0802	1.1	68	8	10
21	1.31	0.0953	1.02	-56	-26	26
20	1.49	0.0684	1.17	-62	-64	14
19	1.37	0.0857	1.07	52	-4	-14
18	1.39	0.0818	1.09	-48	-8	12
17	1.38	0.0844	1.07	-18	-6	0
16	1.3	0.0964	1.02	66	-16	-4
15	1.41	0.0787	1.1	-70	-6	28
14	1.36	0.0864	1.06	20	2	78
13	1.36	0.0866	1.06	-40	-64	64
12	1.65	0.0491	1.31	60	-6	58
11	1.4	0.0806	1.09	56	18	52
10	1.39	0.082	1.09	48	42	40
9	1.37	0.0849	1.07	72	-2	-2
8	1.38	0.0839	1.08	-22	-96	34
7	1.32	0.0942	1.03	62	-16	-34
6	1.35	0.0881	1.05	-14	38	-28
5	1.31	0.0955	1.02	-46	-88	22
4	1.3	0.097	1.01	-24	-12	-30
3	1.29	0.0993	1	-48	-12	18
2	1.29	0.0988	1.01	36	36	14
1	1.29	0.0977	1.01	48	-10	-38
