Cluster Index	Z	x	y	z	
7	5.24	-8	0	64
7	5.24	-6	2	60
7	4.76	2	4	64
7	4.61	12	18	38
7	4.2	-8	14	44
7	4.19	-8	16	40
6	4.92	-54	-4	46
6	4.75	-52	-2	52
6	4.19	-44	-4	50
6	3.94	-58	4	20
6	3.86	-46	2	26
6	3.79	-48	0	38
5	4.48	62	-34	12
5	4.4	70	-28	2
5	4.16	54	-38	8
5	4.03	68	-38	14
5	3.99	64	-28	6
5	3.94	64	-32	4
4	4.05	32	20	8
4	4.02	58	14	16
4	3.94	46	14	2
4	3.52	38	10	2
4	3.4	56	6	22
3	4.97	58	-2	48
3	4.49	52	2	54
3	3.78	44	-2	42
3	3.72	42	2	64
3	3.63	46	0	46
2	4.19	-52	-42	12
2	4.02	-46	-42	16
2	3.84	-62	-32	8
2	3.81	-58	-34	8
2	3.76	-50	-38	28
2	3.54	-54	-38	28
1	4.3	-42	16	12
1	4.11	-36	12	12
1	4.01	-40	10	2
1	3.52	-52	14	6
