Cluster Index	Z	x	y	z	
7	5.32	-52	-2	54
7	4.95	-54	-6	46
7	4.82	-54	14	8
7	4.57	-42	16	8
7	4.36	-32	22	4
7	4.33	-44	-4	50
6	5.36	-6	4	60
6	4.52	8	2	60
6	4.37	12	18	40
6	4.33	-6	14	44
6	4.25	-8	8	46
6	4.02	10	12	48
5	4.89	66	-32	12
5	4.43	68	-38	12
5	4.17	54	-36	6
5	4.1	68	-32	4
5	3.96	70	-28	4
5	3.9	68	-38	24
4	4.41	-68	-24	10
4	4.41	-52	-42	12
4	4.17	-58	-40	18
4	3.97	-50	-40	18
4	3.59	-62	-32	8
4	3.56	-66	-44	12
3	4.68	58	2	50
3	3.68	42	-4	40
3	3.53	42	-2	64
2	4.47	28	24	8
2	4.19	44	14	0
2	3.54	38	10	4
1	5.32	-36	-82	-4
1	3.76	-40	-94	-2
