Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
11	5	2.96e-05	4.53	4.02	41	10	12	42	10	12	1.9	43	10	12	1.56
10	5	0.000183	3.74	3.56	25	8	12	24.8	8.41	12	1.81	24	8	12	1.51
9	3	0.000278	3.56	3.45	45	15	10	45.3	15.3	10	1.54	46	15	10	1.29
8	2	4.35e-05	4.36	3.92	46	24	26	46	24.4	26	1.3	46	24	26	1.29
7	2	0.000382	3.42	3.37	18	14	10	18	14.5	10	1.48	18	14	10	1.41
6	2	3.63e-05	4.44	3.97	24	10	10	23.6	10	10	1.74	23	10	10	1.61
5	1	0.000794	3.1	3.16	42	34	26	42	34	26	1.89	42	34	26	1.89
4	1	0.000888	3.05	3.13	39	33	21	39	33	21	0.752	39	33	21	0.752
3	1	0.000877	3.06	3.13	22	10	14	22	10	14	1.13	22	10	14	1.13
2	1	5.42e-05	4.27	3.87	43	10	10	43	10	10	1.64	43	10	10	1.64
1	1	0.000178	3.75	3.57	24	11	1	24	11	1	0.801	24	11	1	0.801
