Cluster Index	Voxels	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
162	177	4.85	28	11	7	27.1	17.4	8.1	6.56	28	9	8	2.05
161	49	4.81	34	39	25	34.7	36.9	25.6	6.07	33	36	26	3.39
160	38	4.11	35	12	21	34	11.9	21.7	3.78	32	12	23	2.3
159	31	4.51	38	16	11	39	15.6	11.1	2.15	38	16	11	1.52
158	29	4.26	47	20	8	45.8	19.1	7.29	4.22	46	18	7	2.02
157	27	4.21	21	22	3	20	23.1	3.19	2.08	23	26	3	1.28
156	21	5.04	49	15	19	46.3	14.8	20.7	4.93	45	14	21	3.44
155	19	4.62	16	18	19	16	17.2	19.3	2.99	15	18	19	1.91
154	16	3.87	33	31	7	32.8	30.5	6.87	1.26	32	31	7	1.07
153	16	4.01	41	25	7	39.8	25.3	7.94	2.79	39	24	9	1.57
152	16	4.05	22	12	19	23.1	12.1	19.9	3.1	23	12	20	1.93
151	14	4.52	30	43	25	30.7	43.2	24.8	6.88	30	43	25	4.42
150	14	4.36	13	30	8	15.1	30.1	8	1.93	13	30	8	1.42
149	13	5.57	23	47	13	23.5	47.4	13.1	2.34	24	47	13	1.5
148	12	4.41	21	14	7	20.6	14.5	6.23	3.09	21	14	7	1.94
147	10	4.34	36	30	9	36.1	31	9.29	2.06	36	33	9	1.25
146	9	3.49	28	15	8	27.5	14.7	8.12	3.4	29	14	8	1.92
145	8	4.05	44	49	11	44.2	49	11	2.56	44	49	11	2.03
144	8	3.65	13	30	12	12.8	29.8	11.3	1.38	14	30	12	1.13
143	8	4.28	17	36	7	17.6	35.2	7.38	1.46	17	36	7	1.2
142	7	3.59	32	53	17	32.7	53.6	16.9	2.67	33	53	17	2.16
141	7	3.78	42	15	19	42.1	14.8	19	1.83	43	15	19	1.37
140	7	3.63	35	49	13	35.6	49	13	2.02	35	49	13	1.81
139	7	4.3	19	25	11	19.8	26	11.1	1.05	19	25	11	0.961
138	6	3.79	32	8	17	32.8	7.66	17.2	3.05	33	8	17	2.52
137	6	4.44	33	18	11	32.5	18	11	2.13	33	18	11	1.68
136	6	4	20	41	13	19.4	40.8	13	2.2	19	41	13	1.93
135	6	3.62	51	30	17	52	30.5	17	1.41	52	30	17	1.18
134	5	4.02	51	19	19	50.8	19.2	19.6	1.9	51	19	20	1.55
133	5	3.76	34	47	18	33.2	47.4	18	2.38	34	48	18	2.01
132	5	3.68	52	29	10	51.2	28.8	9.41	1.49	52	29	10	1.26
131	5	3.84	50	21	17	50.6	21.2	17	1.42	51	22	17	1.18
130	5	3.46	26	36	7	25.4	35.8	7.4	1.46	25	36	7	1.27
129	5	3.79	24	39	11	23.6	39.4	10.6	2.53	24	39	10	1.54
128	5	4.21	32	19	7	31.4	19.2	7	1.5	32	19	7	1.27
127	5	3.53	35	40	20	34.2	40	20.6	1.93	34	40	20	1.74
126	5	4.15	28	7	17	27.8	7.37	17	2.41	28	7	17	1.95
125	5	4.07	22	45	23	22.2	45.6	23.2	3.89	23	46	23	2.41
124	5	3.73	23	42	24	23.2	41.4	24	4.34	23	42	24	3.16
123	4	3.91	34	50	11	33.8	50.2	11	1.86	33	50	11	1.67
122	4	3.97	32	6	13	31.8	5.77	12.8	3.63	32	6	13	2.54
121	4	3.81	28	9	3	29	9	3.49	1.31	29	9	4	1.1
120	4	3.66	46	14	11	45.8	13.8	11	1.31	46	14	11	1.14
119	4	3.53	28	48	15	28.5	47.5	15	1.23	29	48	15	1.08
118	4	3.75	47	16	4	46.5	16.5	4	2.01	46	16	4	1.73
117	4	3.78	33	11	11	33	10.8	11	2.49	33	11	11	2.03
116	3	3.41	28	25	13	27.7	25.3	13	1.44	28	26	13	1.27
115	3	3.71	21	15	15	20.4	16	15	1.02	21	15	15	0.855
114	3	3.23	38	43	15	37.7	43.3	15	1.57	38	43	15	1.34
113	3	3.29	23	15	12	23.7	15	12.3	0.884	23	15	12	0.846
112	3	3.49	23	15	17	22.7	15.7	17	1.02	23	15	17	0.963
111	3	4.09	44	24	11	43.7	23.7	11	1.86	43	24	11	1.7
110	3	3.54	30	45	13	30.3	44.4	13	1.22	30	45	13	1.01
109	3	4.37	33	21	27	33.6	20.7	27	2.58	34	21	27	2.26
108	3	3.55	43	20	1	42.7	20.3	1	1.49	43	21	1	1.31
107	3	3.81	20	18	3	20.6	18.3	3	1.3	20	18	3	1.24
106	3	3.48	18	41	23	18.3	40.3	23	2.6	19	40	23	2.26
105	3	3.44	49	30	23	48.7	30.7	23	2.78	49	31	23	2.68
104	3	4.42	36	13	23	35.7	12.7	23	3.46	36	13	23	3.13
103	3	3.4	36	14	5	36.3	13	5	1.48	37	12	5	1.34
102	3	3.27	25	13	5	26	13	5	1.37	26	13	5	1.32
