Cluster Index	Z	P	-log10(P)	x	y	z	
85	7.43	5.45e-14	13.3	16	21	23
85	7.27	1.78e-13	12.7	34	37	23
85	6.89	2.7e-12	11.6	18	14	20
85	6.85	3.58e-12	11.4	17	16	20
85	6.83	4.16e-12	11.4	19	40	18
85	6.79	5.57e-12	11.3	29	29	6
84	4.59	2.18e-06	5.66	40	14	0
84	4.47	3.85e-06	5.41	42	11	2
84	4.06	2.48e-05	4.61	37	14	0
83	5.44	2.73e-08	7.56	42	44	4
82	4.4	5.44e-06	5.26	41	39	5
81	4.78	8.96e-07	6.05	35	37	6
80	4	3.23e-05	4.49	44	33	8
80	3.87	5.34e-05	4.27	40	34	6
80	3.58	0.000171	3.77	42	33	7
80	3.3	0.000476	3.32	42	35	7
79	3.76	8.38e-05	4.08	25	42	6
78	4.48	3.76e-06	5.42	26	30	3
77	4.99	2.97e-07	6.53	34	50	11
76	4.32	7.77e-06	5.11	24	47	7
75	4.11	1.96e-05	4.71	41	36	18
74	3.68	0.000115	3.94	14	38	10
73	3.67	0.000121	3.92	29	57	13
72	3.64	0.000136	3.87	42	18	15
71	3.43	0.0003	3.52	48	14	11
70	3.43	0.000303	3.52	18	32	11
69	3.67	0.000122	3.91	33	26	17
68	4.15	1.67e-05	4.78	26	36	7
67	3.22	0.000635	3.2	21	51	11
66	3.28	0.000521	3.28	49	33	17
65	3.74	9.37e-05	4.03	20	46	7
64	3.74	9.14e-05	4.04	29	4	14
63	3.26	0.000558	3.25	46	28	9
62	3.58	0.000173	3.76	43	10	10
61	3.53	0.00021	3.68	52	31	14
60	3.26	0.000566	3.25	31	35	10
59	3.34	0.000413	3.38	35	37	8
58	3.27	0.000547	3.26	20	29	7
57	3.22	0.00063	3.2	20	11	7
56	3.54	0.000201	3.7	29	39	6
55	3.44	0.000289	3.54	24	36	6
54	3.68	0.000118	3.93	15	16	12
53	3.12	0.000893	3.05	42	38	3
52	3.14	0.000841	3.08	22	33	6
51	3.54	0.000198	3.7	41	8	6
50	3.62	0.00015	3.83	10	35	12
49	3.15	0.000804	3.09	24	23	23
48	3.49	0.00024	3.62	42	55	19
47	4	3.12e-05	4.51	53	31	5
46	3.39	0.000345	3.46	39	51	13
45	4.2	1.33e-05	4.87	10	23	13
44	3.64	0.000135	3.87	42	51	13
43	3.45	0.000282	3.55	41	17	26
42	3.13	0.000868	3.06	51	45	14
41	3.09	0.000992	3	18	12	15
40	3.47	0.000262	3.58	26	21	15
39	3.09	0.000996	3	33	39	15
38	3.11	0.000949	3.02	38	51	15
37	3.16	0.000794	3.1	51	44	16
36	3.58	0.000174	3.76	13	32	17
35	3.18	0.000725	3.14	34	42	13
34	3.29	0.000508	3.29	51	41	17
33	3.17	0.000767	3.12	36	27	23
32	3.54	0.000203	3.69	54	21	19
31	3.4	0.000342	3.47	18	50	20
30	3.28	0.000519	3.28	27	57	20
29	3.11	0.000946	3.02	52	22	22
28	3.23	0.000612	3.21	39	48	13
27	3.34	0.000425	3.37	33	24	0
26	3.2	0.000699	3.16	47	16	1
25	3.19	0.000722	3.14	41	8	4
24	3.12	0.00089	3.05	22	16	4
23	3.18	0.000747	3.13	44	10	5
22	3.36	0.000396	3.4	27	17	5
21	3.11	0.000935	3.03	48	33	5
20	3.11	0.000937	3.03	23	44	5
19	3.53	0.000206	3.69	20	33	7
18	3.54	0.000204	3.69	16	40	7
17	3.18	0.000738	3.13	34	40	7
16	3.53	0.000206	3.69	47	45	7
15	3.23	0.000623	3.21	18	33	25
14	3.24	0.000597	3.22	32	37	8
13	3.13	0.000882	3.05	22	41	8
12	3.55	0.00019	3.72	38	5	9
11	3.51	0.000227	3.64	42	7	9
10	3.36	0.000389	3.41	17	46	9
9	3.18	0.000729	3.14	21	34	10
8	3.16	0.000795	3.1	36	37	10
7	3.51	0.000225	3.65	31	49	10
6	3.17	0.000751	3.12	20	37	11
5	3.8	7.21e-05	4.14	39	50	11
4	3.12	0.000917	3.04	30	54	11
3	3.12	0.00091	3.04	36	57	12
2	3.18	0.000729	3.14	46	31	13
1	3.59	0.000166	3.78	43	11	8
