Cluster Index	Z	P	-log10(P)	x	y	z	
83	7.43	5.44e-14	13.3	56.7	-41.7	61.8
83	7.27	1.78e-13	12.7	-3.44	12.4	54.1
83	6.89	2.74e-12	11.6	49.4	-66.9	49.5
83	6.86	3.5e-12	11.5	52.9	-60.5	48.2
83	6.83	4.12e-12	11.4	47	16.6	23.7
83	6.79	5.57e-12	11.3	11.8	-28.6	-35.3
82	4.6	2.16e-06	5.67	-26.6	-81.7	-58.9
82	4.47	3.92e-06	5.41	-33.3	-89.6	-46
82	4.09	2.2e-05	4.66	-16.4	-82	-59.1
81	4.4	5.52e-06	5.26	-28.4	4.49	-45.6
80	4.77	9.39e-07	6.03	-8.17	-1.79	-39.4
79	3.74	9.1e-05	4.04	25.9	13.6	-43
78	3.99	3.24e-05	4.49	-38.6	-12.3	-25.4
78	3.88	5.24e-05	4.28	-25.2	-11.1	-37.3
78	3.58	0.000171	3.77	-31.9	-13.4	-31
78	3.3	0.000477	3.32	-31.8	-6.83	-32.2
77	4.47	3.89e-06	5.41	21.7	-28.1	-52.6
76	4.99	3.01e-07	6.52	-3.81	44.9	-19.4
75	3.84	6.18e-05	4.21	26.1	27.6	-39.8
74	4.11	1.96e-05	4.71	-27.5	5.63	27.7
73	4.15	1.66e-05	4.78	22.3	-5.08	-34
72	3.66	0.000127	3.9	13.6	69	-12.8
71	3.21	0.000661	3.18	40.2	46.9	-21
70	3.64	0.000137	3.86	-32	-55.7	21.5
69	3.43	0.000298	3.53	49.5	-15.6	-10.4
68	3.67	0.000122	3.91	-1.02	-28.7	27.3
67	3.68	0.000115	3.94	63.2	2.84	-19.6
66	3.43	0.000302	3.52	-52.7	-71.6	2.29
65	4.2	1.33e-05	4.88	76.3	-44.1	5.15
64	3.51	0.000223	3.65	12.2	4.18	-41
63	3.24	0.000593	3.23	41.5	-87.5	-20.2
62	3.25	0.000573	3.24	5.58	-5.35	-16.6
61	3.44	0.000294	3.53	29	-6.12	-39.7
60	3.26	0.000557	3.25	42.3	-28.6	-30.5
59	3.58	0.000173	3.76	-36.1	-86.1	-1.33
58	3.68	0.000115	3.94	59	-67.4	4.04
57	3.45	0.000279	3.55	76.7	-5.67	-7.21
56	3.25	0.00057	3.24	-45.5	-27.7	-16.9
55	3.36	0.000395	3.4	-8.01	-0.105	-28.4
54	3.16	0.000801	3.1	29.7	-34.3	61.3
53	3.12	0.000892	3.05	-32	-0.376	-55.9
52	3.49	0.000242	3.62	-30	68.8	22.4
51	3.66	0.000128	3.89	43	27.1	-40.2
50	4	3.17e-05	4.5	-69.4	-20.6	-40
49	3.53	0.000211	3.68	-65.3	-13.1	9.42
48	3.13	0.000888	3.05	35.6	-16.1	-38.1
47	3.54	0.000198	3.7	-29.7	-96.2	-22.4
46	3.28	0.000524	3.28	-54.8	-4.27	24.5
45	3.64	0.000136	3.87	-30.7	50.6	-8.3
44	3.74	9.2e-05	4.04	11.3	-104	23
43	3.39	0.000345	3.46	-20.5	50.3	-8.54
42	3.18	0.000748	3.13	-39.9	-90.2	-28.8
41	3.35	0.000398	3.4	17.9	-68.9	-34.1
40	3.12	0.00089	3.05	34.7	-73.5	-39.4
39	3.18	0.000725	3.14	-29.9	-97.9	-33.4
38	3.11	0.00093	3.03	-52.4	-14.5	-41.6
37	3.53	0.000207	3.68	42.4	-15.5	-32.8
36	3.13	0.000882	3.05	32.6	19.1	-49.8
35	3.54	0.000203	3.69	56.3	7.06	-37.1
34	3.2	0.000691	3.16	-4.57	8.78	-35.7
33	3.19	0.0007	3.15	-50.1	-73.6	-54
32	3.34	0.000425	3.37	-2.46	-49.6	-65.2
31	3.53	0.000206	3.69	-48.3	26.4	-37.5
30	3.45	0.000283	3.55	-27.8	-49.8	82.6
29	3.23	0.000628	3.2	50.6	-0.495	66.1
28	3.17	0.00077	3.11	-10.6	-20.1	60
27	3.11	0.00093	3.03	-65	-35.8	58.6
26	3.28	0.000521	3.28	20.9	74.7	25.6
25	3.39	0.000346	3.46	51	51	28.9
24	3.54	0.000201	3.7	-72.1	-41.4	42.8
23	3.29	0.000505	3.3	-61.2	22.1	20.1
22	3.58	0.000172	3.76	66.9	-11	22.3
21	3.15	0.000811	3.09	-61.2	31.1	12.9
20	3.11	0.000947	3.02	-17	51.9	2.39
19	3.09	0.000997	3	-0.602	12.2	8.85
18	3.47	0.000262	3.58	22.3	-47.5	18.6
17	3.09	0.000998	3	48.9	-77.7	23.1
16	3.16	0.000792	3.1	-11.2	1.68	-17.3
15	3.19	0.000722	3.14	-4.01	20.4	-3.8
14	3.18	0.000729	3.14	-45.1	-14.5	3.44
13	3.12	0.000916	3.04	-10.2	68.8	-17.7
12	3.11	0.00093	3.03	9.89	57.6	-22
11	3.82	6.67e-05	4.18	-20.7	45.4	-19
10	3.17	0.00075	3.12	42.9	0.988	-13.1
9	3.51	0.000226	3.65	6.21	40.5	-24.5
8	3.18	0.000732	3.14	39.3	-9.58	-16.8
7	3.4	0.000336	3.47	53.3	28.5	-29.4
6	3.51	0.000228	3.64	-32.9	-96.8	-5.2
5	3.55	0.00019	3.72	-19.5	-104	-4.37
4	3.13	0.000883	3.05	36.1	11.7	-31.7
3	3.24	0.000599	3.22	2.13	-0.392	-28.6
2	3.59	0.000165	3.78	-36.2	-84.5	-12.9
1	3.23	0.000611	3.21	-20.6	40.5	-6.83
