Cluster Index	Z	P	-log10(P)	x	y	z	
106	4.66	1.57e-06	5.8	0.14	36.9	38.4
106	4.62	1.93e-06	5.72	-9.75	45.4	48.6
106	4.49	3.5e-06	5.46	10.6	48.1	47.5
106	4.46	4.18e-06	5.38	-23.6	40	32.9
106	4.43	4.78e-06	5.32	37.3	21.1	51.4
106	4.39	5.71e-06	5.24	-50.8	41.5	16.5
105	4.71	1.27e-06	5.9	43.7	20	23.2
105	4.38	5.9e-06	5.23	53.9	20.5	28.5
105	4.08	2.26e-05	4.65	37.2	54.5	6.06
105	4.04	2.65e-05	4.58	30.3	35.9	15.1
105	4.04	2.67e-05	4.57	50.6	32.9	20.7
105	3.91	4.59e-05	4.34	40.6	45.4	13.2
104	4.71	1.22e-06	5.91	23.1	14.8	7.72
104	4.21	1.26e-05	4.9	22.9	13.1	-3.29
104	4.15	1.63e-05	4.79	12.8	4.38	4.17
104	3.93	4.32e-05	4.36	29.8	22.7	-5.16
104	3.92	4.46e-05	4.35	13	18.3	7.39
104	3.76	8.56e-05	4.07	29.7	21	-16.2
103	5.01	2.79e-07	6.55	30.3	2.51	60.5
103	4.35	6.69e-06	5.17	-13.5	16.9	59.3
103	3.93	4.26e-05	4.37	13.4	8.69	54.3
103	3.85	5.97e-05	4.22	-0.012	15.6	53.5
103	3.59	0.000165	3.78	23.8	16.6	63.9
103	3.57	0.000179	3.75	20.2	11.8	53.5
102	4.17	1.52e-05	4.82	-24.5	7.02	-6.54
102	3.99	3.35e-05	4.47	-7.57	7.39	-1.43
102	3.9	4.82e-05	4.32	-30.9	25.3	1.77
102	3.82	6.55e-05	4.18	-20.9	15.2	3.25
102	3.54	0.000197	3.71	-14	19.1	8.02
102	3.38	0.000368	3.43	-31.2	17	-8.1
101	4.88	5.25e-07	6.28	63.5	-36.2	55
101	4.23	1.19e-05	4.92	53.3	-33.4	49.2
101	3.95	3.93e-05	4.41	60.1	-30.3	48.4
101	3.46	0.00027	3.57	56.7	-44.9	62.4
101	3.45	0.000285	3.55	46.4	-51.2	63.8
100	3.98	3.5e-05	4.46	22.9	26.1	-28.2
100	3.47	0.000263	3.58	26.4	36.6	-24.4
99	3.41	0.000326	3.49	17	4.58	71.9
98	4.51	3.29e-06	5.48	33.4	38.1	-13.6
97	4.44	4.49e-06	5.35	39.4	-62.5	54.6
97	3.36	0.000385	3.41	35.9	-71.4	61.9
96	4.41	5.17e-06	5.29	-47.3	39.8	28
95	3.43	0.000298	3.53	63	3.59	-36.7
94	3.64	0.000135	3.87	50.7	10.9	52.8
94	3.41	0.000325	3.49	40.5	7.93	53.6
93	3.94	4.05e-05	4.39	10.2	61	0.0445
92	3.95	3.9e-05	4.41	47.5	35.5	37.3
91	3.5	0.000231	3.64	40.2	-23.1	70.4
90	3.81	6.85e-05	4.16	-55.3	-59.8	56.8
90	3.25	0.000581	3.24	-55.2	-53.3	55.7
89	3.89	4.92e-05	4.31	46.8	19.8	0.519
88	3.79	7.63e-05	4.12	6.49	21	24.1
87	3.27	0.000541	3.27	-51.2	3.87	34.3
87	3.2	0.00069	3.16	-61.4	0.88	35.1
86	3.45	0.000284	3.55	-39.4	-68.8	-21.2
85	3.61	0.000154	3.81	-10.8	6.74	15.7
84	4.03	2.76e-05	4.56	53.9	48.2	-10.3
84	3.8	7.36e-05	4.13	47.1	48.4	-10.1
83	4.51	3.19e-06	5.5	60.4	20.3	5.71
82	4.01	3.07e-05	4.51	50.1	24.6	-11.7
81	3.35	0.000398	3.4	17.2	69	9.75
81	3.2	0.000699	3.16	20.7	75.5	8.53
80	3.82	6.68e-05	4.17	-37.8	36	-16.9
79	3.39	0.000349	3.46	62.8	-40.5	4.9
78	3.55	0.000193	3.71	-10.6	30.4	-5.35
77	3.31	0.000463	3.33	9.96	52.7	-9.82
76	3.65	0.000133	3.88	35	-87.2	2.51
75	3.54	0.000202	3.69	20.8	-79.7	-60.6
74	3.21	0.000672	3.17	-17	15.3	48.3
73	3.8	7.14e-05	4.15	-48	15.9	3.88
72	3.26	0.000556	3.26	6.68	-4.96	73.8
71	3.55	0.000195	3.71	-26.6	-81.7	-58.9
70	3.37	0.00037	3.43	66.4	-35.6	15.3
69	3.8	7.31e-05	4.14	-19.8	-98.1	-33.6
68	4.11	1.98e-05	4.7	-37.2	14.2	60.4
67	3.28	0.000515	3.29	-0.288	-9.72	63.5
66	3.9	4.87e-05	4.31	-61.2	22.1	20.1
65	3.33	0.000435	3.36	34.3	-80.1	-60.9
64	3.22	0.000638	3.19	-30.7	0.117	57
63	3.18	0.00073	3.14	-47.8	9.48	27.6
62	3.29	0.000501	3.3	-59.1	-28.1	-22.1
61	3.34	0.000418	3.38	-31.7	-69.5	63.5
60	3.37	0.000382	3.42	-31.5	-54	55.1
59	3.36	0.000388	3.41	47	2.78	43
