Cluster Index	Z	P	-log10(P)	x	y	z	
162	4.85	6.04e-07	6.22	28	11	7
162	4.71	1.21e-06	5.92	38	12	7
162	4.67	1.49e-06	5.83	23	26	7
162	4.44	4.57e-06	5.34	26	22	9
162	4.38	6.04e-06	5.22	25	23	12
162	4.22	1.24e-05	4.91	14	23	8
161	4.81	7.73e-07	6.11	34	39	25
161	4.61	2e-06	5.7	33	36	26
161	4.12	1.91e-05	4.72	37	38	26
161	3.43	0.000299	3.52	34	37	23
160	4.11	1.99e-05	4.7	35	12	21
160	4.08	2.21e-05	4.66	32	11	23
160	3.85	5.98e-05	4.22	32	11	21
160	3.59	0.000163	3.79	41	11	21
160	3.48	0.000255	3.59	32	14	23
160	3.37	0.000373	3.43	33	12	19
159	4.51	3.17e-06	5.5	38	16	11
159	3.98	3.42e-05	4.47	40	16	11
159	3.75	8.8e-05	4.06	39	19	11
159	3.42	0.000314	3.5	39	12	11
158	4.26	1.04e-05	4.98	47	20	8
158	3.69	0.000113	3.95	43	18	6
158	3.4	0.000337	3.47	47	17	7
157	4.21	1.28e-05	4.89	21	22	3
157	4.09	2.17e-05	4.66	19	23	3
157	3.84	6.22e-05	4.21	22	25	3
156	5.04	2.28e-07	6.64	49	15	19
156	4.69	1.39e-06	5.86	44	14	21
156	4.14	1.77e-05	4.75	48	16	21
155	4.62	1.9e-06	5.72	16	18	19
155	4.02	2.91e-05	4.54	17	16	20
154	3.87	5.36e-05	4.27	33	31	7
153	4.01	3.05e-05	4.52	41	25	7
153	3.57	0.000178	3.75	40	24	9
153	3.37	0.000377	3.42	39	28	7
152	4.05	2.58e-05	4.59	22	12	19
152	3.87	5.41e-05	4.27	24	13	21
151	4.52	3.13e-06	5.5	30	43	25
150	4.36	6.37e-06	5.2	13	30	8
150	3.78	7.89e-05	4.1	18	30	8
149	5.57	1.25e-08	7.9	23	47	13
148	4.41	5.25e-06	5.28	21	14	7
148	3.33	0.000436	3.36	19	16	4
148	3.18	0.000733	3.13	20	14	4
147	4.34	7.23e-06	5.14	36	30	9
147	3.67	0.000123	3.91	36	32	9
146	3.49	0.000239	3.62	28	15	8
146	3.19	0.000714	3.15	25	15	7
145	4.05	2.52e-05	4.6	44	49	11
144	3.65	0.000132	3.88	13	30	12
143	4.28	9.46e-06	5.02	17	36	7
142	3.59	0.000168	3.78	32	53	17
142	3.39	0.000355	3.45	34	54	17
141	3.78	7.75e-05	4.11	42	15	19
141	3.44	0.00029	3.54	42	13	19
140	3.63	0.000141	3.85	35	49	13
139	4.3	8.66e-06	5.06	19	25	11
139	3.47	0.000258	3.59	21	27	11
138	3.79	7.51e-05	4.12	32	8	17
137	4.44	4.48e-06	5.35	33	18	11
136	4	3.22e-05	4.49	20	41	13
135	3.62	0.000146	3.84	51	30	17
134	4.02	2.93e-05	4.53	51	19	19
133	3.76	8.4e-05	4.08	34	47	18
132	3.68	0.000117	3.93	52	29	10
131	3.84	6.07e-05	4.22	50	21	17
130	3.46	0.000265	3.58	26	36	7
129	3.79	7.54e-05	4.12	24	39	11
128	4.21	1.29e-05	4.89	32	19	7
127	3.53	0.000209	3.68	35	40	20
126	4.15	1.65e-05	4.78	28	7	17
125	4.07	2.35e-05	4.63	22	45	23
124	3.73	9.59e-05	4.02	23	42	24
123	3.91	4.61e-05	4.34	34	50	11
122	3.97	3.65e-05	4.44	32	6	13
121	3.81	7.05e-05	4.15	28	9	3
120	3.66	0.000125	3.9	46	14	11
119	3.53	0.00021	3.68	28	48	15
118	3.75	8.73e-05	4.06	47	16	4
117	3.78	7.81e-05	4.11	33	11	11
116	3.41	0.000323	3.49	28	25	13
115	3.71	0.000105	3.98	21	15	15
115	3.36	0.000389	3.41	20	17	15
114	3.23	0.000627	3.2	38	43	15
113	3.29	0.000499	3.3	23	15	12
112	3.49	0.000242	3.62	23	15	17
111	4.09	2.15e-05	4.67	44	24	11
110	3.54	0.0002	3.7	30	45	13
109	4.37	6.13e-06	5.21	33	21	27
108	3.55	0.000189	3.72	43	20	1
107	3.81	7.02e-05	4.15	20	18	3
106	3.48	0.000248	3.61	18	41	23
105	3.44	0.000291	3.54	49	30	23
104	4.42	4.85e-06	5.31	36	13	23
103	3.4	0.000337	3.47	36	14	5
103	3.12	0.000915	3.04	37	12	5
102	3.27	0.000537	3.27	25	13	5
101	3.3	0.000484	3.32	33	24	21
100	3.37	0.000382	3.42	53	24	9
99	3.24	0.00059	3.23	29	29	6
99	3.2	0.000693	3.16	29	31	6
98	3.66	0.000127	3.9	51	37	9
97	3.44	0.000293	3.53	36	20	9
96	3.26	0.000556	3.25	48	35	8
95	3.58	0.000173	3.76	12	26	19
94	3.54	0.000199	3.7	17	15	8
93	3.46	0.000275	3.56	31	44	20
92	3.64	0.000138	3.86	41	35	26
91	3.48	0.000248	3.61	23	11	14
90	3.11	0.000944	3.03	40	46	18
89	3.9	4.72e-05	4.33	36	40	18
88	3.58	0.000174	3.76	29	55	16
87	3.51	0.000227	3.64	43	29	20
86	3.25	0.000583	3.23	11	31	20
85	3.11	0.00095	3.02	32	16	22
84	3.32	0.000446	3.35	48	42	19
83	3.21	0.000653	3.19	47	38	20
82	3.4	0.000339	3.47	37	8	17
81	3.67	0.000123	3.91	23	11	17
80	4.21	1.29e-05	4.89	16	21	23
79	3.32	0.000453	3.34	24	47	11
78	3.42	0.000314	3.5	51	39	12
77	3.78	7.93e-05	4.1	45	9	13
76	3.32	0.00045	3.35	44	20	4
75	3.43	0.000299	3.53	33	15	11
74	3.54	0.000203	3.69	45	24	7
73	3.73	9.57e-05	4.02	33	28	3
72	3.43	0.000306	3.51	28	24	5
71	3.97	3.56e-05	4.45	43	25	5
70	3.2	0.000694	3.16	20	21	13
69	3.21	0.000656	3.18	25	24	10
68	3.65	0.000131	3.88	51	20	7
67	3.28	0.00051	3.29	43	25	13
66	3.41	0.00032	3.5	35	10	9
65	3.74	9.32e-05	4.03	43	44	4
