Cluster Index	Z	x	y	z	
161	4.85	14.4	-86.8	-19.6
161	4.72	-19.3	-82.5	-19.4
161	4.67	32	-38.1	-28.6
161	4.44	21.8	-49.2	-15
161	4.38	25.5	-43.5	0.834
161	4.22	62.4	-48	-22.1
160	4.81	-3.19	20.7	64
160	4.61	0.137	11.6	71.1
160	4.12	-13.3	18.5	70.3
160	3.43	-3.44	12.4	54.1
159	4.11	-8.09	-71	57.4
159	4.09	2.17	-72.9	68.8
159	3.85	2.01	-74.6	57.8
159	3.59	-28.4	-73.7	58.5
159	3.48	2.3	-63.1	67.1
159	3.37	-1.48	-72.9	46.3
158	4.51	-18.8	-66	0.357
158	3.98	-25.6	-65.9	0.515
158	3.75	-22.1	-56.1	-1.28
158	3.42	-22.4	-79	2.72
157	4.26	-49.3	-54.6	-17.7
157	3.69	-36.1	-63.2	-27.9
157	3.4	-49.5	-65.3	-21.5
156	4.21	38.3	-54.8	-48.5
156	4.09	45.1	-51.7	-49.2
156	3.84	35	-44.9	-50.1
155	5.04	-55.4	-61.5	45.8
155	4.69	-38.4	-63.6	57
155	4.14	-51.9	-56.7	56.2
154	4.62	56.3	-54.9	41.5
154	4.02	52.9	-60.5	48.2
153	4.01	-28.9	-39.7	-26.6
153	3.57	-25.4	-41.3	-15.1
153	3.37	-22	-30	-28.4
152	4.05	35.7	-73.9	45.4
152	3.87	29.1	-68.8	56
151	3.87	-1.59	-20.8	-30.6
150	4.52	10.5	33.4	61.4
149	4.36	66.1	-25.1	-26.1
149	3.78	49.2	-24.7	-25.7
148	5.57	33.4	35.7	-7.52
147	4.41	38.2	-77.6	-21.9
147	3.33	44.8	-73.8	-39.7
147	3.18	41.4	-80.2	-38.5
146	4.34	-11.6	-22.1	-18.8
146	3.67	-11.5	-15.5	-19.9
145	3.49	14.7	-72.8	-16.4
145	3.19	24.7	-73.9	-22.1
144	3.65	66.4	-21.8	-4.11
143	4.05	-37.7	42.6	-18
142	4.28	52.7	-5.95	-34.7
141	3.79	-31.8	-62.2	45.3
141	3.44	-31.9	-68.7	46.4
140	3.59	3.56	59.6	11.8
140	3.38	-3.16	63.1	11.4
139	4.3	45.8	-38.4	-6.29
139	3.47	39.1	-31.7	-7.27
138	3.63	-7.08	43.4	-7.71
137	3.62	-61.7	-13.9	26.4
136	4	43.3	15.8	-4.33
135	4.44	-1.85	-60	-1.18
134	3.79	1.56	-87.8	37.5
133	4.15	15	-91.4	37.7
132	3.84	-58.7	-43.5	31.5
131	3.79	29.5	7.92	-13.9
130	3.73	34.1	28.6	55.9
129	4.21	1.26	-60.2	-23.8
128	3.76	-3.39	41	20.9
127	4.07	37.5	37.5	48.6
126	4.02	-62	-48.2	43.7
125	3.53	-6.92	19.8	36
124	3.68	-65.7	-23	-11.5
123	3.47	22.3	-5.08	-34
122	3.77	14	-96.7	-40.5
121	3.78	-2.16	-82.9	2.82
120	3.66	-46	-71.8	2.13
119	3.97	1.16	-97.7	16.6
118	3.75	-49.8	-71.1	-37.5
117	3.91	-3.81	44.9	-19.4
116	3.53	16.7	41.1	3.31
115	3.26	-52	-5.41	-26.2
114	3.23	-17.3	25.7	6.96
113	3.54	9.65	29.8	-5.83
112	4.09	-38.8	-39.3	-3.73
111	3.55	51.9	-73.9	-17.3
110	3.71	38.9	-67.6	21.6
110	3.36	42.4	-61.1	20.4
109	3.37	-69.4	-40.1	-14
108	3.29	31.9	-69.9	5.24
107	3.41	15.5	-35.9	5.43
106	3.66	-62	2.27	-21.6
105	3.44	-12.1	-54.8	-13.1
104	4.37	-0.449	-36.7	85.2
103	3.81	41.5	-68	-46.2
102	3.48	50.8	24	50.6
101	3.44	-54.5	-9.04	59.3
100	4.43	-11.3	-65.9	68
99	3.4	-12.6	-77.8	-31.7
99	3.12	-16.1	-84.3	-30.5
98	3.55	-36.4	-60.9	-56.6
97	3.3	-0.792	-31.9	50.4
96	3.46	6.78	32.6	33.4
95	3.58	70.1	-29	36.6
94	3.24	11.8	-28.6	-35.3
94	3.2	11.9	-22	-36.4
93	3.27	24.5	-82.2	-32
92	3.49	32.3	-65.7	32.8
91	3.42	-61.7	11.3	-6.24
90	3.41	-9.13	-87.7	-7.46
89	3.1	2.31	-57.3	60.4
88	3.58	13.7	65	4.9
87	3.32	29.9	34.1	-18.5
86	3.32	-39.5	-58.3	-40
85	3.78	-42.7	-86.6	15.9
84	3.39	-35.5	-54.9	4.54
83	3.66	32.1	-78.8	35
82	3.43	-1.98	-69.8	0.531
81	3.73	-2.04	-34	-50.9
80	4.04	-5.72	-95.9	5.18
79	3.64	-27	9.1	72.3
78	3.4	-15.3	-87.3	37.9
77	3.21	25.4	-41.9	-10.7
76	4.21	56.7	-41.7	61.8
75	3.43	14.8	-45.9	-38
74	3.54	-42.5	-42.6	-25.7
73	3.65	-62.9	-55.1	-22.9
72	3.51	-34.5	-15.4	42.9
71	3.25	73.8	-11.9	39.2
70	3.32	-50.9	26.8	30.3
69	3.48	31.9	-81.3	18.5
68	3.21	-47.6	14.4	38
67	3.97	-35.8	-41.2	-37.4
66	3.71	-35.1	20.2	-53.8
65	3.26	5.19	-29.1	-18.1
64	3.2	42.4	-49.7	7.08
63	3.9	-10.5	18.2	25
62	3.29	-35.2	-34.4	6.62
61	4.07	-18.2	-31.6	5.66
60	3.11	-23.7	38.3	21.9
59	3.29	-49.6	-57.1	-34.2
