Cluster Index	Voxels	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
139	176	6.7	19	40	18	19.6	39.3	19.7	313	18	42	19	135
138	131	7.04	16	25	20	16.6	21.2	20.6	300	17	19	23	112
137	101	5.24	36	37	23	33.1	37.6	22.7	178	35	44	21	109
136	91	6.46	49	34	20	49	35.5	18.6	184	52	38	16	91
135	76	5.24	23	44	13	23.5	42.9	13.3	252	24	48	11	114
134	57	6.29	21	10	11	22.5	10.6	11.4	248	25	9	14	130
133	34	3.98	41	49	17	39.6	47.5	17.1	219	43	51	19	142
132	28	4.44	39	16	20	43.6	20.8	19.9	139	44	20	20	95.1
131	24	4.41	49	46	17	48.2	46.7	17.7	245	47	47	18	133
130	24	5.66	44	33	22	44.2	33.6	22.3	143	44	33	22	90.3
129	20	4.33	23	47	17	21.7	47.6	17.4	167	22	47	17	136
128	18	4.7	14	24	14	14.9	24.1	14	132	12	26	15	87
127	18	3.9	31	12	18	28.1	14.5	17.7	192	28	13	18	128
126	17	3.85	40	39	10	37.6	38	11.6	195	36	38	13	163
125	17	4.02	31	44	21	31.4	44.1	20.7	259	32	44	21	185
124	16	4.33	23	53	15	22.8	52.7	14.4	289	22	52	14	162
123	13	4.32	40	9	12	40.7	8.96	11.1	164	39	8	12	110
122	10	4.22	28	13	0	26.9	13.6	0	296	25	14	0	162
121	9	3.93	28	47	11	28	46.5	10.9	198	28	48	11	149
120	8	4.36	36	37	16	36.2	37.1	15.8	408	35	36	15	216
119	7	4.08	35	15	0	36	14.1	0	306	36	15	0	177
118	7	4.11	40	14	0	40.5	13.7	0	418	40	14	0	252
117	7	4.17	53	24	20	51.9	22.5	20	147	52	22	20	105
116	7	4.34	27	50	12	28	51	12	370	28	51	12	245
115	7	4.02	47	21	15	47.8	20.8	14.6	135	48	19	14	104
114	6	3.54	29	28	24	29.3	27.7	24.5	94.2	30	27	24	71.5
113	6	3.75	28	55	17	28.6	54.5	16.8	433	28	56	17	196
112	6	4.22	26	9	21	27.7	8.35	20.4	201	28	8	20	144
111	6	3.59	39	9	2	38.7	8.34	3.63	128	39	9	2	108
110	6	4.06	45	12	12	44.1	11.3	12	137	44	11	12	107
109	6	5.31	13	23	18	13.3	22.5	18	131	13	22	18	92
108	5	4.5	52	29	17	51.8	29.4	17	135	52	29	17	107
107	5	3.5	22	46	20	21.6	46.4	20.2	111	22	45	20	95.3
106	5	4.5	53	25	22	52.4	25.2	22	155	52	25	22	113
105	5	3.97	17	50	12	17.2	49.9	12.2	186	17	50	12	144
104	5	4.16	51	19	22	50.6	19.7	22	172	50	20	22	142
103	5	4.01	42	43	14	41.6	43.8	14	193	42	43	14	169
102	4	3.79	51	27	8	50.3	27.7	8	145	50	28	8	109
101	4	4.31	19	13	21	17.5	13.5	20.3	123	17	14	20	105
100	4	4.27	16	40	7	15.5	39.5	7	128	16	40	7	104
99	4	3.82	47	16	10	47.3	16	10	127	47	15	10	104
98	3	3.63	49	22	18	49	22	17.7	117	50	22	18	99
97	3	4.56	38	12	24	37.1	12	24	95.2	38	12	24	82.6
96	3	4.26	29	37	17	28.7	36.4	16.7	238	29	37	17	178
95	3	3.54	48	50	14	48.3	49	14.3	173	48	49	14	128
94	3	3.57	10	35	10	10.3	35.3	10.3	89.4	11	35	11	61.2
93	3	3.46	20	25	26	20.3	25.3	26	212	21	25	26	146
92	3	3.53	37	47	10	37	47	10	166	37	48	10	123
91	3	3.5	39	54	12	38.7	54.3	12	302	38	54	12	199
90	3	3.26	46	48	10	45.7	47.7	10	238	45	48	10	230
89	3	3.53	13	32	17	12.7	32.6	17	75.2	12	33	17	63.7
88	3	3.55	45	26	26	44.7	25	26	193	44	24	26	186
87	3	3.64	44	55	18	43.4	54.7	18	103	43	54	18	72.3
86	3	3.64	32	36	19	32.3	35.7	19	104	33	36	19	95.1
85	3	3.62	36	7	6	35.7	7	5.35	132	36	7	5	106
84	2	3.22	38	41	14	37.5	41	14	170	38	41	14	161
