Cluster Index	Voxels	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
139	176	6.7	47	16.6	23.7	45	15.9	33.5	313	50.6	23.9	28	135
138	131	7.04	56.6	-31.1	43	54.5	-43	48.5	300	53.2	-48.1	63	112
137	101	5.24	-10.2	12.6	54.3	-0.45	14	52	178	-6.67	33.8	39.2	109
136	91	6.46	-54.5	1.53	40.5	-54.6	5.32	32	184	-64.8	11.5	16.4	91
135	76	5.24	33.3	25.9	-5.81	31.6	22.6	-3.47	252	29.9	37.4	-19	114
134	57	6.29	38.4	-87.3	2.43	33.3	-84.7	4.56	248	25	-87.7	19.8	130
133	34	3.98	-27	47.4	14.8	-22.3	42.4	15.9	219	-33.6	55.8	24.8	142
132	28	4.44	-21.5	-58.4	50	-36.7	-42.3	46.9	139	-38.2	-44.8	48.1	95.1
131	24	4.41	-54.2	38.3	17.1	-51.3	41	20.4	245	-47.3	42.2	21.9	133
130	24	5.66	-37.5	-0.535	51.7	-38.2	1.86	53	143	-37.5	-0.535	51.7	90.3
129	20	4.33	33.7	39.1	14.5	38	41.3	16.3	167	37.1	39	14.4	136
128	18	4.7	62.9	-39.6	10.4	59.8	-39.3	10.5	132	69.8	-32.4	14.6	87
127	18	3.9	5.2	-73.9	40.6	15.2	-66.2	37.1	192	15.4	-70.9	39.8	128
126	17	3.85	-24.7	8.61	-18.1	-16.6	6.46	-8.7	195	-10.9	7.48	-1.35	163
125	17	4.02	6.86	33.4	38.9	5.37	33.7	37.3	259	3.48	33.5	38.9	185
124	16	4.33	33.8	57	0.0605	34.4	55.5	-2.93	289	37.1	52.8	-4.95	162
123	13	4.32	-25.8	-87.9	10	-28.3	-88.7	5.34	164	-22.5	-91.3	10.5	110
122	10	4.22	14	-86.1	-59.3	17.6	-84.2	-59.7	296	24.1	-83.1	-60.1	162
121	9	3.93	16.3	34.5	-18.1	16.5	32.9	-18.4	198	16.4	37.8	-18.7	149
120	8	4.36	-10.8	6.74	15.7	-11.6	6.99	14.3	408	-7.5	2.52	10.7	216
