Cluster Index	Z	P	-log10(P)	x	y	z	
139	6.7	1.07e-11	11	19	40	18
139	5.63	8.81e-09	8.05	23	35	22
139	4.83	6.83e-07	6.17	16	42	16
139	4.82	7.12e-07	6.15	18	37	23
139	4.6	2.09e-06	5.68	21	41	23
139	4.24	1.12e-05	4.95	24	34	24
138	7.04	9.49e-13	12	16	25	20
138	5.68	6.79e-09	8.17	13	23	22
138	5.59	1.11e-08	7.95	15	20	22
138	5.1	1.7e-07	6.77	17	19	24
138	4.93	4.08e-07	6.39	21	15	21
138	4.3	8.56e-06	5.07	17	17	20
137	5.24	8.05e-08	7.09	36	37	23
137	4.52	3.02e-06	5.52	31	39	22
137	3.91	4.53e-05	4.34	34	34	24
137	3.85	5.98e-05	4.22	37	40	21
137	3.74	9.06e-05	4.04	28	37	25
137	3.63	0.000144	3.84	37	42	21
136	6.46	5.1e-11	10.3	49	34	20
136	5.69	6.51e-09	8.19	52	38	17
136	4.93	4.19e-07	6.38	47	36	18
136	4.33	7.43e-06	5.13	49	34	22
136	4.3	8.5e-06	5.07	49	37	16
135	5.24	7.86e-08	7.1	23	44	13
135	4.83	6.68e-07	6.18	24	44	15
135	4.04	2.68e-05	4.57	18	44	12
135	3.74	9.13e-05	4.04	28	41	14
135	3.56	0.000188	3.73	18	41	12
135	3.37	0.00037	3.43	21	41	12
134	6.29	1.54e-10	9.81	21	10	11
134	6.02	8.92e-10	9.05	23	10	10
134	5.57	1.25e-08	7.9	25	9	14
134	5.02	2.56e-07	6.59	23	10	13
134	4.55	2.7e-06	5.57	21	14	9
134	3.86	5.59e-05	4.25	19	15	9
133	3.98	3.39e-05	4.47	41	49	17
133	3.83	6.38e-05	4.2	37	46	17
133	3.51	0.000228	3.64	43	51	19
132	4.44	4.53e-06	5.34	39	16	20
132	4.3	8.59e-06	5.07	45	23	20
131	5.66	7.58e-09	8.12	44	33	22
131	5.06	2.05e-07	6.69	44	35	22
130	4.41	5.11e-06	5.29	49	46	17
130	4.29	8.92e-06	5.05	48	48	17
130	4.08	2.24e-05	4.65	47	47	19
130	3.93	4.27e-05	4.37	51	44	16
129	4.33	7.33e-06	5.14	23	47	17
129	3.69	0.000111	3.95	21	49	19
129	3.66	0.000127	3.9	21	50	17
129	3.29	0.0005	3.3	20	47	17
128	3.9	4.76e-05	4.32	31	12	18
128	3.81	6.92e-05	4.16	27	18	17
128	3.59	0.000167	3.78	27	15	18
128	3.49	0.000245	3.61	28	13	18
127	4.7	1.3e-06	5.89	14	24	14
127	3.91	4.65e-05	4.33	16	22	15
127	3.34	0.000412	3.38	12	25	15
126	4.02	2.91e-05	4.54	31	44	21
125	3.85	5.98e-05	4.22	40	39	10
125	3.78	7.93e-05	4.1	36	37	12
125	3.58	0.000172	3.76	39	40	12
124	4.33	7.3e-06	5.14	23	53	15
124	3.84	6.17e-05	4.21	22	54	13
124	3.61	0.000155	3.81	23	51	14
123	4.32	7.88e-06	5.1	40	9	12
123	3.8	7.34e-05	4.13	43	10	10
122	4.22	1.24e-05	4.91	28	13	0
122	3.9	4.84e-05	4.32	25	14	0
121	3.93	4.24e-05	4.37	28	47	11
121	3.19	0.000707	3.15	29	45	11
120	4.36	6.55e-06	5.18	36	37	16
120	3.41	0.000324	3.49	38	36	16
119	4.17	1.55e-05	4.81	53	24	20
119	3.92	4.45e-05	4.35	52	22	20
118	4.1	2.05e-05	4.69	40	14	0
118	3.28	0.000528	3.28	43	14	0
117	4.02	2.96e-05	4.53	47	21	15
116	4.34	7.08e-06	5.15	27	50	12
116	3.81	6.91e-05	4.16	29	52	12
115	3.54	0.000201	3.7	29	28	24
115	3.43	0.000298	3.53	29	28	26
114	3.58	0.000173	3.76	39	9	2
114	3.38	0.000357	3.45	39	8	4
114	3.17	0.000758	3.12	38	8	6
113	5.31	5.36e-08	7.27	13	23	18
