Cluster Index	Voxels	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
52	31	4.85	21	16	21	18.7	15.8	20.8	286	21	13	21	148
51	28	4.76	21	11	11	22.5	9.47	10.9	222	23	9	10	148
50	24	5.26	19	40	18	18.7	40.2	18.1	266	19	40	18	168
49	16	4.44	23	44	13	23.3	43.6	13.4	179	23	43	13	120
48	16	4.48	17	25	20	15.1	24.6	20.6	164	14	23	22	116
47	11	4.39	50	34	19	49.3	34.1	19.5	153	49	35	19	125
46	10	4.15	19	16	9	18.5	15.3	9.7	168	18	16	9	131
45	8	4.34	44	33	22	44.2	33.1	22	142	44	32	22	113
44	5	3.62	31	44	21	30.6	43.4	21.4	178	31	44	21	130
43	4	3.97	35	36	23	36.2	36.7	22.5	138	35	36	23	97.9
42	4	3.52	31	40	22	31	39.3	22	143	31	40	22	130
41	4	4.51	22	37	25	21.5	36.5	25	195	22	37	25	167
40	4	3.28	13	19	19	13	19.3	19.5	120	14	19	20	81.2
39	3	4	13	23	18	13.3	22.7	18	153	13	22	18	126
38	3	4.04	42	8	11	41.7	7.38	11	163	41	7	11	140
37	3	3.94	22	48	21	21.1	47.7	21	147	20	47	21	133
36	2	3.37	52	30	17	52	29.5	17	151	52	29	17	139
35	2	4.53	29	5	14	28.5	5	14	145	29	5	14	128
34	2	3.57	52	37	17	52	37.5	17	103	52	37	17	100
33	2	3.69	23	35	22	23	34.5	22	156	23	35	22	129
32	2	4.04	49	47	10	49	47.4	10	92.5	49	47	10	80.4
31	2	3.19	16	42	16	16	41.5	16	156	16	42	16	143
30	1	3.32	39	16	20	39	16	20	88.5	39	16	20	88.5
29	1	3.19	15	21	20	15	21	20	103	15	21	20	103
28	1	3.2	12	24	20	12	24	20	102	12	24	20	102
27	1	3.49	15	20	22	15	20	22	118	15	20	22	118
26	1	3.23	18	17	23	18	17	23	180	18	17	23	180
25	1	3.1	21	42	23	21	42	23	94.6	21	42	23	94.6
24	1	3.31	33	20	25	33	20	25	159	33	20	25	159
23	1	3.12	36	35	27	36	35	27	197	36	35	27	197
22	1	3.14	50	24	19	50	24	19	88.7	50	24	19	88.7
21	1	3.47	29	13	0	29	13	0	99	29	13	0	99
20	1	3.37	28	17	0	28	17	0	108	28	17	0	108
19	1	3.3	39	8	5	39	8	5	74.3	39	8	5	74.3
18	1	3.33	35	7	6	35	7	6	104	35	7	6	104
17	1	3.16	37	8	7	37	8	7	247	37	8	7	247
16	1	3.41	18	21	8	18	21	8	96.9	18	21	8	96.9
15	1	3.41	37	6	10	37	6	10	227	37	6	10	227
14	1	3.65	28	6	11	28	6	11	187	28	6	11	187
13	1	3.42	46	9	11	46	9	11	101	46	9	11	101
12	1	3.16	25	42	25	25	42	25	167	25	42	25	167
11	1	3.12	18	45	12	18	45	12	111	18	45	12	111
10	1	3.85	22	54	13	22	54	13	104	22	54	13	104
9	1	3.2	26	9	14	26	9	14	102	26	9	14	102
8	1	3.1	10	28	15	10	28	15	77	10	28	15	77
7	1	3.26	40	6	16	40	6	16	128	40	6	16	128
6	1	3.27	37	38	16	37	38	16	193	37	38	16	193
5	1	3.31	23	54	16	23	54	16	298	23	54	16	298
4	1	3.1	28	55	17	28	55	17	229	28	55	17	229
3	1	3.19	14	44	18	14	44	18	73.5	14	44	18	73.5
2	1	3.35	14	16	19	14	16	19	70.7	14	16	19	70.7
1	1	3.4	14	26	11	14	26	11	83.5	14	26	11	83.5
