Cluster Index	Z	P	-log10(P)	x	y	z	
52	4.85	6.15e-07	6.21	21	16	21
52	4.11	1.96e-05	4.71	16	17	21
52	3.69	0.000113	3.95	18	14	21
51	4.76	9.85e-07	6.01	21	11	11
51	3.91	4.66e-05	4.33	25	9	11
50	5.26	7.08e-08	7.15	19	40	18
49	4.44	4.47e-06	5.35	23	44	13
48	4.48	3.77e-06	5.42	17	25	20
48	3.81	6.86e-05	4.16	13	23	22
47	4.39	5.57e-06	5.25	50	34	19
46	4.15	1.68e-05	4.77	19	16	9
45	4.34	7.25e-06	5.14	44	33	22
45	3.49	0.000246	3.61	44	35	22
44	3.62	0.000148	3.83	31	44	21
43	3.97	3.57e-05	4.45	35	36	23
43	3.36	0.000393	3.41	37	38	22
42	3.52	0.000212	3.67	31	40	22
41	4.51	3.26e-06	5.49	22	37	25
40	3.28	0.000518	3.29	13	19	19
39	4	3.18e-05	4.5	13	23	18
38	4.04	2.67e-05	4.57	42	8	11
37	3.94	4.05e-05	4.39	22	48	21
36	3.37	0.00038	3.42	52	30	17
35	4.53	2.95e-06	5.53	29	5	14
34	3.57	0.000176	3.75	52	37	17
33	3.69	0.00011	3.96	23	35	22
32	4.04	2.62e-05	4.58	49	47	10
31	3.19	0.000707	3.15	16	42	16
30	3.32	0.000448	3.35	39	16	20
29	3.19	0.000707	3.15	15	21	20
28	3.2	0.000676	3.17	12	24	20
27	3.49	0.000244	3.61	15	20	22
26	3.23	0.00062	3.21	18	17	23
25	3.1	0.000961	3.02	21	42	23
24	3.31	0.000459	3.34	33	20	25
23	3.12	0.000912	3.04	36	35	27
22	3.14	0.00085	3.07	50	24	19
21	3.47	0.000265	3.58	29	13	0
20	3.37	0.000371	3.43	28	17	0
19	3.3	0.000483	3.32	39	8	5
18	3.33	0.000431	3.37	35	7	6
17	3.16	0.000776	3.11	37	8	7
16	3.41	0.000328	3.48	18	21	8
15	3.41	0.00032	3.49	37	6	10
14	3.65	0.00013	3.89	28	6	11
13	3.42	0.000312	3.51	46	9	11
12	3.16	0.000786	3.1	25	42	25
11	3.12	0.000898	3.05	18	45	12
10	3.85	5.92e-05	4.23	22	54	13
9	3.2	0.000688	3.16	26	9	14
8	3.1	0.000962	3.02	10	28	15
7	3.26	0.000549	3.26	40	6	16
6	3.27	0.000537	3.27	37	38	16
5	3.31	0.000473	3.33	23	54	16
4	3.1	0.000979	3.01	28	55	17
3	3.19	0.000702	3.15	14	44	18
2	3.35	0.000409	3.39	14	16	19
1	3.4	0.00034	3.47	14	26	11
