Cluster Index	Voxels	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
38	18	4.66	14	24	20	14.6	24.4	20.4	177	14	23	22	124
37	15	4.34	23	9	12	23	9.65	11.9	152	23	9	12	119
36	15	5.19	22	44	13	23	43.5	13.5	169	23	44	13	119
35	14	4.73	19	40	18	17.9	40.5	17.6	250	19	40	18	163
34	11	5.47	29	5	14	28	5.75	15.9	190	29	5	14	109
33	6	3.33	18	17	23	17	17.8	22	177	18	17	23	125
32	5	3.97	50	34	19	49.4	34.2	19.4	123	49	35	19	111
31	5	3.99	52	38	16	51.8	37.8	16.2	183	52	38	16	137
30	4	3.96	18	36	24	18	36.6	24	166	18	36	24	120
29	4	3.39	37	38	16	37	37	16	288	36	37	16	209
28	3	4.29	22	37	25	21.7	37.3	25	163	22	37	25	139
27	3	3.45	31	44	21	30.7	43.3	21	166	31	44	21	149
26	3	4.02	21	16	21	20.7	15	21.3	161	20	14	22	140
25	3	3.31	50	24	19	50.3	24.7	19	145	51	25	19	119
24	3	3.32	29	46	25	29	45.7	25	125	30	46	25	106
23	3	3.43	27	41	14	26.7	40.3	14.7	99.2	27	40	15	88.3
22	3	4.04	41	45	18	41.3	45.3	18	129	41	46	18	113
21	2	3.32	13	23	18	13.5	23	18	133	13	23	18	116
20	2	3.71	30	41	9	30	41.5	9	119	30	41	9	113
19	2	4.3	37	38	22	37.4	38	22	104	37	38	22	88.4
18	2	3.54	44	32	22	44	32.5	22	129	44	32	22	128
17	2	3.76	15	20	22	15	20.5	22	138	15	20	22	137
16	2	3.65	49	47	10	49	46.5	10	89.4	49	47	10	89
15	1	3.79	28	17	0	28	17	0	137	28	17	0	137
14	1	3.15	36	12	24	36	12	24	87.1	36	12	24	87.1
13	1	3.24	30	39	22	30	39	22	104	30	39	22	104
12	1	3.79	22	48	21	22	48	21	109	22	48	21	109
11	1	3.33	29	53	11	29	53	11	88.6	29	53	11	88.6
10	1	3.36	53	24	20	53	24	20	101	53	24	20	101
9	1	3.1	39	16	20	39	16	20	77.5	39	16	20	77.5
8	1	3.31	16	44	19	16	44	19	163	16	44	19	163
7	1	3.24	10	24	15	10	24	15	60.4	10	24	15	60.4
6	1	3.16	10	28	15	10	28	15	78.6	10	28	15	78.6
5	1	3.23	39	48	18	39	48	18	85.8	39	48	18	85.8
4	1	3.28	23	52	15	23	52	15	110	23	52	15	110
3	1	3.27	53	39	18	53	39	18	61.8	53	39	18	61.8
2	1	3.33	49	37	16	49	37	16	147	49	37	16	147
1	1	3.2	18	45	12	18	45	12	107	18	45	12	107
