Cluster Index	Z	P	-log10(P)	x	y	z	
38	4.66	1.56e-06	5.81	14	24	20
38	3.73	9.54e-05	4.02	13	25	22
38	3.64	0.000137	3.86	13	23	22
38	3.56	0.000186	3.73	11	24	20
37	4.34	7.11e-06	5.15	23	9	12
37	3.68	0.000115	3.94	21	11	11
37	3.36	0.000389	3.41	25	10	14
36	5.19	1.07e-07	6.97	22	44	13
35	4.73	1.13e-06	5.95	19	40	18
35	3.61	0.000152	3.82	16	42	17
34	5.47	2.28e-08	7.64	29	5	14
34	3.95	3.86e-05	4.41	29	6	18
34	3.6	0.000156	3.81	26	6	16
34	3.52	0.000212	3.67	27	7	18
33	3.33	0.000429	3.37	18	17	23
32	3.97	3.62e-05	4.44	50	34	19
31	3.99	3.26e-05	4.49	52	38	16
30	3.96	3.74e-05	4.43	18	36	24
29	3.39	0.000349	3.46	37	38	16
29	3.26	0.000548	3.26	38	36	16
28	4.29	8.91e-06	5.05	22	37	25
27	3.45	0.00028	3.55	31	44	21
26	4.02	2.87e-05	4.54	21	16	21
26	3.62	0.000147	3.83	20	14	22
25	3.31	0.000472	3.33	50	24	19
24	3.32	0.000457	3.34	29	46	25
23	3.43	0.000307	3.51	27	41	14
22	4.04	2.71e-05	4.57	41	45	18
21	3.32	0.000453	3.34	13	23	18
20	3.71	0.000103	3.99	30	41	9
19	4.3	8.45e-06	5.07	37	38	22
18	3.54	0.000198	3.7	44	32	22
17	3.76	8.62e-05	4.06	15	20	22
16	3.65	0.000133	3.87	49	47	10
15	3.79	7.48e-05	4.13	28	17	0
14	3.15	0.000823	3.08	36	12	24
13	3.24	0.000605	3.22	30	39	22
12	3.79	7.45e-05	4.13	22	48	21
11	3.33	0.000442	3.35	29	53	11
10	3.36	0.000396	3.4	53	24	20
9	3.1	0.000958	3.02	39	16	20
8	3.31	0.000474	3.32	16	44	19
7	3.24	0.000588	3.23	10	24	15
6	3.16	0.000795	3.1	10	28	15
5	3.23	0.000609	3.22	39	48	18
4	3.28	0.000528	3.28	23	52	15
3	3.27	0.000543	3.27	53	39	18
2	3.33	0.000436	3.36	49	37	16
1	3.2	0.000699	3.16	18	45	12
