Cluster Index	Z	x	y	z	
7	7.47	47	16.6	23.7
7	7.26	-54.5	1.53	40.5
7	6.52	-37.5	-0.535	51.7
7	6.3	33.6	4	48.9
7	6.1	33.3	25.9	-5.81
7	6.03	-10.2	12.6	54.3
6	7.49	56.6	-31.1	43
6	6.19	60	-45.9	56.8
6	5.99	66.9	-36.2	54.9
6	5.86	66.5	-39.6	32.9
6	5.58	42.7	-60.2	48.5
6	5.35	53.3	-47.3	68.5
5	4.71	-22.5	-91.3	10.5
5	4.54	-42.6	-77.6	8.7
5	4.48	-49.3	-66	-4.43
5	4.37	-52.6	-48	-18.8
5	4.35	-32.5	-58.4	-17.6
5	4.15	-36.1	-86.1	-1.33
4	6.76	38.4	-87.3	2.43
4	6.7	31.5	-88	-2.91
4	5.86	25	-87.7	19.8
4	5.7	31.8	-85.4	13.6
4	5.18	38.4	-75.9	-10.9
4	4.51	45.2	-72.8	-11.6
3	4.03	-12.9	-99.9	-22.2
3	4.01	-23.2	-96.5	-45.1
3	3.91	-23.1	-98	-33.5
3	3.78	3.91	-98.8	-34.2
3	3.64	-19.6	-96.5	-22.6
3	3.62	-9.65	-96	-39.9
2	4.41	18.9	-55.5	31.4
2	4.24	5.2	-73.9	40.6
2	4.09	18.8	-65.3	33.1
2	3.85	15.4	-70.9	39.8
1	4.77	-48.7	-45.4	20.2
1	3.51	-62.3	-42.6	14.5
1	2.55	-59.2	-54.2	5.1
