Cluster Index	Voxels	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
20	27	7.47	47	16.6	23.7	47.7	17.5	22.7	420	50.6	23.9	28	243
19	13	7.49	56.6	-31.1	43	57	-31.1	42.5	222	56.6	-31.1	43	159
18	11	7.26	-54.5	1.53	40.5	-53.8	2.7	36.9	194	-57.9	1.63	40.6	153
17	10	6.76	38.4	-87.3	2.43	35.9	-87	0.114	323	31.5	-91.2	-2.34	226
16	10	6.1	33.3	25.9	-5.81	32	25.8	-2.44	235	33.3	25.9	-5.81	186
15	8	6.03	-10.2	12.6	54.3	-9.8	11.4	51.7	222	-6.82	12.5	54.2	167
14	6	5.86	25	-87.7	19.8	27.7	-86.4	17.7	323	28.4	-87.8	19.8	236
13	6	6.52	-37.5	-0.535	51.7	-37.5	0.0266	51.6	200	-37.5	-0.535	51.7	166
12	6	6.3	33.6	4	48.9	34	3.55	46.2	243	33.6	4	48.9	175
11	5	6.19	60	-45.9	56.8	56.7	-45.8	52.5	241	60	-42.6	56.2	181
10	3	5.58	42.7	-60.2	48.5	41.6	-60	50.4	187	42.7	-60.2	48.5	170
9	2	5.09	59.4	-40.4	4.97	57.7	-40.3	5.01	157	59.4	-40.4	4.97	148
8	2	5.43	57.1	21.2	11.3	57.1	22.8	11	238	57.1	21.2	11.3	198
7	2	5.93	-64.8	9.11	22.5	-64.7	10.7	22.2	141	-64.8	9.11	22.5	139
6	2	5.86	66.5	-39.6	32.9	66.5	-41.2	33.2	182	66.5	-42.9	33.5	170
5	2	5.32	6.71	17.9	47.2	5.05	17.9	47.3	213	3.33	18	47.3	203
4	2	5.35	53.3	-47.3	68.5	51.6	-49.2	66.2	409	49.8	-51.3	63.7	268
3	2	5.18	38.4	-75.9	-10.9	36.7	-75.9	-10.8	198	35	-75.8	-10.8	197
2	1	5.99	66.9	-36.2	54.9	66.9	-36.2	54.9	117	66.9	-36.2	54.9	117
1	1	5.26	40.7	24.3	50.8	40.7	24.3	50.8	221	40.7	24.3	50.8	221
