Cluster Index	Z	P	-log10(P)		x	y	z	
20	7.47	2.82e-08	7.55	47	16.6	23.7
19	7.49	2.45e-08	7.61	56.6	-31.1	43
18	7.26	1.28e-07	6.89	-54.5	1.53	40.5
18	5.63	0.00268	2.57	-47.8	6.2	28.2
17	6.76	3.56e-06	5.45	38.4	-87.3	2.43
17	6.7	5.49e-06	5.26	31.5	-88	-2.91
16	6.1	0.000204	3.69	33.3	25.9	-5.81
15	6.03	0.0003	3.52	-10.2	12.6	54.3
14	5.86	0.000795	3.1	25	-87.7	19.8
14	5.7	0.00187	2.73	31.8	-85.4	13.6
13	6.52	1.65e-05	4.78	-37.5	-0.535	51.7
13	5.78	0.00123	2.91	-37.4	6.01	50.5
12	6.3	6.49e-05	4.19	33.6	4	48.9
11	6.19	0.00012	3.92	60	-45.9	56.8
10	5.58	0.0036	2.44	42.7	-60.2	48.5
9	5.09	0.0402	1.4	59.4	-40.4	4.97
8	5.43	0.00752	2.12	57.1	21.2	11.3
7	5.93	0.000529	3.28	-64.8	9.11	22.5
6	5.86	0.0008	3.1	66.5	-39.6	32.9
5	5.32	0.0135	1.87	6.71	17.9	47.2
4	5.35	0.0115	1.94	53.3	-47.3	68.5
3	5.18	0.0265	1.58	38.4	-75.9	-10.9
2	5.99	0.000372	3.43	66.9	-36.2	54.9
1	5.26	0.0176	1.76	40.7	24.3	50.8
